,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-12-31,2014-03-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdvertisingBarterTransactionsAdvertisingBarterCosts,23500.000,,,,,,,,,,,,,,,,,
AdvertisingRevenue,20.000,15100.000,2000.000,,0.000,0.000,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,510662.000,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,187044.000,,,,,221860.000,,,,0.000,,,,92241.000,,
AssetImpairmentCharges,,,,,,,,,0.000,0.000,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,,,,,,,,,,,,,0.000,,,0.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-99637.000,,,,,245804.000,,,,-1154523.000,,,,577387.000,,
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,,,,,,,-2296338.000
CostOfRevenue,221894.000,183196.000,124646.000,68415.000,77711.000,122915.000,78201.000,83177.000,84444.000,70872.000,68375.000,93134.000,108949.000,115345.000,167079.000,162095.000,157680.000,243628.000
CostsAndExpenses,1409535.000,1192914.000,1031670.000,725415.000,727846.000,947289.000,779949.000,1018458.000,1694648.000,1073465.000,3544537.000,2276716.000,2731130.000,2251424.000,2150155.000,1893781.000,1837228.000,1502806.000
DebtInstrumentConvertibleBeneficialConversionFeature,,,23849.000,,,,,,,,,,,,,30519.000,,
DepreciationAndAmortization,120750.000,138968.000,27420.000,53603.000,57471.000,26880.000,26201.000,34356.000,9537.000,9809.000,13712.000,17018.000,17983.000,18927.000,29692.000,40539.000,45015.000,46322.000
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,4374585.000,,,,-111.000,,
DividendsPreferredStockStock,,,,,,,,17016.000,,,,,,,,42238.000,,
EarningsPerShareBasic,,,,,,,,,,,,,,,,-0.020,-0.020,-0.020
EarningsPerShareBasicAndDiluted,-0.050,-0.040,-0.040,-0.030,-0.020,-0.020,-0.020,-0.020,-0.040,-0.010,-0.060,0.040,-0.030,-0.030,-0.040,,,
EarningsPerShareDiluted,,,,,,,,,,,,0.030,-0.030,,,-0.020,,
ExtinguishmentOfDebtGainLossNetOfTax,-122.000,,,,0.000,27713.000,-53500.000,-28517.000,0.000,0.000,,95447.000,47897.000,0.000,,0.000,9236.000,0.000
FairValueAssumptionsExpectedDividendRate,,,0.000,,,,,0.000,,,,,,,,0.000,,
GainLossOnDispositionOfProperty,0.000,,,,,,,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,0.000,,,,,,,,,,,,
