,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccruedInvestmentIncomeReceivable,4166000.000,4181000.000,4022000.000,4146000.000,4683000.000,4556000.000,4602000.000,4477000.000,4461000.000,4164000.000,4201000.000,4120000.000,4165000.000,4192000.000,4213000.000,4151000.000,4200000.000,4086000.000,3878000.000,3385000.000,3712000.000,3578000.000,5782000.000,5508000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,15254000.000,,,,16334000.000,,,,17523000.000,,,,18838000.000,,,,20267000.000,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,11284000.000,15990000.000,13253000.000,9415000.000,-2493000.000,-96000.000,-1573000.000,-755000.000,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,,,,,,,1158000.000,-389000.000,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,2550000.000,2523000.000,2558000.000,2552000.000,2543000.000,2533000.000,1427000.000,1431000.000,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-165000.000,9727000.000,7716000.000,5764000.000,8734000.000,13467000.000,10695000.000,6863000.000,-2377000.000,-3812000.000,-2975000.000,-3700000.000,-4297000.000,-5056000.000,-7475000.000,-9028000.000,-10042000.000,-10786000.000,-10978000.000,-9084000.000,-7596000.000,-7278000.000,-12661000.000,-11038000.000
AdditionalPaidInCapital,180104000.000,178680000.000,173615000.000,171532000.000,167204000.000,162516000.000,144718000.000,137677000.000,128932000.000,126263000.000,121860000.000,119233000.000,114810000.000,112322000.000,111696000.000,110382000.000,109928000.000,109205000.000,108210000.000,108236000.000,108742000.000,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,,,,,,,,108761000.000,205996000.000,207245000.000
AdvancesFromFederalHomeLoanBanks,,,,,,,,,,,232747000.000,,,,216707000.000,,,,147440000.000,,,,124836000.000,
Assets,1240684000.000,1262801000.000,1263264000.000,1293613000.000,1318633000.000,1317027000.000,1301462000.000,1306853000.000,1293635000.000,1271331000.000,1276841000.000,1275016000.000,1286318000.000,1311181000.000,1320096000.000,1329011000.000,1361686000.000,1357215000.000,1339930000.000,1368944000.000,1306305000.000,1377780000.000,2076018000.000,2086546000.000
