,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,96566000.000,133645000.000,108272000.000,87627000.000,109776000.000,171879000.000,127356000.000,102718000.000,103359000.000,167818000.000,113385000.000,111320000.000,107333000.000,150228000.000,96104000.000,74151000.000,59762000.000,86087000.000,88216000.000,58607000.000,76204000.000,103722000.000,66347000.000,55030000.000,68263000.000
AccountsReceivableNetCurrent,385988000.000,487843000.000,489236000.000,389346000.000,421919000.000,492484000.000,583322000.000,415790000.000,486173000.000,634509000.000,578426000.000,439151000.000,509119000.000,563394000.000,607150000.000,419301000.000,434543000.000,524227000.000,631344000.000,452600000.000,480681000.000,634562000.000,785418000.000,568936000.000,584638000.000
AccruedInsuranceCurrent,,,,44813000.000,,,,47293000.000,,,,52699000.000,,,,54183000.000,,,,56279000.000,,,,65941000.000,
AccruedLiabilitiesCurrent,458234000.000,581154000.000,561925000.000,579566000.000,549815000.000,598069000.000,658061000.000,626723000.000,572312000.000,631216000.000,784761000.000,668799000.000,622021000.000,709490000.000,763800000.000,675880000.000,544471000.000,635490000.000,785861000.000,686664000.000,620142000.000,778101000.000,905729000.000,781494000.000,707811000.000
AccruedRentNoncurrent,,,,51908000.000,,,,51982000.000,,,,48985000.000,,,,56027000.000,,,,57041000.000,,,,61282000.000,
AccruedRoyaltiesCurrent,,,,14586000.000,,,,16420000.000,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,556866000.000,580901000.000,604038000.000,626053000.000,655732000.000,670688000.000,696720000.000,726873000.000,727493000.000,730014000.000,767079000.000,795726000.000,799203000.000,831678000.000,834450000.000,855439000.000,870467000.000,907942000.000,885185000.000,894938000.000,927422000.000,949441000.000,974287000.000,993775000.000,1019448000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,-35700000.000,,,,-9700000.000,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,23203000.000,32240000.000,-5072000.000,-36374000.000,-11056000.000,-45327000.000,-16436000.000,-10923000.000,-45102000.000,-51959000.000,-11261000.000,-2370000.000,7493000.000,16828000.000,-37577000.000,-70010000.000,-114478000.000,-87931000.000,-94234000.000,-111657000.000,-112905000.000,-136404000.000,-144273000.000,-176707000.000,-165231000.000
AdditionalPaidInCapital,2144029000.000,2224861000.000,2233479000.000,2243587000.000,2248130000.000,2256228000.000,2265020000.000,2272882000.000,2297383000.000,2355798000.000,2375613000.000,2368281000.000,2376354000.000,2411138000.000,2403316000.000,2414428000.000,2416164000.000,2430002000.000,2427295000.000,2428566000.000,2423054000.000,2412928000.000,2401969000.000,2381011000.000,2393242000.000
