,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,,333862.000
CashPeriodIncreaseDecrease,-105373.000,,,,721.000
CostOfGoodsAndServicesSold,14976.000,403286.000,55098.000,119063.000,112342.000
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.020,-0.020,-0.010
GeneralAndAdministrativeExpense,34694.000,27244.000,21263.000,21425.000,23524.000
GrossProfit,4801.000,88795.000,11724.000,36914.000,43403.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-132978.000,-163263.000,,-128801.000
IncomeTaxExpenseBenefit,,0.000,0.000,,0.000
IncomeTaxesPaidNet,0.000,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-7632.000,,,,-126575.000
IncreaseDecreaseInAccountsReceivable,-8760.000,,,,-49933.000
IncreaseDecreaseInBookOverdrafts,0.000,,,,
IncreaseDecreaseInDueFromRelatedPartiesCurrent,-32354.000,,,,212660.000
IncreaseDecreaseInDueToRelatedPartiesCurrent,-14923.000,,,,24222.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,-2227.000
IncreaseDecreaseInPrepaidExpense,-1456.000,,,,
InterestPaidNet,0.000,,,,
LaborAndRelatedExpense,24129.000,82385.000,66807.000,61696.000,61838.000
LeaseAndRentalExpense,8010.000,8910.000,8731.000,8786.000,9115.000
NetCashProvidedByUsedInFinancingActivities,,,,,392375.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,392375.000
NetCashProvidedByUsedInInvestingActivities,0.000,,,,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,,,0.000
NetCashProvidedByUsedInOperatingActivities,-105373.000,,,,-391654.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-105373.000,,,,-391654.000
NetIncomeLoss,-125388.000,-132978.000,-163263.000,-229613.000,-128801.000
NonoperatingIncomeExpense,14619.000,7408.000,7020.000,7020.000,7020.000
OfficersCompensation,18000.000,24923.000,25577.000,24262.000,23750.000
OperatingExpenses,144808.000,229181.000,182007.000,273547.000,179224.000
OperatingIncomeLoss,-140007.000,-140386.000,-170283.000,-236633.000,-135821.000
OtherIncome,7076.000,0.000,0.000,0.000,0.000
ProceedsFromContributedCapital,,,,,392375.000
ProfessionalFees,59975.000,85719.000,59629.000,68378.000,60997.000
ProfitLoss,-125388.000,,,,
RelatedPartyTransactionOtherRevenuesFromTransactionsWithRelatedParty,7543.000,7408.000,7020.000,7020.000,7020.000
Revenues,19777.000,492081.000,66822.000,155977.000,155745.000
SalesRevenueNet,12701.000,492081.000,66822.000,155977.000,155745.000
ShareBasedCompensation,,,0.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,,,1.845
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,,,0.019
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,10000000.000,10051317.000,10051317.000,-20024853.000,10264744.000
