,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,4486000.000,,5213000.000,7278000.000,12338000.000,,,,,,
AccountsPayableCurrent,3165000.000,5563000.000,6783000.000,5648000.000,6769000.000,9230000.000,12540000.000,8796000.000,6226000.000,13500000.000,5406000.000
AccountsReceivableNetCurrent,,,,,,,,,25000000.000,,
AccountsReceivableRelatedPartiesCurrent,,7300000.000,,,7300000.000,,,,,21400000.000,10700000.000
AccruedLiabilitiesCurrent,4486000.000,6327000.000,5213000.000,7278000.000,12338000.000,16666000.000,14101000.000,16591000.000,19175000.000,17227000.000,11640000.000
AccruedProfessionalFeesCurrent,849000.000,108000.000,687000.000,419000.000,412000.000,297000.000,408000.000,763000.000,766000.000,1042000.000,1136000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,64000.000,16000.000,,,,75000.000,,,,198000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-211000.000,-32000.000,-99000.000,-22000.000,-97000.000,48000.000,43000.000,-99000.000,-252000.000,-175000.000
AdditionalPaidInCapital,1611000.000,236414000.000,237550000.000,239118000.000,344645000.000,346590000.000,349272000.000,488083000.000,493681000.000,497718000.000,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,684870000.000
Assets,59616000.000,178221000.000,165611000.000,151444000.000,247202000.000,221932000.000,196802000.000,306626000.000,311501000.000,312601000.000,455771000.000
AssetsCurrent,51414000.000,105463000.000,124490000.000,122529000.000,224188000.000,217233000.000,193196000.000,303325000.000,273508000.000,283991000.000,433339000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,215202000.000,,,,270895000.000,
AvailableForSaleSecurities,,163364000.000,158004000.000,,,215308000.000,188767000.000,296799000.000,275862000.000,275758000.000,432044000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,2000.000,39000.000,7000.000,22000.000,17000.000,66000.000,50000.000,21000.000,7000.000,19000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,213000.000,71000.000,106000.000,44000.000,114000.000,18000.000,7000.000,120000.000,259000.000,194000.000
AvailableForSaleSecuritiesAmortizedCost,,163575000.000,158036000.000,,,215405000.000,188719000.000,296756000.000,275961000.000,276010000.000,432219000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,,90795000.000,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,,84458000.000,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,,6337000.000,,,,,
AvailableForSaleSecuritiesCurrent,,41793000.000,70332000.000,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,,,,,214180000.000,,,,246318000.000,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,,214086000.000,,,,246092000.000,
AvailableForSaleSecuritiesDebtSecurities,,,,,,215105000.000,,,,270643000.000,
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,,,,23399000.000,17441000.000,1019000.000,,,34722000.000,24551000.000,18430000.000
AvailableForSaleSecuritiesNoncurrent,,66483000.000,35668000.000,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,50845000.000,55358000.000,52144000.000,32713000.000,120276000.000,107242000.000,92371000.000,210981000.000,55656000.000,41793000.000,201917000.000
CommonStockCapitalSharesReservedForFutureIssuance,17892565.000,4644458.000,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,,,,0.001,,,,0.001,
CommonStockSharesAuthorized,126000000.000,500000000.000,,,,500000000.000,,,,500000000.000,
CommonStockSharesIssued,907514.000,24628670.000,,,,29972845.000,,,,35652049.000,
CommonStockSharesOutstanding,907514.000,24628670.000,,,,29972845.000,,,,35652049.000,
CommonStockValue,1000.000,25000.000,25000.000,25000.000,30000.000,30000.000,30000.000,35000.000,36000.000,36000.000,42000.000
DebtInstrumentInterestRateStatedPercentage,0.055,,,,,,,,,,
DeferredIncomeTaxLiabilities,,,,,,194000.000,,,,194000.000,
DeferredOfferingCosts,3300000.000,,,,,,,,,,
DeferredRevenueCurrent,,,,,,,,,3298000.000,4265000.000,4265000.000
DeferredRevenueNoncurrent,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,31583000.000,29550000.000,28484000.000
DeferredTaxAssetsDeferredIncome,,3423000.000,,,,,,,,3400000.000,
DeferredTaxAssetsGross,,30793000.000,,,,56761000.000,,,,88458000.000,
DeferredTaxAssetsLiabilitiesNet,,-816000.000,,,,,,,,,
DeferredTaxAssetsNet,,,,,,0.000,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,24395000.000,,,,51703000.000,,,,74586000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,529000.000,,,,510000.000,,,,463000.000,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,1345000.000,,,,1910000.000,,,,4552000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,1101000.000,,,,2638000.000,,,,5457000.000,
DeferredTaxAssetsValuationAllowance,,30793000.000,,,,56761000.000,,,,88458000.000,
DeferredTaxLiabilities,,816000.000,,,,194000.000,,,,194000.000,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedResearchAndDevelopmentCosts,,816000.000,,,,194000.000,,,,194000.000,
DeferredTaxLiabilitiesGrossNoncurrent,,,,,816000.000,,,,,,
DeferredTaxLiabilitiesNoncurrent,785000.000,816000.000,816000.000,816000.000,,194000.000,194000.000,194000.000,194000.000,194000.000,194000.000
EmployeeRelatedLiabilitiesCurrent,1668000.000,2463000.000,1498000.000,1924000.000,2985000.000,3848000.000,2026000.000,2958000.000,4468000.000,5839000.000,3136000.000
FairValueAssetsLevel1ToLevel2TransfersAmount,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FairValueAssetsLevel2ToLevel1TransfersAmount,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Goodwill,771000.000,771000.000,771000.000,771000.000,771000.000,771000.000,771000.000,771000.000,771000.000,771000.000,771000.000
IndefiniteLivedIntangibleAssetsExcludingGoodwill,3520000.000,3520000.000,3520000.000,3520000.000,3520000.000,1126000.000,1126000.000,1126000.000,1126000.000,1126000.000,1126000.000
