,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1245000.000,,,,856000.000,,,,1093000.000,,,,2683000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,588000.000,,,,462000.000,,,,456000.000
AllocatedShareBasedCompensationExpense,,,,,,1388000.000,1500000.000,,1093000.000,1977000.000,2267000.000,,2683000.000
AmortizationOfAcquiredIntangibleAssets,,,,,,1987000.000,2119000.000,,,,,,
AmortizationOfFinancingCosts,,,,,70000.000,70000.000,70000.000,80000.000,86000.000,85000.000,85000.000,86000.000,99000.000
AmortizationOfIntangibleAssets,,,,,,,,,2346000.000,2402000.000,2474000.000,2068000.000,2830000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,85586.000,344634.000,347860.000,-497541.000,29961.000,4000.000,5782.000,-34794.000,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,0.570,0.690,0.400,0.660,0.650,0.640,0.580,0.540,0.120
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,0.540,0.650,0.380,0.630,0.610,0.610,0.550,0.510,0.120
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,8749000.000,10532000.000,6096000.000,10240000.000,10091000.000,10081000.000,9177000.000,8696000.000,1978000.000
BusinessAcquisitionsProFormaRevenue,,,,,88613000.000,87758000.000,81628000.000,95878000.000,105920000.000,103358000.000,104416000.000,101381000.000,134715000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,7174000.000,,,,-3722000.000,,,,2996000.000,,,,-5820000.000
CostOfGoodsSold,44776000.000,43203000.000,47470000.000,51874000.000,51819000.000,50827000.000,49074000.000,53159000.000,58618000.000,59080000.000,61842000.000,61199000.000,68401000.000
DeferredIncomeTaxExpenseBenefit,-612000.000,,,,105000.000,,,,156000.000,,,,907000.000
Depreciation,,,,,2308000.000,2243000.000,2334000.000,2625000.000,2500000.000,2653000.000,2796000.000,2852000.000,3036000.000
DepreciationDepletionAndAmortization,3520000.000,,,,4372000.000,,,,4932000.000,,,,5965000.000
DilutiveSecurities,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EarningsPerShareBasic,0.530,0.440,0.310,0.560,0.560,0.680,0.400,0.580,0.580,0.640,0.580,0.590,0.060
EarningsPerShareDiluted,0.500,0.420,0.300,0.520,0.530,0.640,0.380,0.570,0.550,0.600,0.550,0.560,0.060
EffectOfExchangeRateOnCashAndCashEquivalents,345000.000,,,,-399000.000,,,,286000.000,,,,-148000.000
EquityMethodInvestmentDividendsOrDistributions,0.000,,,,825000.000,,,,615000.000,,,,677000.000
ForeignCurrencyTransactionGainLossBeforeTax,399000.000,-378000.000,-27000.000,181000.000,-39000.000,-202000.000,7000.000,344000.000,-154000.000,-444000.000,-102000.000,-437000.000,-2619000.000
ForeignCurrencyTransactionLossBeforeTax,,,,,,,,,,,,,2400000.000
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,264000.000
GainLossOnForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,,,,227000.000,-14000.000,-217000.000,-145000.000,56000.000,,-285000.000,,64000.000
GainLossOnSaleOfPropertyPlantEquipment,0.000,,,,,,,,,,,,
GoodwillAcquiredDuringPeriod,,,,,,,,,18252000.000,,,,39969000.000
GoodwillTransfers,,,,,,,,,,,,,-216000.000
GoodwillTranslationAdjustments,,,,,62000.000,,,,515000.000,,,,1349000.000
GrossProfit,32408000.000,30040000.000,28871000.000,34562000.000,36794000.000,36931000.000,32554000.000,35810000.000,41894000.000,43792000.000,42574000.000,43666000.000,45728000.000
ImpairmentChargeOnReclassifiedAssets,,,,,400000.000,489000.000,,,,,,,
ImpairmentOfLongLivedAssetsToBeDisposedOf,,,,,,489000.000,0.000,,,0.000,0.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,8286000.000,5882000.000,,11155000.000,13909000.000,7171000.000,10304000.000,11567000.000,12929000.000,11282000.000,12251000.000,1218000.000
IncomeLossFromEquityMethodInvestments,-137000.000,-235000.000,240000.000,938000.000,229000.000,163000.000,143000.000,121000.000,121000.000,165000.000,189000.000,201000.000,223000.000
IncomeTaxExpenseBenefit,1453000.000,1630000.000,1187000.000,1883000.000,2566000.000,3503000.000,1075000.000,1202000.000,2506000.000,2909000.000,2105000.000,2754000.000,250000.000
IncomeTaxesPaid,-2691000.000,,,,-2487000.000,,,,1862000.000,,,,2164000.000
IncreaseDecreaseInAccountsPayable,411000.000,,,,-2415000.000,,,,2382000.000,,,,-3336000.000
IncreaseDecreaseInAccountsReceivable,59000.000,,,,4420000.000,,,,4324000.000,,,,-2651000.000
