,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AccretionExpense,564403.000,827771.000,1035717.000,298130.000
AmortizationOfFinancingCosts,595263.000,725408.000,912481.000,218357.000
AssetRetirementObligationAccretionExpense,,-827771.000,-1035717.000,-298130.000
AssetRetirementObligationForeignCurrencyTranslation,,4595.000,,
AssetRetirementObligationLiabilitiesIncurred,,14252.000,,
AssetRetirementObligationLiabilitiesSettled,,554991.000,108123.000,78711.000
AssetRetirementObligationRevisionOfEstimate,,4846818.000,453660.000,-5789.000
BusinessCombinationAcquisitionRelatedCosts,956100.000,,,
CapitalExpendituresIncurredButNotYetPaid,-931479.000,450007.000,26546.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-78668.000,,,14786133.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,-71550000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,96978004.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,-6041017.000
ComprehensiveIncomeNetOfTax,2828635.000,-148696261.000,,
ConversionOfStockSharesConverted1,,,,52202569.000
CurrentFederalTaxExpenseBenefit,,,,652543.000
CurrentIncomeTaxExpenseBenefit,,,,677543.000
CurrentStateAndLocalTaxExpenseBenefit,,25000.000,25000.000,25000.000
DeferredFederalIncomeTaxExpenseBenefit,,-36174788.000,12612658.000,19720709.000
DeferredIncomeTaxExpenseBenefit,1971417.000,44018200.000,,
DeferredStateAndLocalIncomeTaxExpenseBenefit,,-3344193.000,566595.000,2208125.000
DefinedContributionPlanCostRecognized,,227299.000,174958.000,86122.000
DepreciationDepletionAndAmortization,8145316.000,11531565.000,4594093.000,113817.000
DerivativeGainLossOnDerivativeNet,9571180.000,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,62455861.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,-736025.000,,63033319.000
DiscontinuedOperationProvisionForLossGainOnDisposalNetOfTax,,,,63033311.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,652543.000
