,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndOtherAccruedLiabilities,,,,,,,,,,,,,,8013495.000
AccountsPayableOtherCurrent,,,,,,,,,,,,,,918807.000
AccountsReceivableNetCurrent,,,127.000,,,,,,,,,,,182487.000
AccruedLiabilitiesCurrent,1583.000,401.000,690.000,611.000,1719.000,728.000,11244.000,687.000,588.000,1377.000,386.000,611.000,397.000,114903.000
AccruedLiabilitiesForUnredeeemedGiftCards,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,,-50031.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,,-3357.000
AdditionalPaidInCapital,-67442.000,-67442.000,-67442.000,-63500.000,-46381.000,-46381.000,-46381.000,-46381.000,-46381.000,-46381.000,-46381.000,-46381.000,10875.000,7374771.000
Assets,4484.000,775.000,7105.000,10659.000,26693.000,21341.000,4770.000,3863.000,1983.000,1818.000,4748.000,1775.000,759.000,11417976.000
AssetsCurrent,4484.000,775.000,6701.000,10255.000,26693.000,21341.000,4770.000,3863.000,,1818.000,4748.000,,,1514086.000
Capital,,,,,,,,,,,,,,2027400.000
Cash,4484.000,775.000,4283.000,9410.000,26693.000,21341.000,4770.000,3863.000,1983.000,1818.000,4748.000,1775.000,759.000,490840.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000
CommonStockSharesIssued,7000000.000,7000000.000,7000000.000,7207500.000,8108500.000,8108500.000,8108500.000,8108500.000,8108500.000,8108500.000,8108500.000,8108500.000,810850.000,38842659.000
CommonStockSharesOutstanding,7000000.000,7000000.000,7000000.000,7207500.000,8108500.000,8108500.000,8108500.000,8108500.000,8108500.000,8108500.000,8108500.000,8108500.000,810850.000,38842659.000
CommonStockValue,7000.000,7000.000,7000.000,7208.000,8109.000,8109.000,8109.000,8109.000,8109.000,8109.000,8109.000,8109.000,811.000,38842.000
ConstructionInProgressGross,,,,,,,,,,,,,,3660000.000
DeferredTaxAssetsGross,,,,,,,,,,,,,,633000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,,,,826000.000
DeferredTaxAssetsOther,,,,,,,,,,,,,,23000.000
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,,,,,,,,,63000.000
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,,,,-633000.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-63343.000,-55816.000,-53479.000,-52962.000,-49868.000,-45507.000,-18420.000,-16070.000,-13289.000,-6835.000,,,,
DueToRelatedPartiesCurrent,,,,,13378.000,13378.000,13378.000,25378.000,26378.000,31878.000,47958.000,47958.000,,918807.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,,,,,,,,,85000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,,,,,,,,-701250.000
FiniteLivedIntangibleAssetsGross,,,,,,,,,,,,,,4950000.000
FiniteLivedIntangibleAssetsNet,,,,,,,,,,,,,,4248750.000
Goodwill,,,,,,,,,,,,,,1105942.000
InventoryFinishedGoods,,,2291.000,845.000,,,,,,,,,,
InventoryGross,,,,,,,,,,,,,,214888.000
InventoryNet,,,2291.000,845.000,,,,,,,,,,209904.000
InventoryPartsAndComponentsNetOfReserves,,,,,,,,,,,,,,11029.000
InventoryRawMaterialsAndSupplies,,,,,,,,,,,,,,6214.000
InventoryRealEstateLandAndLandDevelopmentCosts,,,,,,,,,,,,,,-4984.000
InventoryWorkInProcess,,,,,,,,,,,,,,197645.000
Liabilities,,,,,,,,,,,,,,2882704.000
LiabilitiesAndStockholdersEquity,4484.000,775.000,7105.000,10659.000,26693.000,21341.000,4770.000,3863.000,1983.000,1818.000,4748.000,1775.000,759.000,11417976.000
LiabilitiesCurrent,1583.000,5401.000,14068.000,13989.000,15097.000,14106.000,24622.000,26065.000,26966.000,33255.000,48344.000,48569.000,397.000,2880333.000
MachineryAndEquipmentGross,,,404.000,404.000,,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsReceivableCurrent,,,,,,,,,,,,,,850.000
OperatingLeasesFutureMinimumPaymentsReceivableInTwoYears,,,,,,,,,,,,,,7082.000
OperatingLossCarryforwards,,,,,,,,,59000.000,,,,,
OperatingLossCarryforwardsValuationAllowance,,,,,22000.000,,,,,,,,11000.000,
OtherAssetsNoncurrent,,,,,,,,,,,,,,810312.000
OtherLiabilitiesCurrent,,,,,,,,,,,,,,1846623.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,,,0.000,0.000,,,,0.000,0.000,,,,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,,,,,,,,,,,,,,270855.000
PropertyPlantAndEquipmentGross,,,,,,,,,,,,,,128917.000
PropertyPlantAndEquipmentNet,,,,,,,,,,,,,,3738886.000
PropertyPlantAndEquipmentOtherNet,,,,,,,,,,,,,,78886.000
RetainedEarningsAccumulatedDeficit,,,,,,,,,,,-5324.000,-8522.000,-11324.000,-902384.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,,,,,,,,,,2848577.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,,,,,,,,,,,0.120
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,,,,,,,,,,4661307.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,,,,,,,,,,0.001
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedNumberOfShares,,,,,,,,,,,,,,1768191.000
StockholdersEquity,2901.000,-4626.000,-6963.000,-3330.000,11596.000,7235.000,-19852.000,-22202.000,-24983.000,-31437.000,-43596.000,-46794.000,362.000,8535272.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,8535272.000
