,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,4592.000,1880.000,916.000,82449.000,158500.000,51951.000,119980.000,223502.000,177939.000,1721000.000,4629000.000,4418000.000,3314000.000,2206000.000
AccountsReceivableNetCurrent,,,,,,,,,,5716000.000,10061000.000,7586000.000,4857000.000,5001000.000
AccruedIncomeTaxesCurrent,,,,4778.000,,,,,,,,,,
AccruedPayrollTaxesCurrent,,,,,0.000,0.000,0.000,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,-335000.000,,,
AdditionalPaidInCapital,,,,,,,,2234797.000,2289957.000,6094000.000,17820000.000,17891000.000,24622000.000,24690000.000
AdditionalPaidInCapitalCommonStock,495098.000,655397.000,655398.000,2184091.000,2187744.000,2190844.000,2225340.000,,,,,,,
AllowanceForDoubtfulAccountsPremiumsAndOtherReceivables,,,,,,,,,,101000.000,343000.000,,,
AllowanceForDoubtfulAccountsReceivable,,,,,,50000.000,50000.000,,,,,343000.000,343000.000,343000.000
Assets,4535.000,119611.000,80461.000,2004914.000,1580200.000,1120735.000,667211.000,66715.000,1821.000,9855000.000,27916000.000,25508000.000,24647000.000,22257000.000
AssetsCurrent,,,,1878527.000,1320162.000,756053.000,277024.000,51128.000,1821.000,6906000.000,12807000.000,10273000.000,9403000.000,6989000.000
BankOverdrafts,,,,,,,,,,0.000,0.000,,,
BridgeLoan,,,,,,,,120000.000,300000.000,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireePercentage,,,,,0.460,0.460,0.460,0.460,0.460,,,,,
CapitalizedComputerSoftwareNet,,,,21275.000,144400.000,249525.000,374214.000,,,,1000000.000,,1000000.000,
Cash,,,,,1235753.000,724556.000,258857.000,35127.000,1821.000,1016000.000,2478000.000,2306000.000,,
CashAndCashEquivalentsAtCarryingValue,2553.000,117629.000,30461.000,1784114.000,1235753.000,724556.000,258857.000,35127.000,1821.000,1016000.000,2478000.000,2306000.000,4322000.000,1768000.000
CashFDICInsuredAmount,,,,,,,,,,250000.000,250000.000,250000.000,250000.000,250000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,,,6000000.000,6000000.000,6000000.000,33951133.000,,,,,,
