,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,309000.000,1014000.000,1863000.000,1791000.000,1261000.000,1470000.000,1427000.000,1676000.000
AccruedLiabilitiesCurrent,2796000.000,1848000.000,3118000.000,3395000.000,4433000.000,10249000.000,9921000.000,8440000.000
AccruedProfessionalFeesCurrent,1846000.000,657000.000,381000.000,296000.000,536000.000,729000.000,967000.000,1011000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,68000.000,98000.000,153000.000,278000.000,410000.000,545000.000,687000.000,831000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-2000.000,-88000.000,6000.000,31000.000,14000.000,-27000.000,-122000.000
AdditionalPaidInCapital,2464000.000,256211000.000,259668000.000,262244000.000,265489000.000,269562000.000,420151000.000,424862000.000
Assets,62074000.000,222814000.000,212361000.000,199929000.000,185696000.000,173727000.000,298789000.000,276289000.000
AssetsCurrent,60607000.000,217787000.000,197457000.000,185231000.000,172750000.000,152581000.000,251680000.000,248872000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,2784000.000,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDate,,106730000.000,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,103946000.000,,,,,,
CapitalLeaseObligationsCurrent,,,,,,,12000.000,
CapitalLeaseObligationsNoncurrent,,,,,,,85000.000,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,161000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,33000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,26000.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,35000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,34000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,33000.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,,64000.000,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,,97000.000,
CashAndCashEquivalentsAtCarryingValue,58502000.000,112661000.000,76677000.000,65045000.000,74430000.000,76911000.000,124010000.000,78714000.000
CashAndCashEquivalentsFairValueDisclosure,58502000.000,,,,,,,
CashCashEquivalentsAndShortTermInvestments,,,,,,,282500000.000,259300000.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,50046000.000,50046000.000,290000000.000,290000000.000,290000000.000,290000000.000,290000000.000,290000000.000
CommonStockSharesIssued,5698175.000,42249431.000,42238900.000,42241000.000,42304000.000,42349000.000,50204000.000,50316000.000
CommonStockSharesOutstanding,5698175.000,42249431.000,42238900.000,42241000.000,42304000.000,42349000.000,50204000.000,50316000.000
CommonStockValue,,4000.000,4000.000,4000.000,4000.000,4000.000,5000.000,5000.000
DeferredTaxAssetsGross,,,14371000.000,,,,36466000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,9857000.000,,,,27109000.000,
DeferredTaxAssetsTaxCreditCarryforwards,,,1296000.000,,,,3585000.000,
