,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,706000.000,,,,477000.000
AllocatedShareBasedCompensationExpense,706000.000,545000.000,548000.000,571000.000,477000.000
AmortizationOfDebtDiscountPremium,14000.000,,,,163000.000
AmortizationOfFinancingCosts,14000.000,,,,86000.000
AmortizationOfIntangibleAssets,68000.000,67000.000,62000.000,72000.000,72000.000
CapitalExpendituresIncurredButNotYetPaid,500000.000,,,,51000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,90145000.000,,,,-15643000.000
ComprehensiveIncomeNetOfTax,-7142000.000,-8761000.000,-9450000.000,-13077000.000,-13122000.000
CostOfGoodsSold,1055000.000,927000.000,1144000.000,1680000.000,2101000.000
CostOfRevenue,,1263000.000,1628000.000,,2411000.000
CostOfServices,,336000.000,484000.000,,310000.000
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,1500000.000,,,,
EarningsPerShareBasic,-0.700,-0.850,-0.920,-1.270,-1.270
EarningsPerShareBasicAndDiluted,-0.700,-0.850,-0.920,-1.270,-1.270
EarningsPerShareDiluted,-0.700,-0.850,-0.920,-1.270,-1.270
FairValueAdjustmentOfWarrants,,100000.000,40000.000,,200000.000
GainLossOnDispositionOfAssets,-40000.000,,,,
GoodwillImpairmentLoss,,,,,0.000
GrossProfit,1007000.000,1291000.000,2138000.000,1669000.000,2629000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-7142000.000,-8761000.000,-9450000.000,-13075000.000,-13122000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,3300000.000,,,,-3240000.000
IncreaseDecreaseInAccountsReceivable,414000.000,,,,1276000.000
IncreaseDecreaseInDeferredCompensation,,,,,125000.000
IncreaseDecreaseInInventories,,,,,-1056000.000
IncreaseDecreaseInOtherNoncurrentAssets,526000.000,,,,
IncreaseDecreaseInOtherNoncurrentLiabilities,526000.000,,,,178000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,818000.000,,,,-238000.000
InterestExpense,59000.000,464000.000,455000.000,422000.000,
InterestIncomeExpenseNonoperatingNet,,,,,-370000.000
InventoryWriteDown,,,,,156000.000
NetCashProvidedByUsedInFinancingActivities,94308000.000,,,,7000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,94308000.000,,,,7000.000
NetCashProvidedByUsedInInvestingActivities,-702000.000,,,,-531000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-702000.000,,,,-531000.000
NetCashProvidedByUsedInOperatingActivities,-3461000.000,,,,-15119000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-3461000.000,,,,-15119000.000
NetIncomeLoss,-7142000.000,-8761000.000,-9450000.000,-13075000.000,-13122000.000
NumberOfReportableSegments,1.000,,,,2.000
NumberOfReportingUnits,,,,,2.000
OperatingExpenses,8090000.000,9541000.000,11127000.000,14749000.000,15178000.000
OperatingIncomeLoss,-7083000.000,-8250000.000,-8989000.000,-13080000.000,-12549000.000
OtherCostAndExpenseOperating,469000.000,,,,
OtherNonoperatingExpense,,47000.000,6000.000,,573000.000
OtherNonoperatingIncomeExpense,,,,,-203000.000
OtherOperatingIncomeExpenseNet,,,-7000.000,,
PaymentsOfDebtIssuanceCosts,295000.000,,,,42000.000
PaymentsToAcquirePropertyPlantAndEquipment,702000.000,,,,531000.000
PaymentsToMinorityShareholders,6818000.000,,,,
ProceedsFromIssuanceOfLongTermDebt,15000000.000,,,,
ProceedsFromStockOptionsExercised,,,,,49000.000
PropertyPlantAndEquipmentAdditions,1200000.000,,,,
ProvisionForDoubtfulAccounts,,,,,44000.000
ResearchAndDevelopmentExpense,3536000.000,3447000.000,3114000.000,4427000.000,4373000.000
Revenues,2062000.000,2554000.000,3766000.000,4153000.000,5040000.000
SalesRevenueGoodsNet,1551000.000,1890000.000,2603000.000,3270000.000,4588000.000
SalesRevenueNet,2062000.000,2554000.000,3766000.000,4153000.000,5040000.000
SalesRevenueServicesNet,511000.000,664000.000,1163000.000,883000.000,452000.000
SellingGeneralAndAdministrativeExpense,4085000.000,6094000.000,8006000.000,10322000.000,10805000.000
ShareBasedCompensation,706000.000,,,,477000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,0.000,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,0.550,,0.550
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,0.016,,0.022
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,9735.000
StockIssuedDuringPeriodValueStockOptionsExercised,,,,,49000.000
WeightedAverageNumberDilutedSharesOutstandingAdjustment,0.000,0.000,0.000,0.000,0.000
WeightedAverageNumberOfDilutedSharesOutstanding,10258000.000,10266000.000,10279000.000,-20526000.000,10335000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,10258000.000,10266000.000,10279000.000,-20526000.000,10335000.000
WeightedAverageNumberOfSharesOutstandingBasic,10258000.000,10266000.000,10279000.000,-20526000.000,10335000.000
