,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndOtherAccruedLiabilities,5333.000,352673.000,416030.000,171105.000,330898.000,328410.000,383488.000,267726.000,587807.000
AccruedLiabilitiesForCommissionsExpenseAndTaxes,,1128053.000,1199793.000,,,,,,
AdditionalPaidInCapital,199800.000,730298.000,2085175.000,4425374.000,7273224.000,10660373.000,38494302.000,52616396.000,75335667.000
Assets,199920.000,1793465.000,2891324.000,5213448.000,10325953.000,16417623.000,49020589.000,64721649.000,87287912.000
CashAndCashEquivalentsAtCarryingValue,166660.000,1793465.000,2891324.000,1213014.000,4219688.000,512321.000,23407820.000,21874240.000,19862460.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,62000.000,358500.000,1000.000,100000.000,0.000,40000.000,274449.000,1536512.000
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,20000.000,254675.000,436986.000,723975.000,1084525.000,1500385.000,4782791.000,6397005.000,8939751.000
CommonStockSharesOutstanding,20000.000,254675.000,436986.000,723975.000,1084525.000,1500385.000,4782791.000,6397005.000,8939751.000
CommonStockValue,200.000,2547.000,4370.000,7240.000,10845.000,15004.000,47828.000,63970.000,89397.000
DepositAssets,,,,,,,3418768.000,,
DueFromRelatedParties,33260.000,,,,,,,28696.000,0.000
DueToAffiliateCurrentAndNoncurrent,,822618.000,842598.000,865436.000,14353.000,609.000,1536.000,0.000,1735579.000
EquityMethodInvestments,,,,,,,,,30371234.000
InterestPayableCurrentAndNoncurrent,,,,,,,,71863.000,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,,,,4000000.000,6100000.000,15900000.000,22194001.000,37000000.000,37000000.000
Liabilities,5333.000,1175291.000,1258628.000,1082711.000,409529.000,427120.000,11151278.000,13384877.000,15631751.000
LiabilitiesAndStockholdersEquity,199920.000,1793465.000,2891324.000,5213448.000,10325953.000,16417623.000,49020589.000,64721649.000,87287912.000
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,10464800.000,12703876.000,12749974.000
PreferredStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,,,,,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,,,,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrentAndNoncurrent,,,,434.000,6265.000,5302.000,,,
RetainedEarningsAccumulatedDeficit,-5413.000,-52671.000,-98349.000,-300877.000,-376658.000,-366887.000,-632819.000,-1069145.000,-2232391.000
SharePrice,,,,,,,,10.000,
SharesIssuedPricePerShare,,,,9.500,,,,,
StockholdersEquity,194587.000,618174.000,1632696.000,4130737.000,9916424.000,15990503.000,37869311.000,51336772.000,71656161.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,194587.000,618174.000,1632696.000,4130737.000,9916424.000,15990503.000,37869311.000,51336772.000,71656161.000
