,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,295864000.000,271033000.000,319365000.000,316926000.000,357106000.000,397703000.000,431085000.000,421178000.000,469764000.000,447080000.000,468408000.000,491646000.000,549713000.000,513529000.000,501729000.000,514337000.000,539083000.000
AccountsPayableCurrent,174089000.000,,,,234462000.000,,,,297140000.000,,,,365223000.000,,,,381186000.000
AccruedIncomeTaxesCurrent,11678000.000,5610000.000,0.000,3095000.000,14294000.000,9793000.000,1946000.000,1126000.000,496000.000,2400000.000,1792000.000,2957000.000,3043000.000,4234000.000,5954000.000,5198000.000,2973000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,393284000.000,,,,440575000.000,,,,514252000.000,,,,604194000.000,,,,691223000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,-209000.000,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,1818000.000,-1764000.000,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,-25576000.000,-41099000.000,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-27688000.000,-43072000.000,-37691000.000,-18023000.000,-8440000.000,-7715000.000,-8169000.000,-42054000.000,-61118000.000,-104061000.000,-88141000.000,-102962000.000,-131534000.000,-86406000.000,-108002000.000,-107357000.000,-161609000.000
AdditionalPaidInCapitalCommonStock,792828000.000,833940000.000,846632000.000,850914000.000,851017000.000,862380000.000,868199000.000,874750000.000,878549000.000,890469000.000,906320000.000,912509000.000,914975000.000,924932000.000,933653000.000,943833000.000,950273000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1171000.000,1266000.000,1332000.000,1512000.000,1345000.000,1430000.000,1452000.000,1888000.000,2343000.000,2978000.000,2492000.000,2492000.000,2127000.000,2416000.000,1812000.000,1861000.000,2639000.000
Assets,2168011000.000,2170763000.000,2231371000.000,2276268000.000,2283184000.000,3017446000.000,3111884000.000,3306741000.000,3372841000.000,3364881000.000,3485363000.000,4275479000.000,4228869000.000,4305733000.000,4354319000.000,4412711000.000,4468888000.000
