,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
BusinessExitCosts,17202.000,,,,0.000,,,,,,,,,
CashPeriodIncreaseDecrease,,,,,51084.000,,,,187203.000,,,,,
ComprehensiveIncomeNetOfTax,-50234.000,-85358.000,-185145.000,-282965.000,,,,,,,,,,
ContractRevenueCost,203012.000,267250.000,316818.000,257844.000,215607.000,221031.000,160102.000,116586.000,171328.000,146950.000,402044.000,112299.000,246049.000,352033.000
ContractsRevenue,299138.000,339688.000,412821.000,-279791.000,,,,,,,,,,
CostOfGoodsAndServicesSold,1130988.000,1128129.000,1704771.000,1391107.000,1619114.000,1409320.000,1322426.000,1273412.000,1546556.000,1394670.000,1322107.000,1457551.000,1143455.000,1444909.000
CostOfGoodsSold,927976.000,860879.000,1387953.000,1133263.000,1403507.000,1188289.000,1162324.000,1156826.000,1375228.000,1247720.000,920063.000,1345252.000,897406.000,1092876.000
DepreciationDepletionAndAmortization,70138.000,,,,74326.000,,,,62998.000,,,,72824.000,
EarningsPerShareBasic,0.000,0.000,-0.000,,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,-0.010,0.010
EarningsPerShareBasicAndDiluted,,,,,0.000,,,,,,,,,
EarningsPerShareDiluted,0.000,0.000,-0.000,,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,-0.010,0.010
GeneralAndAdministrativeExpense,424908.000,470667.000,505253.000,488490.000,428836.000,479177.000,533603.000,541159.000,540510.000,558948.000,610289.000,737747.000,1142522.000,1206927.000
GrossProfit,1047220.000,937511.000,1012581.000,937051.000,1201952.000,1068907.000,1173129.000,1119545.000,1330957.000,1317009.000,1128478.000,1514250.000,1080652.000,2184362.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,98047.000,178497.000,60483.000,48410.000,-783071.000,433533.000
IncomeTaxExpenseBenefit,,,,,,,,,14000.000,,,,-9213.000,
IncreaseDecreaseInAccountsAndOtherReceivables,37023.000,,,,431032.000,,,,252437.000,,,,,
IncreaseDecreaseInAccountsPayable,44029.000,,,,220577.000,,,,70983.000,,,,198362.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,154100.000,,,,,,,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,,,,-723227.000,
IncreaseDecreaseInAccruedLiabilities,-58343.000,,,,-6381.000,,,,-54096.000,,,,183083.000,
IncreaseDecreaseInEmployeeRelatedLiabilities,12531.000,,,,-56696.000,,,,-5281.000,,,,-84600.000,
IncreaseDecreaseInInventories,27440.000,,,,101703.000,,,,-264023.000,,,,269028.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,9774.000,,,,54028.000,,,,198544.000,,,,-84153.000,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,646888.000,,,,,,,,,
InterestExpense,60222.000,28886.000,15337.000,17818.000,6400.000,5495.000,5047.000,3961.000,3797.000,2359.000,5520.000,3098.000,2741.000,2365.000
InterestPaidNet,62743.000,,,,6423.000,,,,3800.000,,,,2797.000,
InvestmentIncomeInterest,,,,,,,,,,,,,250.000,187.000
IssuanceOfStockAndWarrantsForServicesOrClaims,8114.000,,,,,,,,,,,,,
NetCashProvidedByUsedInContinuingOperations,334481.000,,,,-51084.000,,,,187203.000,,,,105697.000,
NetCashProvidedByUsedInFinancingActivities,328716.000,,,,93591.000,,,,236596.000,,,,-8519.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,328716.000,,,,93591.000,,,,236596.000,,,,-8519.000,
NetCashProvidedByUsedInInvestingActivities,-13788.000,,,,-14265.000,,,,-43840.000,,,,-48766.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-13788.000,,,,-14265.000,,,,-43840.000,,,,-48766.000,
NetCashProvidedByUsedInOperatingActivities,19553.000,,,,-130410.000,,,,-5553.000,,,,162982.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,19553.000,,,,-130410.000,,,,-5553.000,,,,162982.000,
NetIncomeLoss,-50234.000,-85358.000,-185145.000,-282965.000,198314.000,50372.000,62058.000,-32208.000,84047.000,178497.000,60483.000,48410.000,-773858.000,433533.000
NetIncomeLossAvailableToCommonStockholdersBasic,-55312.000,-90436.000,-190067.000,-287576.000,195240.000,50372.000,62058.000,-32208.000,84047.000,178497.000,60483.000,48410.000,-773858000.000,433533000.000
NonoperatingIncomeExpense,,-28636.000,-15201.000,,-6282.000,-5383.000,-4961.000,-1223.000,-3651.000,-2182.000,-5387.000,-2944.000,-14491.000,-2178.000
OperatingExpenses,1041528.000,994233.000,1182525.000,1202285.000,997356.000,1013152.000,1106110.000,1150530.000,1229259.000,1136330.000,1062608.000,1462896.000,1849232.000,1748651.000
OperatingIncomeLoss,5692.000,-56722.000,-169944.000,-265234.000,204596.000,55755.000,67019.000,-30985.000,101698.000,180679.000,65870.000,51354.000,-768580.000,435711.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationReclassificationAdjustmentRealizedUponSaleOrLiquidationNetOfTax,-49293.000,,,,,,,,,,,,,
OtherNonoperatingIncome,4296.000,250.000,136.000,-587.000,118.000,112.000,86.000,2268.000,146.000,177.000,133.000,,-12000.000,
PaymentsForRepurchaseOfConvertiblePreferredStock,,,,,,,,,9170.000,,,,,
PaymentsToAcquireMachineryAndEquipment,13788.000,,,,14265.000,,,,43840.000,,,,48766.000,
ProceedsFromIssuanceOfCommonStock,533998.000,,,,134268.000,,,,53654.000,,,,17024.000,
ProceedsFromLinesOfCredit,2199642.000,,,,1900509.000,,,,2121139.000,,,,,
RepaymentsOfLinesOfCredit,1377589.000,,,,1896872.000,,,,1893048.000,,,,,
RepaymentsOfLongTermCapitalLeaseObligations,24790.000,,,,26198.000,,,,27788.000,,,,25543.000,
RepaymentsOfLongTermDebt,,,,,18116.000,,,,8191.000,,,,,
RepaymentsOfNotesPayable,47760.000,,,,,,,,,,,,,
ResearchAndDevelopmentArrangementContractToPerformForOthersCompensationEarned,,,,,285399.000,293036.000,193975.000,174279.000,248011.000,206515.000,526637.000,176125.000,375532.000,1295807.000
ResearchAndDevelopmentExpense,90091.000,75167.000,166745.000,185059.000,127170.000,98847.000,173250.000,183528.000,205065.000,147748.000,37770.000,197331.000,254522.000,161169.000
Revenues,2178208.000,2065640.000,2717352.000,2328158.000,2821066.000,2478227.000,2495555.000,2392957.000,2877513.000,2711679.000,2450585.000,2971801.000,2224107.000,3629271.000
