,2011-12-31,2012-12-31
AdditionsToOtherAssetsAmount,,2300000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,7959000.000,11559000.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,3610000.000
AdvertisingExpense,,2300000.000
AllocatedShareBasedCompensationExpense,,13100000.000
AmortizationOfIntangibleAssets,1446000.000,1692000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,7083000.000
AssetImpairmentCharges,146000.000,1033000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-13670000.000,47929000.000
ComprehensiveIncomeNetOfTax,-35974000.000,-32619000.000
CostOfGoodsSold,8793000.000,16845000.000
CostOfRevenue,26883000.000,33800000.000
CostOfServices,1395000.000,1666000.000
CurrentIncomeTaxExpenseBenefit,,85000.000
CurrentStateAndLocalTaxExpenseBenefit,,85000.000
DebtInstrumentIncreaseDecreaseForPeriodNet,,3700000.000
DeferredIncomeTaxExpenseBenefit,,-11559000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,336000.000
DefinedContributionPlanEmployerMatchingContributionPercent,,0.060
Depreciation,4352000.000,5909000.000
DepreciationAndAmortization,4291000.000,7188000.000
EarningsPerShareBasicAndDiluted,-0.890,-0.760
EffectiveIncomeTaxRateContinuingOperations,,0.003
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,0.343
EffectiveIncomeTaxRateReconciliationNondeductibleExpense,,0.042
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,0.021
EffectiveIncomeTaxRateReconciliationPriorYearIncomeTaxes,,0.009
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.045
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,,3673000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,,3935000.000
