,2013-03-31,2013-06-30,2014-03-31,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,384000.000,,,,164000.000,,,,140000.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,9883000.000,,,,,,,,,,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,-15247000.000,,,-612162000.000,,,,-59430000.000,,,,-21240000.000
AllocatedShareBasedCompensationExpense,0.000,0.000,600000.000,,,0.000,,,,,,,,
AmortizationOfDebtDiscountPremium,,,529000.000,,,179000.000,,,,122000.000,,,,31000.000
AssumedPremiumsEarned,,,,,,,,1166000.000,,598000.000,626000.000,739000.000,693000.000,205000.000
AssumedPremiumsWritten,,,2039000.000,1673000.000,,,,,,,,,,
BenefitsLossesAndExpenses,,,,,,,,14211000.000,,1825000.000,1935000.000,1686000.000,-128000.000,1850000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-7523000.000,,,-75244000.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,,,,,,,,,-8739000.000,,,,19237000.000
ComprehensiveIncomeNetOfTax,,,0.000,,,0.000,,,,,,,,
CurrentFederalTaxExpenseBenefit,0.000,,,0.000,0.000,,,,,,,,,
DebtInstrumentPeriodicPayment,,,100000.000,,,3100000.000,,,,,,,,
DebtInstrumentRedemptionPricePercentage,,,1.000,,,,,,,,,,,
DividendsPreferredStock,,,9455000.000,,,4248000.000,,,,4500000.000,,,,4500000.000
DividendsPreferredStockStock,,,,,,700000.000,,,,,,,,
EarningsPerShareBasic,,,,0.090,-0.010,0.010,-0.390,-0.040,0.030,0.110,0.040,-0.100,0.280,0.020
EarningsPerShareBasicAndDiluted,,,-0.060,,,,,,,,,,,
EarningsPerShareDiluted,,,,0.070,-0.010,0.000,-0.390,-0.040,0.040,0.100,0.030,-0.100,0.270,0.020
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,,0.350,,,0.350,,,,0.350,,,,0.350
