,2011-12-31
AmortizationOfDebtDiscountPremium,1843.000
CashAndCashEquivalentsPeriodIncreaseDecrease,7005.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-99949.000
DepreciationDepletionAndAmortization,449417.000
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,323819.000
FinancingInterestExpense,465866.000
GainLossOnSaleOfDebtInvestments,4914.000
GeneralAndAdministrativeExpense,969721.000
IncomeLossAttributableToNoncontrollingInterest,3166.000
IncreaseDecreaseInAccountsAndOtherReceivables,-2341.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,265100.000
IncreaseDecreaseInDepositOtherAssets,34812.000
IncreaseDecreaseInDeposits,-53735.000
IncreaseDecreaseInDueToAffiliates,-296.000
IncreaseDecreaseInPrepaidExpense,-34019.000
IncreaseDecreaseInSecurityDeposits,35938.000
InterestExpense,464778.000
InterestIncomeOperating,3645.000
NetCashProvidedByUsedInFinancingActivities,-632946.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-632946.000
NetCashProvidedByUsedInInvestingActivities,31690.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,31690.000
NetCashProvidedByUsedInOperatingActivities,608261.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,608261.000
NetIncomeLoss,-96468.000
NetIncomeLossAllocatedToGeneralPartners,-996.000
NetIncomeLossAllocatedToLimitedPartners,-98638.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,-0.100
OperatingCostsAndExpenses,554849.000
OperatingExpenses,2912403.000
OperatingLeasesIncomeStatementLeaseRevenue,2751222.000
OtherIncome,61068.000
PartnersCapitalAccountDistributions,367940.000
PaymentsOfDividendsMinorityInterest,44121.000
PaymentsToAcquirePropertyPlantAndEquipment,-87208.000
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,91000.000
RealEstateTaxesAndInsurance,473638.000
RepaymentsOfFirstMortgageBond,265006.000
Revenues,2815935.000
SalesRevenueNet,2754867.000
WeightedAverageLimitedPartnershipUnitsOutstanding,984369.000
