,2016-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-34887.000
CostsAndExpensesRelatedParty,100000.000
DebtInstrumentPeriodicPayment,10000.000
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,-33666852.000
EarningsPerShareBasicAndDiluted,-0.230
EffectiveIncomeTaxRateContinuingOperations,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,-0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.390
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,-0.050
GeneralAndAdministrativeExpense,541802.000
GeneralInsuranceExpense,40150.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,106844.000
IncreaseDecreaseInPrepaidExpense,-27264.000
IncreaseDecreaseInRestrictedCashAndInvestments,40473422.000
InterestExpense,848.000
InterestPaid,848.000
InvestmentIncomeInterest,108422.000
NetCashProvidedByUsedInFinancingActivities,40702055.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,40702055.000
NetCashProvidedByUsedInInvestingActivities,-40365000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-40365000.000
NetCashProvidedByUsedInOperatingActivities,-371942.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-371942.000
NetIncomeLoss,-434228.000
OperatingIncomeLoss,-541802.000
OtherGeneralAndAdministrativeExpense,145285.000
ProceedsFromIssuanceInitialPublicOffering,37687975.000
ProceedsFromIssuanceOfPrivatePlacement,2620000.000
ProceedsFromRelatedPartyDebt,428000.000
ProfessionalFees,256367.000
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,10000.000
RepaymentsOfShortTermDebt,33920.000
StockIssuedDuringPeriodSharesStockOptionsExercised,180000.000
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,100.000
StockIssuedDuringPeriodValueNewIssues,36628499.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,1887614.000
