,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AccruedLiabilitiesAndOtherLiabilities,,,,,,,,,,,,,,,19028000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,18740000.000,,,,20340000.000,,,,21944000.000,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,4000.000,,,,,,-1777000.000,,,,1991000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,3003000.000,3865000.000,3313000.000,3228000.000,3737000.000,5004000.000,3927000.000,3303000.000,-879000.000,-833000.000,-1777000.000,-365000.000,1001000.000,642000.000,1991000.000,3258000.000
AdditionalPaidInCapital,34018000.000,34068000.000,34121000.000,34830000.000,34873000.000,34971000.000,35126000.000,35449000.000,34829000.000,35671000.000,38100000.000,38941000.000,39522000.000,40039000.000,41134000.000,41734000.000
AllowanceForCreditLossesChangeInMethodOfCalculatingImpairment,,,,,4374000.000,2837000.000,2498000.000,879.000,1791000.000,1737000.000,914000.000,1661000.000,1506000.000,1422000.000,2123000.000,1153000.000
Assets,1601719000.000,1624399000.000,1744724000.000,1752781000.000,1703865000.000,1721954000.000,1844104000.000,1820511000.000,1765890000.000,1802224000.000,1857492000.000,1859423000.000,1857787000.000,1826730000.000,1931656000.000,1902337000.000
AssetsFairValueDisclosure,,,,,322918000.000,304385000.000,316370000.000,301218000.000,308096000.000,312318000.000,,323617000.000,326989000.000,313472000.000,,294154000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,322913000.000,310572000.000,298075000.000,285926000.000
AvailableForSaleSecurities,277784000.000,294388000.000,322512000.000,322996000.000,321322000.000,302544000.000,314444000.000,299380000.000,306546000.000,310558000.000,341123000.000,321677000.000,324454000.000,311560000.000,301138000.000,290939000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,315661000.000,294962000.000,308495000.000,294375000.000,307878000.000,311820000.000,343816000.000,322240000.000,322913000.000,310572000.000,298075000.000,285926000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,,,,,167331000.000,179648000.000,,170792000.000,122710000.000,130365000.000,136399000.000,70207000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,,,,,167331000.000,179648000.000,,157756000.000,28563000.000,30649000.000,26688000.000,14046000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,,,,,0.000,0.000,,13036000.000,94147000.000,99716000.000,109711000.000,56161000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,,,,67483000.000,60454000.000,74416000.000,79301000.000,91566000.000,76520000.000,77489000.000,58274000.000,44276000.000,28220000.000,11159000.000,6159000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,,67967000.000,61071000.000,74907000.000,79614000.000,89605000.000,74436000.000,75324000.000,56878000.000,43329000.000,27696000.000,10941000.000,6176000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,,65648000.000,51409000.000,54060000.000,44079000.000,35790000.000,41404000.000,36139000.000,41036000.000,39400000.000,55056000.000,72051000.000,77058000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,,66294000.000,52076000.000,54630000.000,44257000.000,35719000.000,41316000.000,35445000.000,40390000.000,38600000.000,54325000.000,71396000.000,77189000.000
