,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AmortizationOfDebtDiscountPremium,,,19000.000,,,,14000.000,,,,92000.000,,,,208000.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,13538690.000,15126362.000,14534356.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,3398000.000,,,,-3919000.000,,,,-8707000.000,,,,-2775000.000,,
ComprehensiveIncomeNetOfTax,-75000.000,-9750000.000,-11289000.000,-7937000.000,-5206000.000,-4834000.000,-11196000.000,-8434000.000,-6186000.000,-1964000.000,-5661000.000,-3021000.000,-783000.000,-2388000.000,-7255000.000,-8431000.000,-11643000.000
ConcentrationRiskPercentage1,,,,,,,0.860,,,,,,,,,,
CostOfGoodsSold,282000.000,260000.000,538000.000,416000.000,493000.000,705000.000,708000.000,563000.000,720000.000,697000.000,785000.000,975000.000,1393000.000,1553000.000,2096000.000,1423000.000,784000.000
CostsAndExpenses,19447000.000,17709000.000,20236000.000,19419000.000,15768000.000,18112000.000,20503000.000,17186000.000,17332000.000,16104000.000,17143000.000,19996000.000,20135000.000,25684000.000,25066000.000,32278000.000,33221000.000
DebtInstrumentIncreaseAccruedInterest,,,,,,,,,,,1905000.000,,,,1276000.000,,
DebtInstrumentIncreaseDecreaseOtherNet,,,,,,,49000.000,,,,50000.000,,,,49000.000,,
DebtInstrumentPeriodicPaymentInterest,,,,,,,1176000.000,,,,629000.000,,,,1258000.000,,
DebtInstrumentPeriodicPaymentPrincipal,,,,,,,,,,,,,,,0.000,,
Depreciation,,,,265000.000,246000.000,,213000.000,204000.000,224000.000,218000.000,211000.000,211000.000,219000.000,227000.000,228000.000,251000.000,266000.000
DepreciationAndAmortization,,,313000.000,,,,214000.000,,,,211000.000,,,,228000.000,,
DirectOperatingCostRoyaltyExpense,,,,,,,,,,,,,342000.000,,1687000.000,2192000.000,2780000.000
EarningsPerShareBasicAndDiluted,0.000,-0.100,-0.110,-0.080,-0.050,-0.060,-0.110,-0.080,-0.060,-0.010,-0.050,-0.020,-0.010,-0.010,-0.050,-0.060,-0.080
EmployeeStockOwnershipPlanESOPCompensationExpense,,,,1177000.000,748000.000,,1944000.000,884000.000,1524000.000,1089000.000,1240000.000,2011000.000,2042000.000,1990000.000,2834000.000,4892000.000,5869000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-3612000.000,,,,-894000.000,,,,-2675000.000,,,,-1843000.000,,
IncreaseDecreaseInAccountsReceivable,,,-240000.000,,,,55000.000,,,,-1431000.000,,,,-2766000.000,,
IncreaseDecreaseInDeferredRevenue,,,-1159000.000,,,,-188000.000,,,,-196000.000,,,,-178000.000,,
IncreaseDecreaseInInventories,,,-32000.000,,,,-1034000.000,,,,-133000.000,,,,1361000.000,,
IncreaseDecreaseInOtherCurrentAssets,,,-1208000.000,,,,-103000.000,,,,379000.000,,,,-1619000.000,,
IncreaseDecreaseInOtherDeferredLiability,,,282000.000,,,,-30000.000,,,,-50000.000,,,,-73000.000,,
IncreaseDecreaseInOtherNoncurrentAssets,,,-106000.000,,,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingLiabilities,,,,,,,-88000.000,,,,127000.000,,,,-49000.000,,
IncreaseDecreaseInRestrictedCash,,,-1266000.000,,,,,,,,,,,,,,
InterestAndOtherIncome,,382000.000,25000.000,,,,,,,,38000.000,73000.000,81000.000,,,,
InterestExpenseDebt,,,,,,,2635000.000,,,,2646000.000,,,,2644000.000,,
InterestPaid,,,2603000.000,,,,1219000.000,,,,2468000.000,,,,2427000.000,,
InvestmentIncomeInterest,68000.000,,,6000.000,5000.000,,,4000.000,,,,,,,,,
LicenseAndMaintenanceRevenue,,,,,,,,,,,,,,,1032000.000,4228000.000,1362000.000
NetCashProvidedByUsedInFinancingActivities,,,-126000.000,,,,879000.000,,,,81518000.000,,,,424000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-126000.000,,,,879000.000,,,,81518000.000,,,,424000.000,,
