,2015-12-31,2016-12-31
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,456412.000,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationEmployeeStockPurchaseProgramRequisiteServicePeriodRecognition,2205676.000,1785326.000
AllocatedShareBasedCompensationExpense,2601448.000,
AmortizationOfDebtDiscountPremium,893502.000,1788088.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1862509.000,14458811.000
CashAndCashEquivalentsPeriodIncreaseDecrease,12693.000,2306952.000
ComprehensiveIncomeNetOfTax,-23411358.000,-14731344.000
DebtConversionConvertedInstrumentAmount1,456412.000,
DebtInstrumentInterestRateDuringPeriod,,0.025
EarningsPerShareBasicAndDiluted,-3.680,-0.900
EffectiveIncomeTaxRateContinuingOperations,0.000,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.400,-0.300
EffectiveIncomeTaxRateReconciliationNondeductibleExpense,0.020,0.070
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,,0.000
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,,0.000
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0.080,0.030
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,0.000
GeneralAndAdministrativeExpense,5029636.000,4846776.000
IncreaseDecreaseInAccountsPayable,219237.000,677185.000
IncreaseDecreaseInAccruedLiabilities,1560079.000,-141295.000
IncreaseDecreaseInDepositOtherAssets,,-40659.000
IncreaseDecreaseInDeposits,-79225.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,1079772.000,-273329.000
InterestIncomeExpenseNonoperatingNet,-88682.000,-21928.000
InterestPaid,,205139.000
InvestmentIncomeAmortizationOfPremium,131899.000,153735.000
NetCashProvidedByUsedInFinancingActivities,22214229.000,10348450.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,22214229.000,10348450.000
NetCashProvidedByUsedInInvestingActivities,-13470042.000,3029765.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-13470042.000,3029765.000
NetCashProvidedByUsedInOperatingActivities,-8731494.000,-11071263.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-8731494.000,-11071263.000
NetIncomeLoss,-23403988.000,-14731822.000
OperatingExpenses,11996478.000,13847275.000
OperatingIncomeLoss,-11996478.000,-13847275.000
OperatingLeasesRentExpenseNet,142288.000,253316.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,-7370.000,478.000
OtherNonoperatingIncomeExpense,-11407510.000,-884547.000
PaymentsForRepurchaseOfCommonStock,38.000,229.000
PaymentsOfStockIssuanceCosts,2782462.000,1096205.000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,418412.000,31061.000
PaymentsToAcquireInvestments,16033042.000,16922235.000
ProceedsFromIssuanceOfCommonStock,25392500.000,11548518.000
ProceedsFromSaleMaturityAndCollectionsOfInvestments,2563000.000,19952000.000
ProceedsFromSaleOfAvailableForSaleSecurities,0.000,0.000
ProceedsFromStockPlans,22641.000,22288.000
RepaymentsOfConvertibleDebt,,94861.000
ResearchAndDevelopmentExpense,6966842.000,9000499.000
Revenues,0.000,0.000
SalesRevenueNet,0.000,0.000
ShareBasedCompensation,2601448.000,1794327.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,0.000,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,0.852,0.826
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,0.018,0.016
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,78500.000,102375.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,443894.000,620818.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,6.260,1.400
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,8.540,5.550
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,8.490,2.010
StockIssued1,,440278.000
StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,5711.000,21616.000
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,1200000.000
StockIssuedDuringPeriodValueIssuedForServices,28760.000,
StockIssuedDuringPeriodValueNewIssues,29247711.000,
StockRepurchasedDuringPeriodValue,38.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,6355869.000,16278292.000
WeightedAverageNumberOfSharesCommonStockSubjectToRepurchaseOrCancellation,2158286.000,488943.000
WeightedAverageNumberOfSharesIssuedBasic,8514155.000,16767235.000
