,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28
AccountsPayableAndAccruedLiabilitiesCurrent,5039.000,7284.000,,1841.000,9645.000,3964.000,8212.000
AccountsPayableRelatedPartiesCurrent,333.000,833.000,333.000,833.000,333.000,333.000,333.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,213474.000,225830.000,234740.000
AdditionalPaidInCapital,183666.000,195666.000,195666.000,211666.000,211666.000,229716.000,229716.000
Assets,5408.000,11807.000,624.000,14345.000,9504.000,9517.000,4855.000
AssetsCurrent,5408.000,11807.000,624.000,14345.000,9504.000,9517.000,4855.000
CashAndCashEquivalentsAtCarryingValue,5408.000,11807.000,624.000,14345.000,9504.000,9517.000,4855.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,99000000.000,99000000.000,99000000.000,99000000.000,99000000.000,99000000.000,99000000.000
CommonStockSharesIssued,1333334.000,1333334.000,1333334.000,1333334.000,1333334.000,1333334.000,1333334.000
CommonStockSharesOutstanding,1333334.000,1333334.000,1333334.000,1333334.000,1333334.000,1333334.000,1333334.000
CommonStockValue,1334.000,1334.000,1334.000,1334.000,1334.000,1334.000,1334.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,184964.000,193310.000,196709.000,201329.000,213474.000,225830.000,234740.000
DueToRelatedPartiesCurrentAndNoncurrent,,,,,,,333.000
Liabilities,5372.000,8117.000,333.000,2674.000,9978.000,4297.000,8545.000
LiabilitiesAndStockholdersEquity,5408.000,11807.000,624.000,14345.000,9504.000,9517.000,4855.000
LiabilitiesCurrent,5372.000,8117.000,333.000,2674.000,9978.000,4297.000,8545.000
OperatingLossCarryforwards,,,,,213000.000,213000.000,235000.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
PreferredStockSharesIssued,0.000,0.000,,,0.000,0.000,
PreferredStockSharesOutstanding,0.000,0.000,,,0.000,0.000,
PreferredStockValue,,,,,0.000,0.000,0.000
StockholdersEquity,36.000,3690.000,291.000,11671.000,-474.000,5220.000,-3690.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,36.000,3690.000,291.000,11671.000,-474.000,5220.000,-3690.000
