,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,221210.000,289302.000,460373.000,553756.000,520308.000,590404.000,603099.000,523574.000,563889.000,564991.000,625717.000,650175.000,809018.000,626484.000,644039.000,617829.000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,,,,,617829.000
AccountsPayableCurrent,,,,269937.000,252793.000,304568.000,294624.000,314235.000,316096.000,355176.000,347805.000,416547.000,413700.000,288708.000,256842.000,
AccountsPayableCurrentAndNoncurrent,,,,,,,,,,,,,,,,199356.000
AccountsPayableTradeCurrentAndNoncurrent,,,,,,,,,,,,,,,0.000,0.000
AccountsReceivableNetCurrent,31363.000,109556.000,25202.000,163422.000,122064.000,136319.000,107728.000,112242.000,454733.000,372940.000,216898.000,291869.000,361276.000,362759.000,201185.000,100539.000
AccruedProfessionalFeesCurrent,,,,7624.000,45847.000,10935.000,30976.000,9050.000,6800.000,52279.000,144521.000,17850.000,76825.000,47657.000,42259.000,
AccruedProfessionalFeesCurrentAndNoncurrent,,,,,,,,,,,,,,,,32505.000
AccruedSalariesCurrent,,,,,,,,,188866.000,156253.000,212605.000,143021.000,308135.000,264925.000,308517.000,
AccruedSalariesCurrentAndNoncurrent,,,,,,,,,,,,,,,,266834.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,48826.000,59961.000,70427.000,83905.000,99079.000,114387.000,130691.000,148770.000,168583.000,192565.000,209703.000,221685.000,254739.000
AdditionalPaidInCapital,1943812.000,1990528.000,2043147.000,2187045.000,2277132.000,2335296.000,2364811.000,2433684.000,3978462.000,4366582.000,4497583.000,4561187.000,4636530.000,4745512.000,4847994.000,4979382.000
AllowanceForDoubtfulAccountsReceivable,,,,0.000,0.000,0.000,0.000,0.000,10000.000,25000.000,0.000,0.000,0.000,0.000,0.000,0.000
AllowanceForDoubtfulAccountsReceivableCurrent,,0.000,34072.000,0.000,0.000,0.000,0.000,0.000,10000.000,25000.000,0.000,0.000,0.000,0.000,0.000,0.000
Assets,1504021.000,1269969.000,1143442.000,1003334.000,749412.000,1055523.000,1204494.000,2228418.000,1957801.000,1883713.000,1023144.000,808949.000,1479216.000,1445708.000,1412891.000,1516803.000
AssetsCurrent,1404412.000,1159088.000,1028832.000,880974.000,638187.000,944673.000,1075769.000,2102933.000,1837989.000,1766106.000,765947.000,617726.000,897981.000,902367.000,869798.000,979744.000
BridgeLoan,,,,500000.000,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,,-769182.000,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,,,,1700.000,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilities,,,,23270.000,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationIntangibleAssetsOtherThanGoodwill,,,,0.000,,,,,,,,,,,,
CapitalLeaseObligationsCurrent,,,,,,,,,,,27568.000,27568.000,,29006.000,29366.000,29875.000
CapitalLeaseObligationsNoncurrent,,,,,,,,,,,58585.000,50431.000,,39101.000,31383.000,23724.000
CapitalLeasedAssetsGross,,,,,,,,,,,89672.000,89672.000,,,,
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,,,,,,,,86621.000,79148.000,,,,
