,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29
AdditionsToNoncurrentAssets,,8771000.000,14081000.000,,8650000.000,12290000.000,18369000.000
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-39000.000,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,11347000.000,,,,5423000.000,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,6993000.000,,
AmortizationOfIntangibleAssets,3159000.000,3126000.000,3263000.000,38409000.000,2699000.000,6850000.000,2537000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,3350.000,355200.000,,8450.000,922617.000,889209000.000
AssetImpairmentCharges,,,,,1002000.000,,
CapitalExpendituresIncurredButNotYetPaid,,,,,5993000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-17132000.000,,,,-8304000.000,,
CashFlowHedgeGainLossReclassifiedToEarningsNet,,,,,0.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-16284000.000,,,,,,
ComprehensiveIncomeNetOfTax,,59039000.000,-18122000.000,,53853000.000,-14475000.000,54240000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,649000.000,-649000.000,75000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,70601000.000,,,,54502000.000,-15124000.000,54315000.000
CostOfGoodsSold,367023000.000,333117000.000,365412000.000,346914000.000,348056000.000,324972000.000,344581000.000
DefinedBenefitPlanContributionsByEmployer,,,,,,0.000,1660000.000
DefinedBenefitPlanNetPeriodicBenefitCost,,,,,-54000.000,-55000.000,-55000.000
DepreciationAndAmortization,14447000.000,15480000.000,13742000.000,54196000.000,14922000.000,19191000.000,15807000.000
DerivativeInstrumentsLossRecognizedInIncome,,,,,49000.000,,
DerivativeInstrumentsLossRecognizedInOtherComprehensiveIncomeEffectivePortion,,,,,2306000.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,-100000.000,-4214000.000,,3034000.000,-9000.000,-2000.000
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,-37000.000,-37000.000,,,,0.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,0.000,,,,0.000
EarningsPerShareBasic,0.990,1.030,1.050,-0.110,0.870,0.230,0.990
EarningsPerShareDiluted,0.970,1.010,1.030,-0.110,0.860,0.230,0.980
EffectOfExchangeRateOnCashAndCashEquivalents,4682000.000,,,,3713000.000,,
