,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AcquisitionCosts,,,,,,,,,,,,,4200000.000,,,,,,,,,,,,
AmortizationOfFinancingCosts,118000.000,119000.000,182000.000,482000.000,223000.000,227000.000,228000.000,226000.000,218000.000,218000.000,218000.000,427000.000,275000.000,273000.000,273000.000,273000.000,273000.000,273000.000,273000.000,432000.000,340000.000,338000.000,339000.000,339000.000,340000.000
AmortizationOfIntangibleAssets,6266000.000,6871000.000,8295000.000,8521000.000,9394000.000,9549000.000,10504000.000,8244000.000,5301000.000,5079000.000,7026000.000,10109000.000,8245000.000,8615000.000,9538000.000,9509000.000,8706000.000,8731000.000,8650000.000,8761000.000,7495000.000,8141000.000,8094000.000,7955000.000,6562000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,100000.000,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,,,,,,,,,,,,,393052.000,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,0.250,,0.220,0.310,0.450,0.380,,,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,0.250,,0.220,0.310,0.450,0.380,,,0.440,,0.240,0.370,0.430,0.330,0.250,0.150,0.230,0.010,0.120,0.110,0.470,0.560,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,,,,,100459000.000,,58132000.000,35481000.000,46032000.000,-4178000.000,20397000.000,16729000.000,73547000.000,90002000.000,
BusinessAcquisitionsProFormaRevenue,,,1258625000.000,,1425899000.000,1516696000.000,1685201000.000,1306034000.000,,,1664282000.000,,1766756000.000,1864550000.000,2180335000.000,2579420000.000,1893115000.000,1873169000.000,1943906000.000,1925742000.000,1721043000.000,1792430000.000,2042186000.000,2121634000.000,
BusinessCombinationConsiderationTransferred1,,,,,,,,,,,,,,,,,,,,,57611000.000,,,,
BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,,,,,,,,,,,,,36604000.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-36202000.000,-122637000.000,-122544000.000,57511000.000,-137982000.000,-4499000.000,-44658000.000,266491000.000,-28082000.000,-3506000.000,-53960000.000,179624000.000,-215437000.000,-84392000.000,-44789000.000,46356000.000,-54981000.000,-70107000.000,-16233000.000,79577000.000,26544000.000,7029000.000,-44978000.000,-5183000.000,-5669000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,-13517000.000,980880000.000,,-5643000.000,-437000.000,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,11432000.000,1311000.000,,,,,,
ComprehensiveIncomeNetOfTax,,29618000.000,23351000.000,,57030000.000,50983000.000,118691000.000,93668000.000,58338000.000,45088000.000,106026000.000,140780000.000,36425000.000,112426000.000,44579000.000,17230000.000,-35470000.000,61014000.000,148882000.000,-34918000.000,81082000.000,19645000.000,61937000.000,58735000.000,62088000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,2512000.000,3606000.000,,4287000.000,4259000.000,4458000.000,3023000.000,4776000.000,4489000.000,5503000.000,4620000.000,4240000.000,4362000.000,5367000.000,4399000.000,4701000.000,3456000.000,2568000.000,192000.000,363000.000,167000.000,410000.000,775000.000,173000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,32130000.000,26957000.000,,61317000.000,55242000.000,123149000.000,96691000.000,63114000.000,49577000.000,111529000.000,145400000.000,40665000.000,116788000.000,49946000.000,21629000.000,-30769000.000,64470000.000,151450000.000,-34726000.000,81445000.000,19812000.000,62347000.000,59510000.000,62261000.000
CostOfServices,778068000.000,856824000.000,1056129000.000,1312209000.000,1229662000.000,1281289000.000,1404767000.000,1066844000.000,1347437000.000,1233093000.000,1372079000.000,1514780000.000,1490503000.000,1583102000.000,1818173000.000,1725952000.000,1634295000.000,1644835000.000,1704223000.000,1665418000.000,1510424000.000,1592213000.000,1739604000.000,1795278000.000,1911982000.000
DecreaseInRestrictedCash,,,,,,,,,,,36482000.000,,,,,,322000.000,,,,,42000.000,,,
DeferredIncomeTaxExpenseBenefit,11483000.000,-1391000.000,11683000.000,-14758000.000,1621000.000,1298000.000,9118000.000,10496000.000,-1122000.000,6096000.000,-15481000.000,-5963000.000,8086000.000,-2338000.000,-10613000.000,38529000.000,3495000.000,280000.000,-7544000.000,-15634000.000,2716000.000,-7858000.000,-17096000.000,6543000.000,-36000.000
Depreciation,28196000.000,29168000.000,29135000.000,29569000.000,30607000.000,31036000.000,32443000.000,26217000.000,31880000.000,33040000.000,33873000.000,35317000.000,36865000.000,37996000.000,40828000.000,42421000.000,44074000.000,41030000.000,40954000.000,36787000.000,41170000.000,42759000.000,42678000.000,43633000.000,42693000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,,,,,,271833000.000,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,,,,,9286000.000,277028000.000,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,,,,,,,,,,,,,,,5195000.000,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,,,,,,,,,,-4816000.000,103816000.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,,,,,,,,,,,,,,,,,,10896000.000,3037000.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,5106000.000,366000.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationOtherIncome,,,,,,,,,,,,,,,,,,9000.000,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,,,,,,,,25692000.000,8736000.000,,,,,,
EarningsPerShareBasic,-0.080,0.150,0.250,0.300,0.220,0.310,0.450,0.460,,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,,,,,,,,0.340,0.330,0.430,0.770,0.250,0.370,0.430,0.300,0.250,0.220,1.150,-0.030,0.130,0.110,0.480,0.540,0.310
EarningsPerShareDiluted,-0.080,0.150,0.250,0.300,0.220,0.310,0.450,0.460,,,,,,,,,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,-43000.000,2406000.000,-6180000.000,1865000.000,2292000.000,-4209000.000,5547000.000,-1572000.000,-1642000.000,-4093000.000,-144000.000,-10020000.000,376000.000,3256000.000,-7218000.000,-4287000.000,-2081000.000,834000.000,-1940000.000,33000.000,1079000.000,-216000.000,1105000.000,-1748000.000,1095000.000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,2322000.000,1839000.000,,,,,,,,,,,,,,,,,,,,,,4900000.000
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,-10000.000,,,,,,,,,,,,,,,,,,,,,,,
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToForeignCountries,,111200000.000,121600000.000,,249800000.000,155800000.000,198300000.000,257600000.000,299200000.000,,,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,2014000.000,-484000.000,-303000.000,138000.000,2910000.000,-2868000.000,-66000.000,321000.000,,2568000.000,229000.000,,123000.000,121000.000,1185000.000,134000.000,1000.000,3000.000,665000.000,0.000,,122000.000,549000.000,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,2014000.000,-484000.000,-303000.000,138000.000,2910000.000,-2868000.000,-66000.000,321000.000,,2568000.000,229000.000,,123000.000,121000.000,1185000.000,134000.000,1000.000,3000.000,665000.000,0.000,,122000.000,549000.000,,
FiniteLivedIntangibleAssetsAcquired,,,,,,,,,920000.000,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpense,,6900000.000,8300000.000,,,,,,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsTranslationAdjustments,,,,,,,,,-940000.000,,,,-1107000.000,,,,,,,,,,,,
FinitelivedIntangibleAssetsAcquired1,,,,,,,,,,,,,21048000.000,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossRealized,,,,,,,,,,,,,,,,,,,,,,,,,-221000.000
ForeignCurrencyTransactionGainLossUnrealized,-255000.000,54000.000,-700000.000,-326000.000,273000.000,-647000.000,-243000.000,-74000.000,-502000.000,-442000.000,-1303000.000,68000.000,266000.000,-682000.000,-381000.000,-447000.000,-190000.000,-523000.000,-843000.000,-934000.000,-110000.000,-558000.000,104000.000,-316000.000,
GainLossOnSaleOfPropertyPlantEquipment,8000.000,58000.000,-510000.000,-410000.000,21000.000,584000.000,253000.000,112000.000,282000.000,371000.000,859000.000,936000.000,305000.000,797000.000,873000.000,-205000.000,102000.000,7000.000,734000.000,1930000.000,107000.000,-654000.000,1094000.000,187000.000,-1841000.000
GoodwillAcquiredDuringPeriod,,,,,42296000.000,,,,1052000.000,,,,54645000.000,,,,18331000.000,,,,26116000.000,,,,
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,-5874000.000
GoodwillImpairmentLoss,,,,,,,,,,,,,,,,,,,,,,,,,0.000
GoodwillPurchaseAccountingAdjustments,,,,,,,,,,,,,,,,,-1818000.000,,,,-214000.000,,,,-659000.000
GoodwillTranslationAdjustments,,,,,3117000.000,,,,-2902000.000,,,,-3315000.000,,,,-25513000.000,,,,16840000.000,,,,
GrossProfit,70891000.000,154090000.000,194690000.000,200928000.000,195515000.000,235407000.000,280434000.000,226351000.000,238273000.000,241284000.000,273053000.000,302843000.000,272071000.000,281448000.000,352971000.000,327030000.000,252661000.000,227505000.000,235215000.000,208284000.000,203313000.000,200217000.000,302582000.000,307688000.000,266188000.000
IncomeLossFromContinuingOperations,,,,,,,,,72081000.000,70237000.000,92906000.000,166697000.000,,,,,,32007000.000,43176000.000,,20496000.000,16562000.000,73137000.000,88530000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,146209000.000,,118798000.000,116887000.000,140918000.000,262646000.000,91701000.000,131631000.000,142115000.000,107670000.000,92560000.000,67047000.000,78133000.000,-9065000.000,34302000.000,31424000.000,128063000.000,113897000.000,71032000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-26950000.000,57923000.000,92941000.000,92456000.000,79464000.000,110265000.000,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,76857000.000,74726000.000,98409000.000,171317000.000,,,,,,35463000.000,45744000.000,,20859000.000,16729000.000,73547000.000,89305000.000,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,,0.340,0.330,0.430,0.770,,,,,,0.150,0.230,,0.130,0.110,0.470,0.550,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,,,,,,,,14102000.000,173212000.000,,,,605000.000,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,,,,,,,,,,,,14102000.000,173212000.000,,,,605000.000,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,,,,,,,,,,,,,,0.070,0.920,,,,0.010,,
IncomeLossFromEquityMethodInvestments,,,,,,,1308000.000,,,,,,,,,,,-314000.000,,,-181000.000,-378000.000,-89000.000,-331000.000,-603000.000
IncomeTaxExpenseBenefit,-10645000.000,23610000.000,37341000.000,21648000.000,29470000.000,40468000.000,45353000.000,43568000.000,41941000.000,42161000.000,42509000.000,91329000.000,33053000.000,46187000.000,42100000.000,36068000.000,34375000.000,31584000.000,32389000.000,-876000.000,13443000.000,14695000.000,54516000.000,24592000.000,22592000.000
IncomeTaxesPaid,-2775000.000,3235000.000,880000.000,11966000.000,47594000.000,23330000.000,-40255000.000,124825000.000,91581000.000,65809000.000,36557000.000,59228000.000,87712000.000,73334000.000,15805000.000,52336000.000,12609000.000,37876000.000,56057000.000,24379000.000,6486000.000,27038000.000,21799000.000,,
IncreaseDecreaseInAccountsAndNotesReceivable,9849000.000,45435000.000,196598000.000,59879000.000,25926000.000,19489000.000,302085000.000,-5675000.000,-30843000.000,1684000.000,126633000.000,-23225000.000,61480000.000,90117000.000,220012000.000,-139635000.000,-122432000.000,-17779000.000,59739000.000,-69998000.000,-158995000.000,-105399000.000,177832000.000,-58315000.000,94838000.000
IncreaseDecreaseInBillingInExcessOfCostOfEarnings,3537000.000,5721000.000,30063000.000,38362000.000,17165000.000,-33144000.000,5068000.000,37535000.000,-10504000.000,26518000.000,-3771000.000,36606000.000,-31632000.000,21261000.000,10989000.000,5081000.000,-7018000.000,-7551000.000,20950000.000,146636000.000,35938000.000,-48465000.000,-78306000.000,-33847000.000,-11814000.000
IncreaseDecreaseInInventories,1145000.000,9150000.000,11150000.000,-2916000.000,-1365000.000,-14435000.000,-2003000.000,-8632000.000,-497000.000,3393000.000,-5396000.000,-3486000.000,1923000.000,4858000.000,-1058000.000,-1698000.000,3122000.000,9869000.000,9605000.000,10928000.000,-4537000.000,2256000.000,12405000.000,-219000.000,1269000.000
IncreaseDecreaseInOperatingCapital,,,,,,,,,,,,,,,,,,,,,,,185336000.000,,117206000.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,-17161000.000,22242000.000,102854000.000,113593000.000,-50061000.000,47733000.000,132076000.000,-6605000.000,-47634000.000,-29896000.000,95000000.000,18545000.000,-50999000.000,-49916000.000,147387000.000,-96366000.000,27850000.000,22235000.000,60333000.000,-112904000.000,-29716000.000,32808000.000,105104000.000,-34744000.000,69489000.000
IncreaseDecreaseInOtherOperatingLiabilities,53000.000,-2206000.000,-1404000.000,-2207000.000,-3117000.000,626000.000,-1332000.000,-4656000.000,2019000.000,-857000.000,7492000.000,-4773000.000,3272000.000,874000.000,1926000.000,-11201000.000,-7008000.000,-2363000.000,-1917000.000,-419000.000,-4874000.000,3875000.000,-6486000.000,-6258000.000,6218000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,36047000.000,-10575000.000,-28119000.000,-7705000.000,-6286000.000,571000.000,27213000.000,-8899000.000,-13548000.000,-1880000.000,22947000.000,-14000.000,368000.000,22555000.000,127000.000,13434000.000,3242000.000,7270000.000,-14305000.000,-2106000.000,-1826000.000,13513000.000,-19664000.000,-17156000.000,4282000.000
IncreaseDecreaseInRestrictedCash,,,,,,,,,,,,,,,,,,,,,,,1191000.000,,-1912000.000
IncreaseDecreaseInUnbilledReceivables,-25409000.000,-1501000.000,19466000.000,73360000.000,100196000.000,44292000.000,25267000.000,-19269000.000,65030000.000,638000.000,792000.000,-19179000.000,46946000.000,-39491000.000,73374000.000,-27401000.000,63488000.000,3281000.000,11828000.000,-29239000.000,52467000.000,82456000.000,35075000.000,-17296000.000,80710000.000
IncrementalCommonSharesAttributableToContingentlyIssuableShares,,67000.000,0.000,,,,,,,,,,,,,,,,,,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,129000.000,109000.000,,111000.000,100000.000,92000.000,-245000.000,59000.000,54000.000,50000.000,-114000.000,42000.000,30000.000,25000.000,-75000.000,17000.000,12000.000,10000.000,-32000.000,3000.000,2000.000,,,
InterestExpense,255000.000,255000.000,738000.000,573000.000,584000.000,959000.000,967000.000,1236000.000,502000.000,503000.000,475000.000,1188000.000,982000.000,1128000.000,1321000.000,1334000.000,1400000.000,1675000.000,2021000.000,2928000.000,3589000.000,3583000.000,3726000.000,3989000.000,3965000.000
InterestPaid,-137000.000,189000.000,120000.000,529000.000,356000.000,424000.000,-752000.000,2706000.000,462000.000,267000.000,267000.000,590000.000,1268000.000,5039000.000,969000.000,-3743000.000,1188000.000,1422000.000,1721000.000,2756000.000,2441000.000,3066000.000,3344000.000,3977000.000,
