,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,13200.000,13200.000,487.000,18475.000,,24616.000
AccountsPayableCurrent,2425.000,8715.000,33952.000,8999.000,0.000,0.000,0.000
AccountsReceivableNetCurrent,,83739.000,15469.000,13292.000,25000.000,25000.000,358094.000
AccruedIncomeTaxesCurrent,15148.000,13200.000,13200.000,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1954.000,6088.000,10220.000,14354.000,18486.000,22919.000,33098.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-10000.000,400.000,-15600.000,-34000.000,-4303.000,-5607.000
AdditionalPaidInCapital,399282.000,399282.000,448362.000,448362.000,448362.000,1026052.000,1280683.000
AllowanceForDoubtfulAccountsReceivable,,,,,,0.000,
Assets,530005.000,476965.000,447946.000,294617.000,453960.000,727851.000,992921.000
AssetsCurrent,473379.000,424606.000,399852.000,250790.000,414398.000,682017.000,887607.000
AssetsNoncurrent,56626.000,52359.000,48094.000,43827.000,39562.000,45834.000,105314.000
AvailableForSaleSecuritiesAndHeldToMaturitySecurities,,40000.000,50400.000,34400.000,16000.000,13998.000,26948.000
CashAndCashEquivalentsAtCarryingValue,394973.000,262146.000,270723.000,37612.000,91948.000,351524.000,161258.000
CashEquivalentsAtCarryingValue,394973.000,262146.000,270723.000,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000,90000000.000
CommonStockSharesIssued,9972500.000,9972500.000,10092500.000,10092500.000,10092500.000,10402500.000,10548087.000
CommonStockSharesOutstanding,9972500.000,9972500.000,10092500.000,10092500.000,10092500.000,10402500.000,10548087.000
CommonStockValue,9973.000,9973.000,10093.000,10093.000,10093.000,10403.000,10549.000
ConvertibleDebtNoncurrent,,,,,,810000.000,735000.000
DeferredTaxAssetsNet,,,,,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,293000.000,
DeferredTaxAssetsValuationAllowance,,,,,,293000.000,
DerivativeLiabilitiesCurrent,,,,,,294002.000,244993.000
DueFromRelatedParties,0.000,0.000,,,,,
FinancialInstrumentsOwnedAtFairValue,,,,,,13998.000,
FiniteLivedContractualRightsGross,,5300.000,5300.000,5300.000,5300.000,5300.000,5300.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,1060.000,1193.000,1326.000,1459.000,1592.000,1725.000
FiniteLivedIntangibleAssetsNet,,4240.000,4107.000,3974.000,3841.000,3708.000,3575.000
FurnitureAndFixturesGross,11526.000,11526.000,11526.000,11526.000,11526.000,,56527.000
IntangibleAssetsCurrent,4373.000,,,,,,
InterestReceivable,,,,,,14016.000,
Liabilities,17573.000,21915.000,47152.000,9486.000,168475.000,1104177.000,1004609.000
LiabilitiesAndStockholdersEquity,530005.000,476965.000,447946.000,294617.000,453960.000,727851.000,992921.000
LiabilitiesCurrent,17573.000,21915.000,47152.000,9486.000,168475.000,294177.000,269609.000
LiabilitiesNoncurrent,,,,,,810000.000,735000.000
MachineryAndEquipmentGross,,,,,,,41409.000
NotesAndLoansReceivableNetCurrent,,,,100000.000,210000.000,264016.000,271413.000
NotesReceivableGross,,,,,,250000.000,
NotesReceivableRelatedPartiesCurrent,0.000,0.000,,,,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,,95947.000,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,,29000.000,29000.000
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,20181.000,171000.000,171000.000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,47691.000,154174.000,154174.000
OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,,11680.000,,95947.000
OtherAssets,,,,65486.000,71450.000,,69894.000
OtherAssetsCurrent,,,,,,27479.000,69894.000
OtherLiabilitiesCurrent,,,,,,175.000,24616.000
PreferredStockParOrStatedValuePerShare,,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,63073.000,29137.000,59426.000,65486.000,71450.000,,
PrepaidRent,15333.000,9584.000,3834.000,,,,
PropertyPlantAndEquipmentGross,54207.000,54207.000,54207.000,54207.000,54207.000,65045.000,134836.000
PropertyPlantAndEquipmentNet,52253.000,48119.000,43987.000,39853.000,35721.000,42126.000,101738.000
PropertyPlantAndEquipmentOther,42681.000,42681.000,42681.000,42681.000,42681.000,,36900.000
RetainedEarningsAccumulatedDeficit,103177.000,55795.000,-58061.000,-157724.000,-138970.000,-1408478.000,-1297313.000
ShortTermNonBankLoansAndNotesPayable,,,,,150000.000,,
StockholdersEquity,512432.000,455050.000,400794.000,285131.000,285485.000,-376326.000,-11688.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,512432.000,455050.000,400794.000,285131.000,285485.000,-376326.000,-11688.000
