,2011-09-30,2012-09-30,2013-09-30,2013-12-31,2014-12-31,2016-01-31,2017-01-31
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,,,,206000.000,204000.000,500000.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,1193000.000,1214000.000,1491000.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,,204000.000,,
AdvertisingExpense,,,,7000.000,68000.000,1200000.000,300000.000
AllocatedShareBasedCompensationExpense,,,,,,1214000.000,1491000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,1193000.000,,
AmortizationOfDebtDiscountPremium,,,,41000.000,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,5741000.000,48762000.000
AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,,,,,,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,-135000.000,2108000.000,2734000.000,2462000.000
CashPeriodIncreaseDecrease,8589.000,-10948.000,-4479.000,,,,
ConversionOfStockAmountConverted1,,,,,,7226000.000,
CostOfGoodsSold,,,,,,237000.000,516000.000
CostOfGoodsSoldAmortization,,,,,,30000.000,119000.000
CurrentFederalTaxExpenseBenefit,,0.000,,,,,
CurrentIncomeTaxExpenseBenefit,0.000,,,,,,
DebtConversionConvertedInstrumentAmount1,,,,,1847000.000,,1645000.000
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,204000.000,,88000.000
DeferredFederalIncomeTaxExpenseBenefit,,,0.000,,,,
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,,,,0.000,0.000,0.000
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,,,,,1.000,1.000,1.000
Depreciation,207.000,206.000,207.000,5000.000,25000.000,56000.000,141000.000
DividendsPreferredStock,,,,,,,126000.000
EarningsPerShareBasicAndDiluted,-0.010,-0.000,0.000,-0.220,-0.800,-0.890,-0.520
EffectiveIncomeTaxRateContinuingOperations,,0.340,0.340,,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,0.340,0.340
FairValueAdjustmentOfWarrants,,,,,,436000.000,
FederalIncomeTaxExpenseBenefitContinuingOperations,,,-17783.000,,0.000,0.000,0.000
GeneralAndAdministrativeExpense,3198.000,206.000,1203.000,711000.000,2953000.000,4174000.000,4654000.000
GrossProfit,,,,,,-173000.000,-416000.000
ImpairmentOfIntangibleAssetsFinitelived,,,,,,,89000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-59105.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-27957.000,,,,-15594000.000,-18404000.000
IncomeTaxExpenseBenefit,,,,,,4000.000,2000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,,,5904000.000,7342000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,,,-5302000.000,-6258000.000
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,,,,,,200000.000,
IncomeTaxReconciliationOtherAdjustments,,,,,,20000.000,239000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,,,,,-838000.000,-1196000.000
IncomeTaxReconciliationTaxCreditsResearch,,,,,,128000.000,125000.000
IncomeTaxesPaid,0.000,0.000,0.000,,,4000.000,2000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,446000.000,,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,109000.000,74000.000,7000.000,-225000.000
