,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,1792000.000,,,,1180000.000,,,
AccountsPayableCurrent,1501000.000,1345000.000,2251000.000,694000.000,1297000.000,857000.000,1430000.000,1097000.000,644000.000,723000.000
AccountsReceivableNetCurrent,1701000.000,2269000.000,1371000.000,1243000.000,1149000.000,1228000.000,1456000.000,935000.000,792000.000,724000.000
AccruedLiabilitiesCurrent,2430000.000,1674000.000,1792000.000,1375000.000,1680000.000,1213000.000,1180000.000,648000.000,1214000.000,1145000.000
AccruedProfessionalFeesCurrent,,,0.000,,,,,,,
AccruedRoyaltiesCurrent,,,164000.000,,,,134000.000,,,
AdditionalPaidInCapital,105191000.000,105319000.000,105383000.000,105945000.000,106351000.000,106627000.000,106934000.000,107167000.000,107207000.000,107343000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,0.000,,,
AllowanceForDoubtfulAccountsReceivableCurrent,40000.000,40000.000,0.000,,,,,,,
AssetRetirementObligation,,,1329000.000,,,,1522000.000,,,1670000.000
AssetRetirementObligationCurrent,,,,,,,65000.000,,,
AssetRetirementObligationLegallyRestrictedAssetsFairValue,,,,,,,0.000,,,
AssetRetirementObligationsNoncurrent,,,,,,,1457000.000,,,
Assets,82690000.000,78944000.000,67435000.000,60740000.000,56415000.000,52778000.000,22264000.000,16704000.000,13501000.000,11093000.000
AssetsCurrent,40459000.000,35340000.000,34271000.000,27981000.000,20753000.000,16851000.000,13561000.000,8769000.000,5476000.000,3352000.000
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,19612000.000,,,,44181000.000,,,
CapitalizedCostsOilAndGasProducingActivitiesGross,,,45890000.000,,,,48897000.000,,,
CapitalizedCostsOilAndGasProducingActivitiesNet,,,26278000.000,,,,4716000.000,,,
CapitalizedCostsProvedProperties,,,45694000.000,,,,48454000.000,,,
CapitalizedCostsUnprovedProperties,,,196000.000,,,,443000.000,,,
CashAndCashEquivalentsAtCarryingValue,38204000.000,32654000.000,29751000.000,23475000.000,17076000.000,12298000.000,8380000.000,5045000.000,3144000.000,
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,
