,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-283000.000,,-276000.000,,,,-127000.000,,,,-533000.000,,,,-434000.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,57000.000,,58000.000,,,,100000.000,,,,202000.000,,,,659000.000,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,,,659000.000,547000.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,51000.000,80000.000,,198000.000,123000.000,121000.000,167000.000,895000.000,770000.000,246000.000,324000.000,187000.000,287000.000
AllowanceForLoanAndLeaseLossesPeriodIncreaseDecrease,,,,,,,,,0.000,,,,,,,,,
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,,851000.000,247000.000,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,121000.000,94000.000,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,-3826000.000,1434000.000,468000.000,368000.000,2454000.000,111000.000,210000.000,984000.000,2123000.000,346000.000,2000000.000,1875000.000,219000.000,850000.000,319000.000
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,,312000.000,,299000.000,285000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,2565000.000,,,,1387000.000,,,,574000.000,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,,,,4153000.000,,,,1413000.000,,,,634000.000,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,1588000.000,,,,26000.000,,,,60000.000,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,469000.000,552000.000,727000.000,250000.000,6000.000,509000.000,28000.000,199000.000,295000.000,1000.000,172000.000,0.000,51000.000,,-1000.000,,297000.000,89000.000
AvailableForSaleSecuritiesGrossRealizedGains,,,,250000.000,6000.000,604000.000,28000.000,603000.000,295000.000,44000.000,172000.000,0.000,366000.000,,,,297000.000,371000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,0.000,0.000,95000.000,0.000,404000.000,0.000,43000.000,,,-315000.000,,1000.000,,,282000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,3735000.000,,,,7856000.000,,,,7864000.000,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,4153000.000,,,,1413000.000,,,,634000.000,
BankOwnedLifeInsuranceIncome,173000.000,175000.000,171000.000,176000.000,169000.000,170000.000,172000.000,167000.000,164000.000,168000.000,169000.000,171000.000,252000.000,253000.000,226000.000,298000.000,254000.000,253000.000
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,,1879000.000,0.000,,,0.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-2929000.000,,-5585000.000,,,,2804000.000,,,,32912000.000,,,,-5986000.000,
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYieldAccretion,,,,,,,271000.000,,,,,,,,,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,,,,,,,,,-28000.000,-34000.000,-85000.000,-802000.000,-184000.000,620000.000,269000.000,977000.000,57000.000,71000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAdditions,,,,,,,,,,0.000,,,1632000.000,,,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldDisposalsOfLoans,,,,,,,,,-26000.000,0.000,,,,,,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,,,,,,,,,,419000.000,,,,315000.000,200000.000,,230000.000,213000.000
CommonStockDividendsPerShareDeclared,0.100,0.100,0.100,0.100,0.100,0.110,0.110,0.110,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120,0.120
ComprehensiveIncomeNetOfTax,3882000.000,3597000.000,,,,-2599000.000,2082000.000,,3184000.000,3563000.000,2597000.000,3211000.000,1043000.000,-73000.000,6256000.000,3458000.000,5789000.000,5141000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,1772000.000,3121000.000,830000.000,,,,,,,,,,,,,
Depreciation,,,,,,,,,,,,,,,,,616000.000,
DividendsCommonStockCash,,,-335000.000,,338000.000,,,,409000.000,,,,645000.000,,,,653000.000,
DividendsPreferredStock,,,-226000.000,,221000.000,288000.000,221000.000,72000.000,110000.000,,,,110000.000,,,,,
