,2011-07-30,2011-10-29,2012-04-28,2012-10-27,2013-05-04,2013-08-03,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,,,,,,,,,,,,-264000.000,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,1488000.000,,,,1734000.000,,,,1892000.000,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,620000.000,,,,712000.000,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,2503000.000,2033000.000,1686000.000,,,,,,,,,,,,,
AmortizationOfAcquiredIntangibleAssets,,,,3000000.000,2700000.000,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,2716000.000,2652000.000,2300000.000,2353000.000,2354000.000,2333000.000,2359000.000,2223000.000,1934000.000,2792000.000,2770000.000,2688000.000,2734000.000,1661000.000,1620000.000
AssetImpairmentCharges,,66170000.000,,,,,,,,,,,,,300000.000,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,-1.180,-0.130,-0.140,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,-39451000.000,-4533000.000,-4791000.000,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,63905000.000,52540000.000,53762000.000,,,,,,,,,,,,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,1389000.000,,,,,,,,,,,,,,
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,,,,,,,,,,,,,,1800000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,34767000.000,,3229000.000,,-895000.000,,,,-14168000.000,,,,-7462000.000,,,,5272000.000
ComprehensiveIncomeNetOfTax,,,-13364000.000,-38718000.000,-4942000.000,-4896000.000,-9660000.000,-8060000.000,-1196000.000,-4547000.000,-413000.000,-40000.000,6311000.000,-6464000.000,-7497000.000,-2056000.000,-20000.000,-9045000.000,-14611000.000
CostOfRevenue,33700000.000,21723000.000,19163000.000,38423000.000,25594000.000,25696000.000,16648000.000,20921000.000,27272000.000,28126000.000,26564000.000,29783000.000,30794000.000,26949000.000,29774000.000,31734000.000,31734000.000,21323000.000,20940000.000
DefinedContributionPlanCostRecognized,,,,,100000.000,100000.000,,,,,,,,,,,,,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount,,,,,,,,,,,,,,,18000.000,,,,
DepreciationAndAmortization,,,,,2900000.000,2100000.000,3100000.000,3000000.000,3100000.000,3200000.000,2900000.000,3000000.000,3300000.000,3400000.000,3400000.000,2700000.000,2500000.000,2300000.000,2700000.000
DepreciationDepletionAndAmortization,,,5117000.000,,5568000.000,,5412000.000,,,,5294000.000,,,,6178000.000,,,,4277000.000
DerivativeGainLossOnDerivativeNet,,,,,,-34000.000,,,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,,386000.000,285000.000,,,,,,,,,,,,,,
DirectOperatingCostRoyaltyExpense,,,,400000.000,500000.000,600000.000,,,,,,,,,,,,,
EarningsPerShareBasic,-0.690,-3.780,-0.420,-1.180,-0.130,-0.140,-0.290,-0.220,-0.020,-0.100,-0.010,0.010,0.180,-0.180,-0.220,-0.050,0.010,-0.230,-0.390
EarningsPerShareDiluted,-0.690,-3.780,-0.420,-1.180,-0.130,-0.140,-0.290,-0.220,-0.020,-0.100,-0.010,0.010,0.170,-0.170,-0.220,-0.050,0.010,-0.230,-0.390
EffectOfExchangeRateOnCashAndCashEquivalents,,,36000.000,,-169000.000,,53000.000,,,,-61000.000,,,,88000.000,,,,8000.000
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,,,,,,620000.000,,,,712000.000,,,,,,,,
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToForeignCountries,,,,63905000.000,52540000.000,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,620000.000,,,,712000.000,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,,,-620000.000,,,,,,,,,,,,
FinitelivedIntangibleAssetsAcquired1,,,,,,,166897000.000,,,,172968000.000,,,,193105000.000,,,,198107000.000
GainLossOnForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,,,400000.000,300000.000,0.000,,0.000,0.000,,,,,,,,,,
GainLossOnSaleOfProject,,,,,1079000.000,,,,,,,,7551000.000,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,34000.000,,3000.000,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,5197000.000,4828000.000,6379000.000,6007000.000,4762000.000,4937000.000,5031000.000,4555000.000,4808000.000,5247000.000,5772000.000,5005000.000,5314000.000,4771000.000,5138000.000,4820000.000,4578000.000,4324000.000,5454000.000
GoodwillAndIntangibleAssetImpairment,,,,,,,110000.000,,,,33000.000,,,,,,,,3006000.000
GoodwillImpairmentLoss,,45108000.000,,,,,,,,,,,,,,,,,
GrossProfit,12994000.000,18002000.000,21095000.000,25482000.000,26946000.000,28066000.000,20225000.000,21889000.000,26512000.000,26720000.000,29348000.000,28524000.000,30787000.000,24501000.000,24001000.000,29582000.000,30995000.000,21401000.000,18624000.000
ImpairmentOfIntangibleAssetsExcludingGoodwill,,,,,188000.000,,,,,,,,,,,,,,
ImpairmentOfIntangibleAssetsFinitelived,,,,,,,,1156000.000,856000.000,,33000.000,955000.000,795000.000,,,,,,
ImpairmentOfInvestments,,,,,,,,600000.000,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,-20562000.000,-2330000.000,-1726000.000,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-21703000.000,-127740000.000,-13470000.000,,,,-8495000.000,-5423000.000,-1108000.000,-1682000.000,2081000.000,1321000.000,9052000.000,-5105000.000,-6766000.000,102000.000,2348000.000,-7352000.000,-13842000.000
IncomeTaxExpenseBenefit,259000.000,-6165000.000,232000.000,18889000.000,2203000.000,3065000.000,1419000.000,2197000.000,-551000.000,1928000.000,2463000.000,1025000.000,2617000.000,1086000.000,1332000.000,1824000.000,2127000.000,1364000.000,1017000.000
IncomeTaxesPaid,,,468000.000,,1969000.000,,3694000.000,,,,5120000.000,,,,383000.000,,,,349000.000
IncreaseDecreaseInAccountsPayable,,,-1605000.000,,3117000.000,,-4389000.000,,,,2201000.000,,,,-2043000.000,,,,3411000.000
IncreaseDecreaseInAccountsReceivable,,,-2544000.000,,4683000.000,,-3976000.000,,,,5335000.000,,,,7441000.000,,,,-8880000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,523000.000,,,,,,-3363000.000,,,,1008000.000,,,,732000.000
IncreaseDecreaseInAccruedLiabilities,,,-392000.000,,-5265000.000,,662000.000,,,,-807000.000,,,,2900000.000,,,,2352000.000
IncreaseDecreaseInDeferredIncomeTaxes,,,,,-1669000.000,,-57000.000,,,,73000.000,,,,101000.000,,,,81000.000
IncreaseDecreaseInInventories,,,3123000.000,,-5341000.000,,-566000.000,,,,5071000.000,,,,-2300000.000,,,,1167000.000
IncreaseDecreaseInOtherNoncurrentAssets,,,-182000.000,,80000.000,,,,,,-4000.000,,,,-19000.000,,,,
IncreaseDecreaseInOtherNoncurrentLiabilities,,,-1019000.000,,,,-5353000.000,,,,114000.000,,,,-19000.000,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,113000.000,,-2140000.000,,-841000.000,,,,315000.000,,,,1456000.000,,,,337000.000
IncreaseDecreaseInRestrictedCash,,,,,2000.000,,-235000.000,,,,,,,,-77000.000,,,,15000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,,,,,998000.000,739000.000,,,,335000.000,,
InventoryWriteDown,,,303000.000,,561000.000,,364000.000,,,,1071000.000,,,,101000.000,,,,449000.000
LitigationSettlementAmount,,,,,,1800000.000,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,55000.000,,32000.000,,621000.000,,,,865000.000,,,,-128000.000,,,,-78000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,55000.000,,32000.000,,621000.000,,,,865000.000,,,,-128000.000,,,,-78000.000
NetCashProvidedByUsedInInvestingActivities,,,41602000.000,,-2270000.000,,4716000.000,,,,-10296000.000,,,,-2560000.000,,,,-3174000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,41602000.000,,-2270000.000,,4716000.000,,,,-10296000.000,,,,-2560000.000,,,,-3174000.000
NetCashProvidedByUsedInOperatingActivities,,,-6926000.000,,5636000.000,,-6285000.000,,,,-4676000.000,,,,-4862000.000,,,,8516000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-6926000.000,,5636000.000,,-6285000.000,,,,-4676000.000,,,,-4862000.000,,,,8516000.000
NetIncomeLoss,-21962000.000,-121575000.000,-13702000.000,-39451000.000,-4533000.000,-4791000.000,-9914000.000,-7620000.000,-557000.000,-3610000.000,-382000.000,296000.000,6435000.000,-6191000.000,-8098000.000,-1722000.000,221000.000,-8716000.000,-14859000.000
NonoperatingIncomeExpense,734000.000,542000.000,491000.000,299000.000,691000.000,121000.000,-52000.000,372000.000,188000.000,1263000.000,671000.000,113000.000,37000.000,-27000.000,-751000.000,415000.000,179000.000,696000.000,-465000.000
NumberOfReportableSegments,,,,,1.000,,1.000,,,,1.000,,,,1.000,,,,1.000
OperatingExpenses,35431000.000,146284000.000,35056000.000,46343000.000,31046000.000,29913000.000,28668000.000,27684000.000,27808000.000,29063000.000,27938000.000,27316000.000,29323000.000,29738000.000,30016000.000,29895000.000,28826000.000,28564000.000,32001000.000
OperatingIncomeLoss,-22437000.000,-128282000.000,-13961000.000,-20861000.000,-4100000.000,-1847000.000,-8443000.000,-5795000.000,-1296000.000,-2343000.000,1410000.000,1208000.000,1464000.000,-5237000.000,-6015000.000,-313000.000,2169000.000,-7163000.000,-13377000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,71000.000,373000.000,-366000.000,48000.000,208000.000,-302000.000,,,-12000.000,-276000.000,-100000.000,-195000.000,580000.000,-365000.000,-232000.000,-319000.000,245000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,,,,,,-606000.000,,,,,,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,208000.000,,,,-12000.000,,,,580000.000,,,,
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,338000.000,733000.000,-409000.000,-105000.000,254000.000,-440000.000,-639000.000,-937000.000,-31000.000,-336000.000,-124000.000,-273000.000,601000.000,-334000.000,-241000.000,-329000.000,248000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,267000.000,360000.000,-43000.000,-153000.000,46000.000,-138000.000,-33000.000,-51000.000,-19000.000,-60000.000,-24000.000,-78000.000,21000.000,31000.000,-9000.000,-10000.000,3000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,,,,
OtherNoncashIncomeExpense,,,,,,,,,,,-32000.000,,,,,,,,-313000.000
PaymentsToAcquireMarketableSecurities,,,10393000.000,,2535000.000,,,,,,7113000.000,,,,,,,,
PaymentsToAcquireOtherProductiveAssets,,,,,2750000.000,,1319000.000,,,,1576000.000,,,,1838000.000,,,,1044000.000
PaymentsToAcquireProductiveAssets,,,2667000.000,,2594000.000,,818000.000,,,,1673000.000,,,,810000.000,,,,4118000.000
PensionContributions,,,,,340000.000,152000.000,,,,,,,,,,,,,
ProceedsFromCollectionOfNotesReceivable,,,,,250000.000,,60000.000,,,,,,,,,,,,
ProceedsFromGrantors,,,,,4800000.000,,,,5200000.000,,5200000.000,,,,,,,,
ProceedsFromSaleAndMaturityOfMarketableSecurities,,,54662000.000,,3390000.000,,6558000.000,,,,66000.000,,,,11000.000,,,,2003000.000
ProceedsFromSaleOfInvestmentProjects,,,,,1971000.000,,,,,,,,,,,,,,
ProceedsFromStockOptionsExercised,,,55000.000,,32000.000,,1000.000,,,,153000.000,,,,136000.000,,,,6000.000
ProductWarrantyAccrualPayments,,,,203000.000,243000.000,202000.000,115000.000,107000.000,128000.000,169000.000,143000.000,-137000.000,212000.000,515000.000,138000.000,151000.000,142000.000,238000.000,140000.000
ProductWarrantyAccrualWarrantiesIssued,,,,373000.000,-154000.000,192000.000,125000.000,117000.000,342000.000,179000.000,140000.000,150000.000,321000.000,217000.000,139000.000,143000.000,18000.000,193000.000,84000.000
