,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AccountsPayableCurrent,82757.000,74566.000,32421.000,166551.000,177861.000,61912.000,108646.000,156622.000,158202.000,8503.000,10567.000,5179.000,21798.000,31672.000,12337.000,31303.000,108818.000,147021.000,264089.000
AccountsPayableRelatedPartiesCurrent,,,,,,181631.000,117287.000,135130.000,131609.000,143109.000,1360.000,1991.000,,11901.000,,,,,
AccruedLiabilitiesCurrent,35556.000,58969.000,86290.000,78118.000,87997.000,229730.000,260741.000,358138.000,412179.000,,217957.000,106957.000,104152.000,6652.000,3852.000,59130.000,178778.000,2407608.000,2304938.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,1824.000,2736.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,,,,-8126.000,-12872.000,-728.000,-34530.000
AdditionalPaidInCapital,17893909.000,17893909.000,557126.000,716026.000,1243273.000,2034321.000,2073743.000,2317447.000,2462797.000,5574518.000,5623575.000,6112432.000,6199418.000,6889818.000,7249809.000,1671874.000,3055450.000,4307160.000,6053277.000
Assets,432043.000,413589.000,636403.000,400794.000,1755518.000,1471424.000,1349136.000,1270859.000,1243748.000,132285.000,15601.000,190764.000,132288.000,406556.000,479146.000,856001.000,1621242.000,3913682.000,4209519.000
AssetsCurrent,127183.000,131333.000,377321.000,148448.000,133425.000,254407.000,261688.000,184323.000,158124.000,132285.000,15601.000,190764.000,132288.000,406556.000,479146.000,856001.000,1621242.000,3913682.000,4209519.000
AssetsFairValueDisclosureRecurring,,,,,1435025.000,1055575.000,1055575.000,1055575.000,,1055575.000,,,,,,,,,
AssetsNoncurrent,304860.000,282256.000,,,,,,,,,,,,,,,,,
CapitalLeaseObligationsCurrent,,,,,94718.000,31416.000,31416.000,124939.000,124939.000,,,,,,,,,,
CapitalLeaseObligationsNoncurrent,,,,,1221307.000,905159.000,905159.000,811636.000,811636.000,,,,,,,,,,
CapitalLeasedAssetsGross,,,,,1435025.000,1055575.000,1055575.000,1055575.000,1055575.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDue,,,,,1825808.000,1825808.000,1825808.000,1825808.000,1825808.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,200000.000,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,232258.000,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,240323.000,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInRollingYearFive,,,,,,232258.000,232258.000,224194.000,224194.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInRollingYearFour,,,,,,240323.000,240323.000,232258.000,232258.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInRollingYearThree,,,,,,248387.000,248387.000,240323.000,240323.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInRollingYearTwo,,,,,,256452.000,256452.000,248387.000,248387.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,248387.000,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,256452.000,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,648388.000,648388.000,648388.000,424194.000,424194.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,509783.000,889233.000,889233.000,889233.000,889233.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsNextRollingTwelveMonths,,,,,,200000.000,200000.000,456452.000,456452.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,1316025.000,936575.000,936575.000,936575.000,936575.000,,,,,,,,,,
Cash,7022.000,10059.000,287439.000,5221.000,12333.000,4770.000,3204.000,5167.000,3841.000,3628.000,15601.000,83202.000,124587.000,2306.000,198646.000,676878.000,103997.000,413072.000,1402626.000
CashAndCashEquivalentsAtCarryingValue,,,,,,,,5167.000,3841.000,,,,,,,,,,1402626.000
CashUninsuredAmount,,,,,,,,,,,,,,,,,,,1392919.000
CommonStockParOrStatedValuePerShare,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,,,50000.000,0.000,100000.000,,,,,,,,393750.000,,,1383726.000,235200.000,
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,4154841.000,4154841.000,17154841.000,17374841.000,18374841.000,18708841.000,18708841.000,18891774.000,18891774.000,32660002.000,42088573.000,3535236.000,3672236.000,3847236.000,3937236.000,19437236.000,20941286.000,22301988.000,25630120.000
CommonStockSharesOutstanding,4154841.000,4154841.000,17154841.000,17374841.000,18374841.000,18708841.000,18708841.000,18891774.000,18891774.000,32660002.000,42088573.000,3535236.000,3672236.000,3847236.000,3937236.000,19437236.000,20941286.000,22301988.000,25630120.000
CommonStockSharesSubscriptions,,,,,,,,,,,,,,,,,,279371.000,
CommonStockValue,,,,,,,,,,,,,,385.000,394.000,1944.000,2094.000,2230.000,2563.000
CommonStockValueOutstanding,415.000,415.000,1715.000,1737.000,1837.000,1871.000,1871.000,1889.000,1889.000,3266.000,4209.000,354.000,367.000,,,,,,
ConvertibleNotesPayableCurrent,,,,,,22576.000,38076.000,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,44424.000,10924.000,0.000,0.000,0.000,,,,,,,,,
DeferredTaxAssetsDerivativeInstruments,,,,18248.000,,31836.000,,,,0.000,,,,,,,,,
DeferredTaxAssetsNet,,,,,,,,,,0.000,,,,0.000,,,,,0.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,76338.000,,287225.000,,,,774617.000,,,,993318.000,,,,,1704789.000
DeferredTaxAssetsOther,,,,,,21573.000,,,,6516.000,,,,0.000,,,,,
DeferredTaxAssetsTaxCreditCarryforwardsOther,,,,3767.000,,,,,,,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsOther,,,,23089.000,,104176.000,,,,43189.000,,,,22380.000,,,,,
DeferredTaxAssetsTaxDeferredExpenseOther,,,,,,-16570.000,,,,-4075.000,,,,0.000,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,-428240.000,,,,820247.000,,,,1015698.000,,,,,1704789.000
DepositAssets,,,,,,,,,,,,,,,,61353.000,60105.000,,
DepositsAssetsCurrent,,,,,,,,,,,,,,,,,,15441.000,14528.000
DueToRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,30183.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,107596.000,688176.000,1387465.000,1242116.000,0.000,,,,,,,,,84990.000
InterestPayableCurrent,,,,,,,,,,25239.000,,,,,,,,,
InterestReceivableCurrent,,,,,,,2187.000,,,,,,,,,,,,
Liabilities,,,,,1862076.000,1712617.000,1895753.000,2151563.000,2378184.000,,249054.000,123297.000,125950.000,115225.000,16189.000,90433.000,287596.000,2554629.000,2599210.000
LiabilitiesAndStockholdersEquity,432043.000,413589.000,636403.000,400794.000,1755518.000,1471424.000,1349136.000,1270859.000,1243748.000,132285.000,15601.000,190764.000,132288.000,406556.000,479146.000,856001.000,1621242.000,3913682.000,4209519.000
LiabilitiesCurrent,207812.000,223034.000,180611.000,306569.000,640769.000,807458.000,990594.000,1339927.000,1566548.000,330497.000,249054.000,123297.000,125950.000,115225.000,16189.000,90433.000,287596.000,2554629.000,2599210.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,23599.000,23599.000,,,,,,,,,,,,,,,,,
LineOfCreditFacilityMaximumBorrowingCapacity,,,,,,,,,,,,,,,,,,,90000.000
MinorityInterestOwnershipPercentageByNoncontrollingOwners,,,,,,,,,0.620,,,,,,,,,,
NotesAndLoansPayable,,65900.000,61900.000,,,,,,,,,,,,,,,,
NotesAndLoansReceivableNetCurrent,120161.000,119524.000,84882.000,93227.000,97092.000,148804.000,256297.000,179156.000,154283.000,128657.000,,0.000,,,,,,,
NotesAndLoansReceivableNetNoncurrent,304860.000,282256.000,259082.000,227462.000,154283.000,128657.000,,,,,,,,,,,,,
NotesPayableRelatedPartiesClassifiedCurrent,61900.000,,,61900.000,280193.000,280193.000,434428.000,565098.000,739619.000,,19170.000,9170.000,0.000,65000.000,,,,,
OperatingLeasesFutureMinimumPaymentsDue,,,,,,,,,,,,,,,,,,,23000.000
OperatingLossCarryforwards,,,,805393.000,,3886598.000,,,,7240785.000,,,,6467305.000,,,,,
OperatingLossCarryforwardsValuationAllowance,,,,-121442.000,,,,,,,,,,,,,,,
OtherReceivables,,1750.000,,,,,,,,,,,,,,,,,
OtherReceivablesNetCurrent,,,,,,,,,,,,,,,,,,279371.000,
OtherShortTermBorrowings,4000.000,,,,,,,,,,,,,,,,,,
PreferredStockParOrStatedValuePerShare,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000,400000.000
PreferredStockSharesIssued,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,
PreferredStockSharesOutstanding,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,
PrepaidExpenseCurrent,,,5000.000,,24000.000,833.000,,,,,,107562.000,7701.000,10500.000,280500.000,117770.000,73414.000,1459386.000,2792365.000
PrepaidExpenseNoncurrent,,,,,,,,,,,,,,,,,,1746412.000,
PropertyPlantAndEquipmentFairValueDisclosure,,,,,1435025.000,1055575.000,1055575.000,1055575.000,,1055575.000,,,,,,,,,
PropertyPlantAndEquipmentNet,,,,24884.000,32785.000,32785.000,31873.000,30961.000,30049.000,0.000,,,,,,,,,
RetainedEarningsAccumulatedDeficit,-17670093.000,-17703769.000,-103049.000,-623538.000,-1351668.000,-2277385.000,-2622231.000,-3200040.000,-3599122.000,-5775996.000,-5861237.000,-6045319.000,-6193447.000,-6598872.000,-6787246.000,-900124.000,-1711026.000,-2714409.000,-4411001.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,225000.000,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,0.500,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,,325000.000,,,,,,0.000,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,1300000.000,,,,,,0.000,,,,,0.000,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,0.500,,,,,,0.000,,,,,,,,,
SharePrice,,,,,,1.250,,,,,,,,,,,,0.920,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,,,,56250.000,,,,,,,,,,,,,,,
StockholdersEquity,224231.000,190555.000,455792.000,94225.000,-106558.000,-241193.000,-546617.000,-880704.000,-1134436.000,-198212.000,-233453.000,67467.000,6338.000,291331.000,462957.000,765568.000,1333646.000,1359053.000,1610309.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,-106558.000,-241193.000,-546617.000,-880704.000,-1134436.000,,-233453.000,67467.000,6338.000,291331.000,462957.000,765568.000,1333646.000,1359053.000,1610309.000
