,2014-12-31,2015-12-31,2016-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-1175000.000,-2290000.000,-1199000.000
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,-31000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,516000.000,8940000.000,5945000.000
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,7093000.000,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,-64000.000,,
AllocatedShareBasedCompensationExpense,516000.000,,
AmortizationOfFinancingCosts,0.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,185551.000,96683.000,1089606.000
CashAndCashEquivalentsPeriodIncreaseDecrease,4784000.000,-13690000.000,3861000.000
ComprehensiveIncomeNetOfTax,-2360000.000,-25723000.000,-34082000.000
CurrentFederalTaxExpenseBenefit,-79000.000,-2000.000,0.000
CurrentStateAndLocalTaxExpenseBenefit,19000.000,0.000,1000.000
DeferredFederalIncomeTaxExpenseBenefit,2400000.000,43000.000,0.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,19000.000,9000.000,0.000
DefinedBenefitPlanContributionsByEmployer,,400000.000,200000.000
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,,0.500,0.500
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,,0.060,0.060
DepreciationDepletionAndAmortization,501000.000,381000.000,296000.000
EarningsPerShareBasic,-0.060,-0.710,-0.920
EarningsPerShareDiluted,-0.060,-0.710,-0.920
EffectiveIncomeTaxRateContinuingOperations,6.677,-0.002,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340,0.340,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,6.317,-0.335,-0.322
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,,0.010
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseMealsAndEntertainment,0.071,0.000,0.000
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,0.078,0.008,0.016
EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,-0.036,0.000,0.000
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0.068,0.002,-0.001
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,0.000,0.000,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,64000.000,0.000,0.000
FairValueAssumptionsExpectedDividendRate,,0.000,0.000
FairValueAssumptionsExpectedVolatilityRate,,0.670,
FederalIncomeTaxExpenseBenefitContinuingOperations,2321000.000,41000.000,0.000
GainLossOnDispositionOfAssets,,-30000.000,-1000.000
GainLossOnDispositionOfAssets1,0.000,,
GeneralAndAdministrativeExpense,10002000.000,27987000.000,22895000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,353000.000,-25459000.000,-34524000.000
IncomeTaxExpenseBenefit,2359000.000,50000.000,1000.000
IncomeTaxesPaid,60000.000,0.000,0.000
IncreaseDecreaseInAccountsPayable,-313000.000,-234000.000,232000.000
IncreaseDecreaseInAccountsReceivable,-4977000.000,855000.000,-4085000.000
IncreaseDecreaseInAccruedLiabilities,-2403000.000,-1038000.000,-1412000.000
IncreaseDecreaseInDeferredIncomeTaxes,-2349000.000,-103000.000,0.000
IncreaseDecreaseInDeferredRevenue,6231000.000,-3764000.000,-2467000.000
IncreaseDecreaseInEmployeeRelatedLiabilities,-1586000.000,774000.000,-162000.000
IncreaseDecreaseInOtherOperatingCapitalNet,86000.000,-121000.000,5000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,197000.000,-815000.000,572000.000
InterestExpense,15000.000,0.000,0.000
InterestPaid,0.000,,
InvestmentIncomeInterest,519000.000,1117000.000,1408000.000
LeaseAndRentalExpense,1000000.000,2000000.000,1900000.000
NetCashProvidedByUsedInFinancingActivities,148274000.000,-1160000.000,3365000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,148274000.000,-1160000.000,3365000.000
NetCashProvidedByUsedInInvestingActivities,-152334000.000,4341000.000,28022000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-152334000.000,4341000.000,28022000.000
NetCashProvidedByUsedInOperatingActivities,8844000.000,-16871000.000,-27526000.000
