,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,1352000000.000,1196000000.000,375000000.000,246000000.000,141000000.000,494000000.000,808000000.000,729000000.000,1089000000.000,1416000000.000,442000000.000,645000000.000,241000000.000,1021000000.000,1647000000.000,1624000000.000,44000000.000,188000000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,,,-1056000000.000,1081000000.000,1001000000.000,813000000.000,757000000.000,738000000.000,717000000.000,697000000.000,780000000.000,761000000.000,741000000.000,722000000.000,12000000.000,12000000.000,12000000.000,12000000.000,46000000.000,46000000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,,,,,,,,,,-42000000.000,-53000000.000,-58000000.000,-49000000.000,-55000000.000,-55000000.000,-77000000.000,-42000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-356000000.000,-304000000.000,-276000000.000,84000000.000,309000000.000,296000000.000,140000000.000,-596000000.000,-542000000.000,-616000000.000,-233000000.000,100000000.000,52000000.000,309000000.000,706000000.000,-294000000.000,-78000000.000,171000000.000,1014000000.000,1637000000.000,1613000000.000,-79000000.000,179000000.000
AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxAvailableforsaleDebtSecurities,,,,18000000.000,18000000.000,18000000.000,15000000.000,29000000.000,28000000.000,27000000.000,27000000.000,16000000.000,14000000.000,13000000.000,13000000.000,13000000.000,13000000.000,12000000.000,12000000.000,11000000.000,10000000.000,10000000.000,7000000.000
AdditionalPaidInCapital,5626000000.000,5743000000.000,5748000000.000,5743000000.000,5749000000.000,5992000000.000,6010000000.000,6011000000.000,5986000000.000,5934000000.000,5944000000.000,5948000000.000,5925000000.000,5957000000.000,5960000000.000,5973000000.000,5963000000.000,5321000000.000,5317000000.000,5318000000.000,5313000000.000,5339000000.000,5342000000.000
AdvancesFromFederalHomeLoanBanks,,,,,,,,,,,,,,,,,,,,,,2238000000.000,2511000000.000
AmountAvailableForDividendDistributionWithoutPriorApprovalFromRegulatoryAgency,,,,,,469000000.000,,,,,,,,,,,,,,,,,
Assets,160961000000.000,166016000000.000,168911000000.000,172063000000.000,175284000000.000,176843000000.000,179921000000.000,176249000000.000,180436000000.000,183401000000.000,185845000000.000,190701000000.000,189760000000.000,196005000000.000,200461000000.000,197047000000.000,193181000000.000,194626000000.000,199983000000.000,207042000000.000,209034000000.000,203764000000.000,209098000000.000
AssetsDesignatedToClosedBlock,,,,8157000000.000,8165000000.000,8256000000.000,8277000000.000,7826000000.000,7793000000.000,7758000000.000,7766000000.000,7779000000.000,7669000000.000,7652000000.000,7641000000.000,7594000000.000,7793000000.000,7362000000.000,7354000000.000,7358000000.000,7297000000.000,7112000000.000,7153000000.000
AssetsDesignatedToClosedBlockCashAndCashEquivalents,,,,,,2000000.000,,,,48000000.000,,,,14000000.000,,,,49000000.000,,,,444000000.000,
AssetsDesignatedToClosedBlockFixedMaturityAvailableForSaleAtFairValue,,,,5743000000.000,5784000000.000,5741000000.000,5631000000.000,5336000000.000,5239000000.000,5232000000.000,5236000000.000,5235000000.000,5223000000.000,5143000000.000,5086000000.000,4872000000.000,4686000000.000,4599000000.000,4466000000.000,4464000000.000,4237000000.000,4025000000.000,4322000000.000
AssetsDesignatedToClosedBlockMortgageLoansOnRealEstate,,,,1184000000.000,1224000000.000,1255000000.000,1231000000.000,1251000000.000,1294000000.000,1343000000.000,1342000000.000,1337000000.000,1264000000.000,1407000000.000,1405000000.000,1275000000.000,1331000000.000,1575000000.000,1738000000.000,1736000000.000,1594000000.000,1623000000.000,1789000000.000
AssetsDesignatedToClosedBlockOtherClosedBlockAssets,,,,122000000.000,110000000.000,232000000.000,261000000.000,192000000.000,,,,,,,,,,,,,,,
AssetsDesignatedToClosedBlockOtherClosedBlockAssets1,,,,,,,,,189000000.000,186000000.000,178000000.000,173000000.000,240000000.000,176000000.000,169000000.000,185000000.000,343000000.000,258000000.000,177000000.000,166000000.000,172000000.000,181000000.000,206000000.000
AssetsDesignatedToClosedBlockPolicyLoans,,,,1052000000.000,1036000000.000,1026000000.000,973000000.000,969000000.000,958000000.000,949000000.000,940000000.000,929000000.000,919000000.000,912000000.000,899000000.000,897000000.000,888000000.000,881000000.000,872000000.000,858000000.000,850000000.000,839000000.000,814000000.000
AssetsHeldByInsuranceRegulators,,,,,,81000000.000,,,,83000000.000,,,,65000000.000,,,,55000000.000,,,,57000000.000,
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,29416000000.000,,30576000000.000,30986000000.000,30556000000.000,,32536000000.000,33962000000.000,33400000000.000,,32471000000.000
