,2013-10-31,2014-01-31,2014-07-31,2014-10-31,2015-07-31,2015-10-31,2016-01-31,2016-04-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,-64.000,,,
CurrentIncomeTaxExpenseBenefit,,,2300.000,,,,,
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000
EquityIssuancePerShareAmount,0.013,,,,,,,
GeneralAndAdministrativeExpense,,186.000,,3577.000,764.000,2441.000,6145.000,1093.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-2423.000,-24320.000,-5553.000,-3524.000,,,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,-2300.000,,,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,2000.000,,,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,,300.000,,,,,
IncreaseDecreaseInAccountsPayable,,,4500.000,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,8392.000,,,
NetCashProvidedByUsedInFinancingActivities,,,1053.000,,4560.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,1053.000,,4560.000,,,
NetCashProvidedByUsedInOperatingActivities,,,-1053.000,,-4624.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-1053.000,,-4624.000,,,
NetIncomeLoss,-2423.000,-24320.000,-5553.000,-3524.000,-13016.000,-6351.000,-9762.000,-10241.000
OperatingExpenses,2423.000,24320.000,5553.000,3524.000,,,,
ProceedsFromIssuanceOfCommonStock,37500.000,,,,,,,
ProceedsFromRelatedPartyDebt,,,1053.000,,4560.000,,,
ProfessionalFees,2423.000,24134.000,5553.000,-53.000,12252.000,3910.000,3617.000,9148.000
StockIssuedDuringPeriodSharesNewIssues,3000000.000,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,9923077.000,12000000.000,7760870.000,66956522.000,80000000.000,80000000.000,80000000.000,-160000000.000
