,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28
AccountsPayableCurrent,14050.000,14050.000,6750.000,8550.000,3050.000,8550.000,3750.000,8250.000,8250.000
AdditionalPaidInCapital,,5395.000,41400.000,41400.000,41400.000,41400.000,41400.000,41400.000,41400.000
Assets,7480.000,11224.000,36900.000,22900.000,15600.000,14935.000,6500.000,7534.000,4304.000
AssetsCurrent,7480.000,11224.000,36900.000,22900.000,15600.000,14935.000,6500.000,7534.000,4304.000
CashAndCashEquivalentsAtCarryingValue,,10600.000,36900.000,22900.000,15600.000,13800.000,6500.000,4000.000,2000.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000
CommonStockSharesIssued,11500000.000,12105000.000,14000000.000,14000000.000,14000000.000,14000000.000,14000000.000,14000000.000,14000000.000
CommonStockSharesOutstanding,11500000.000,12105000.000,14000000.000,14000000.000,14000000.000,14000000.000,14000000.000,14000000.000,14000000.000
CommonStockValue,11500.000,12105.000,14000.000,14000.000,14000.000,14000.000,14000.000,14000.000,14000.000
DeferredOfferingCosts,6100.000,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,7027.000,7817.000,9540.000,15070.000,15700.000,17858.000,19130.000,20343.000,
DeferredTaxAssetsValuationAllowance,7027.000,7817.000,9540.000,15070.000,15700.000,17858.000,19130.000,20343.000,
DueToOfficersOrStockholdersCurrent,2007.000,2007.000,2007.000,2007.000,2007.000,2007.000,2007.000,2007.000,2007.000
Liabilities,,,8757.000,10557.000,5057.000,10557.000,5757.000,10257.000,10257.000
LiabilitiesAndStockholdersEquity,7480.000,11224.000,36900.000,22900.000,15600.000,14935.000,6500.000,7534.000,4304.000
LiabilitiesCurrent,16057.000,16057.000,8757.000,10557.000,5057.000,10557.000,5757.000,10257.000,10257.000
PrepaidExpenseCurrent,1380.000,624.000,,,,1135.000,,3534.000,2304.000
RetainedEarningsAccumulatedDeficit,-20077.000,-22333.000,-27257.000,-43057.000,-44857.000,-51022.000,-54657.000,-58123.000,-61353.000
StockholdersEquity,-8577.000,-4833.000,28143.000,12343.000,10543.000,4378.000,743.000,-2723.000,-5953.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,28143.000,12343.000,10543.000,4378.000,743.000,-2723.000,-5953.000
