,2013-03-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-06-30
DebtInstrumentConvertibleBeneficialConversionFeature,,-8800.000,,-3000.000,-6000.000,,,-2000.000
EarningsPerShareBasic,-10497.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,
GeneralAndAdministrativeExpense,9447.000,2467.000,4197.000,2598.000,1572.000,1548.000,297.000,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,-0.000
IncreaseDecreaseInAccountsPayable,,,4197.000,,,,297.000,
IncreaseDecreaseInInterestPayableNet,,,1050.000,,,,1154.000,
InterestAndDebtExpense,1050.000,5493.000,,,4144.000,,,
InterestExpense,1050.000,5493.000,1050.000,2631.000,4144.000,1154.000,1154.000,2045.000
InterestExpenseDebt,,,1050.000,1050.000,,,1154.000,2045.000
NetIncomeLoss,,-16760.000,-5247.000,-8229.000,-11716.000,-2702.000,-1451.000,-6177.000
OperatingIncomeLoss,-9447.000,-2467.000,-4197.000,-2598.000,-1572.000,-1548.000,-297.000,-2132.000
OtherCostAndExpenseOperating,,,,,,,,795.000
OtherGeneralAndAdministrativeExpense,4400.000,1670.000,1400.000,765.000,775.000,850.000,,
OtherGeneralExpense,297.000,297.000,297.000,1333.000,297.000,198.000,297.000,297.000
OtherIncome,-1050.000,-14293.000,-1050.000,-5631.000,-10144.000,-1154.000,-1154.000,-4045.000
ProfessionalFees,4750.000,500.000,2500.000,500.000,500.000,500.000,,1040.000
SellingGeneralAndAdministrativeExpense,,,,,,,,2132.000
WeightedAverageNumberOfSharesOutstandingBasic,22033080.000,22033080.000,22033080.000,22033080.000,22033080.000,-44066160.000,22033080.000,22033080.000
