,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,,,,,,,,,0.000,0.000,0.000,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,22092.000,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-256720.000,,63744.000,,,,7593007.000,,244408.000,,,
CostsIncurredAcquisitionOfOilAndGasPropertiesWithProvedReserves,,,,,,,,,6000000.000,,,,,
CurrentIncomeTaxExpenseBenefit,,,,,,,,,344442.000,,,,,
DeferredIncomeTaxExpenseBenefit,,,,,,,,,2100000.000,,,,,
DepreciationDepletionAndAmortization,2728.000,2825.000,96703.000,66618.000,103851.000,109878.000,71522.000,49103.000,16507.000,2033.000,1570.000,1498.000,896.000,1534.000
EarningsPerShareBasic,,,,,-0.000,0.010,,,,-0.010,,,,
EarningsPerShareBasicAndDiluted,,-0.000,-0.010,-0.000,,,0.010,,0.080,,,-0.010,0.000,
EarningsPerShareDiluted,,,,,-0.000,0.010,,,,-0.010,,,,
EffectiveIncomeTaxRateReconciliationTaxContingenciesForeign,,,,,,,,,0.350,,,,,
ExtinguishmentOfDebtGainLossNetOfTax,,,-22092.000,,,,,,,,,,,
GainLossOnSaleOfProperty,,,-950.000,,,,,,,,,,,
GainLossOnSaleOfProvedProperty,,,,,,,,,7195982.000,,,,,
GeneralAndAdministrativeExpense,24413.000,53227.000,252353.000,102256.000,27751.000,24359.000,27104.000,28401.000,29201.000,19146.000,27236.000,31309.000,56158.000,25930.000
ImpairmentOfOilAndGasProperties,,,,,0.000,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,6898641.000,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,,,,,-100801.000,-373644.000,-128642.000,
IncomeTaxExpenseBenefit,,,,,,,,,2444442.000,,-22844.000,-86051.000,-46103.000,-41775.000
IncomeTaxesPaid,,,,,,,,,410000.000,,0.000,0.000,0.000,900039.000
IncreaseDecreaseInAccountsPayable,,,-10137.000,,-53748.000,,,,3628.000,,-78175.000,,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,18297.000,,,,-188456.000,,,,,
IncreaseDecreaseInAccountsReceivable,,,296966.000,,25428.000,,,,-1460774.000,,-219333.000,,,
IncreaseDecreaseInAccountsReceivableRelatedParties,,,,,,,,,,,-37062.000,,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,,,,,-65558.000,,114688.000,,,
IncreaseDecreaseInAccruedLiabilities,,,-14458.000,,-4010.000,,,,1300.000,,-21710.000,,,
IncreaseDecreaseInOtherReceivables,,,,,,,,,,,98190.000,,,
IncreaseDecreaseInPrepaidExpense,,,-884.000,,-2772.000,,,,91991.000,,22213.000,,,
InterestExpense,21241.000,29887.000,187565.000,22511.000,6356.000,12932.000,,,,,,,,
InterestPaid,,,23458.000,,12187.000,,,,,,,,,
InvestmentIncomeInterest,664.000,174.000,809.000,281.000,216.000,180.000,194.000,243.000,420.000,510.000,654.000,1725.000,894.000,3902.000
LaborAndRelatedExpense,40317.000,74336.000,82525.000,84042.000,85813.000,83698.000,82696.000,85966.000,85267.000,80074.000,83854.000,84487.000,72179.000,72157.000
LitigationSettlementExpense,,,,,,,,,,-662485.000,,,,
NetCashProvidedByUsedInFinancingActivities,,,-70732.000,,-167118.000,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-70732.000,,-167118.000,,,,,,,,,
NetCashProvidedByUsedInInvestingActivities,,,-1312.000,,,,,,7084123.000,,170000.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-1312.000,,,,,,7084123.000,,170000.000,,,
NetCashProvidedByUsedInOperatingActivities,,,-184676.000,,230862.000,,,,508884.000,,74408.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-184676.000,,230862.000,,,,508884.000,,74408.000,,,
NetIncomeLoss,,,-430351.000,-219544.000,112819.000,424599.000,699665.000,304924.000,4454199.000,-327097.000,-77957.000,-287593.000,-82539.000,-220642.000
NonoperatingIncomeExpense,-20577.000,-29713.000,-208848.000,-22130.000,-6140.000,-12752.000,15826.000,219.000,420.000,-685806.000,654.000,1725.000,894.000,3902.000
OperatingExpenses,172785.000,354832.000,524399.000,458318.000,400953.000,471958.000,448976.000,612501.000,-6560969.000,526889.000,324080.000,610571.000,377155.000,428915.000
OperatingIncomeLoss,-144746.000,-236039.000,-221503.000,-197414.000,118959.000,437351.000,683839.000,818452.000,6898221.000,-103776.000,-101455.000,-375369.000,-129536.000,-266319.000
OtherIncome,,,,100.000,,,24.000,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,1312.000,,,,,,,,,,,
PaymentsToAcquireRestrictedInvestments,,,,,,,,,,,-170000.000,,,
ProceedsFromIssuanceOfCommonStock,,,25000.000,,,,,,,,,,,
ProfessionalFees,105327.000,224444.000,91868.000,205402.000,183538.000,254023.000,267654.000,449031.000,504038.000,425636.000,211420.000,493277.000,247922.000,329294.000
ProfitLoss,-165323.000,-265752.000,,,,,,,,,,,,
RepaymentsOfLongTermDebt,,,95732.000,,167118.000,,,,,,,,,
RevenueOilAndGasServices,28039.000,118793.000,302896.000,260904.000,519912.000,909309.000,1132815.000,1430953.000,337252.000,423113.000,222625.000,235202.000,247619.000,162596.000
RoyaltyExpense,,,,,,,,,,,17499.000,19514.000,32915.000,
StockIssuedDuringPeriodValueNewIssues,,,25000.000,,,,,,,,,,,
StockOptionPlanExpense,,,209167.000,,45370.000,,,,14463.000,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,,,57017487.000,56808229.000,56903652.000,-113828105.000,56735350.000,56808229.000,56735350.000,56735350.000,56735350.000,-113470700.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,56902447.000,56935350.000,,,,,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,,,,,56927169.000,56735350.000,56735350.000,-113662519.000,56735350.000,56735350.000,56735350.000,56735350.000,56735350.000,-113470700.000
