,2013-12-31,2015-12-31
AmortizationOfFinancingCosts,37857.000,
CashAcquiredFromAcquisition,,29415.000
CashAndCashEquivalentsPeriodIncreaseDecrease,3179.000,58668.000
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1,,-749974.000
ConversionOfStockAmountIssued1,,1678247.000
ConvertiblePreferredStockConvertedToOtherSecurities,,550000.000
CostOfGoodsSold,,119253.000
DepreciationAmortizationAndAccretionNet,,30286.000
DerivativeGainLossOnDerivativeNet,,-749974.000
EarningsPerShareBasicAndDiluted,-0.000,-0.010
EffectOfExchangeRateOnCashAndCashEquivalents,,20649.000
EffectiveIncomeTaxRateContinuingOperations,0.340,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.380,0.380
EffectiveIncomeTaxRateReconciliationPriorYearIncomeTaxes,-0.340,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,-0.040,0.040
EffectiveIncomeTaxRateReconciliationTaxSettlements,0.000,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,-749974.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityIssues,,14540743.000
ForeignCurrencyTransactionGainLossBeforeTax,,-139528.000
GainLossOnInvestments,,-10334254.000
GainLossOnSaleOfDebtInvestments,,100976.000
GainsLossesOnExtinguishmentOfDebt,,-1882323.000
GeneralAndAdministrativeExpense,42811.000,600275.000
GrossProfit,,94918.000
IncreaseDecreaseInAccountsPayable,,17751.000
IncreaseDecreaseInAccountsReceivable,,41220.000
IncreaseDecreaseInAccruedInterestReceivableNet,17638.000,
IncreaseDecreaseInAccruedLiabilities,8000.000,-14432.000
IncreaseDecreaseInAccruedSalaries,15000.000,11250.000
IncreaseDecreaseInCustomerDeposits,29051.000,
IncreaseDecreaseInInventories,,-11223.000
IncreaseDecreaseInPrepaidExpense,-29010.000,-55321.000
InterestExpense,37857.000,-12321666.000
InterestExpenseDebt,,12283517.000
InterestExpenseRelatedParty,55495.000,
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,0.330,
NetCashProvidedByUsedInContinuingOperations,-19770.000,-142480.000
NetCashProvidedByUsedInFinancingActivities,22949.000,160994.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,22949.000,160994.000
NetCashProvidedByUsedInInvestingActivities,,19505.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,19505.000
NetIncomeLoss,-98306.000,-10194726.000
NetIncomeLossAvailableToCommonStockholdersBasic,,-10526768.000
NonoperatingIncomeExpense,,9689369.000
OperatingExpenses,42811.000,600275.000
OperatingIncomeLoss,,-505357.000
PreferredStockDividendsIncomeStatementImpact,,-332042.000
ProceedsFromIssuanceOfCommonStock,,400.000
ProceedsFromLoans,12949.000,
ProceedsFromNotesPayable,10000.000,216860.000
ProceedsFromRepaymentsOfBankOverdrafts,,-166.000
RepaymentsOfNotesPayable,,-56100.000
SalariesWagesAndOfficersCompensation,1250.000,
SalesRevenueGoodsNet,,214171.000
ShareBasedCompensation,,280519.000
StockIssued1,,38234.000
StockIssuedDuringPeriodSharesNewIssues,2335233149.000,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,1679282.000
StockIssuedDuringPeriodValueNewIssues,2335.000,
StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,,228916.000
TemporaryEquityForeignCurrencyTranslationAdjustments,,-139528.000
WeightedAverageBasicSharesOutstandingProForma,2335233149.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,1634607933.000
