,2016-09-30,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,-159837.000
IncomeTaxExpenseBenefit,,0.000
IncreaseDecreaseInAccruedLiabilities,,35735.000
IncreaseDecreaseInPrepaidExpense,,-27189.000
InvestmentIncomeInterest,,210968.000
NetCashProvidedByUsedInFinancingActivities,,-249.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-249.000
NetCashProvidedByUsedInOperatingActivities,,-159588.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-159588.000
NetIncomeLossAvailableToCommonStockholdersBasic,-149814.000,-11544.000
ProceedsFromRelatedPartyDebt,,249.000
Revenues,0.000,210968.000
SalesRevenueNet,0.000,210968.000
