,2011-01-31,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AcceleratedShareRepurchasesFinalPricePaidPerShare,,,,,,,,,,,,,,,,,,,,,,23.840,,,
AdjustmentForAmortization,,,,,,,,,,,,,,11200000.000,13200000.000,16700000.000,17400000.000,16600000.000,17900000.000,20200000.000,18100000.000,18000000.000,20100000.000,19300000.000,21500000.000
AllocatedShareBasedCompensationExpense,,,,,,2400000.000,5400000.000,3700000.000,3800000.000,4600000.000,6200000.000,4700000.000,4600000.000,7500000.000,7100000.000,6100000.000,5400000.000,6000000.000,7900000.000,7200000.000,2400000.000,5500000.000,6900000.000,4500000.000,2400000.000
AllowanceForDoubtfulAccountsReceivableChargeOffs,,,,,,-1409000.000,,,,,,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,,,,,,679000.000,,,,365000.000,,,,370000.000,,,
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,,,,4000000.000,,,,7603000.000,,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,-49000.000,,,,-1186000.000,,,,767000.000,,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,6458000.000,,,,9541000.000,,,,7170000.000,,,,2115000.000,,,,564000.000,,,,578000.000,,,
AmortizationOfIntangibleAssets,7400000.000,7700000.000,5400000.000,4700000.000,2000000.000,4200000.000,5500000.000,4600000.000,9900000.000,6100000.000,6500000.000,8800000.000,945000.000,8601000.000,10500000.000,14110000.000,14732000.000,13010000.000,13991000.000,16508000.000,14182000.000,13815000.000,15839000.000,15332000.000,17393000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,12600000.000,14500000.000,13000000.000,9600000.000,-28200000.000,9200000.000,8900000.000,7700000.000,-22500000.000,6300000.000,,,,5500000.000,,,,5000000.000,,,,4700000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-665135000.000,,,,-1004463000.000,,,,-583708000.000,,,,-755818000.000,,,,-707808000.000,,,,-589930000.000,,,
CommonStockDividendsPerShareCashPaid,0.150,0.150,0.150,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.220,0.220,0.220,0.220
ComprehensiveIncomeNetOfTax,-7974000.000,-173639000.000,-150057000.000,-299000.000,590839000.000,-112236000.000,-103908000.000,-17338000.000,665835000.000,-125994000.000,-103223000.000,-220950000.000,919951000.000,-115926000.000,-110904000.000,-44788000.000,741844000.000,-109633000.000,-152981000.000,-86370000.000,710278000.000,-127244000.000,-148538000.000,-102755000.000,783416000.000
CostOfRevenue,635163000.000,357000000.000,227613000.000,455240000.000,661842000.000,193424000.000,212011000.000,377618000.000,821735000.000,210053000.000,220864000.000,363537000.000,833202000.000,211521000.000,221697000.000,394678000.000,802594000.000,213508000.000,226401000.000,392513000.000,853130000.000,211086000.000,225702000.000,388777000.000,818812000.000
CostsAndExpenses,870962000.000,564863000.000,335625000.000,666976000.000,760015000.000,268902000.000,302338000.000,564615000.000,1073402000.000,306750000.000,314956000.000,537985000.000,1101393000.000,308721000.000,319076000.000,584225000.000,1071970000.000,311700000.000,362248000.000,594385000.000,1136628000.000,309909000.000,339354000.000,576674000.000,1094393000.000
DeferredRevenueAdditions,,553000.000,,,,573000.000,,,,737000.000,,,,873000.000,,,,920000.000,,,,978000.000,,,
DeferredRevenueRevenueRecognized,,-27181000.000,,,,26983000.000,,,,27826000.000,,,,24253000.000,,,,27703000.000,,,,31650000.000,,,
Depreciation,,,,,,,,,,,,,,25085000.000,28429000.000,29181000.000,29166000.000,27084000.000,28358000.000,28795000.000,31670000.000,27467000.000,29911000.000,29828000.000,32583000.000
DepreciationAndAmortization,,21048000.000,16652000.000,17770000.000,13840000.000,16305000.000,17927000.000,20067000.000,13893000.000,16804000.000,20144000.000,23054000.000,,,,,,,,,,,,,
DiscontinuedOperationAmountOfAdjustmentToPriorPeriodGainLossOnDisposalBeforeIncomeTax,,,24100000.000,,,,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,-22949000.000,-26268000.000,,-2935000.000,-6632000.000,-1276000.000,-40029000.000,-3126000.000,-3146000.000,-3124000.000,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,-19806000.000,,-1791000.000,-4044000.000,-793000.000,-24582000.000,,,,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,,,,,,,,,,,,,,1557000.000,1644000.000,1919000.000,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,-20260000.000,,,,,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,,,-22949000.000,-236000.000,,,,,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,-18711000.000,218000.000,,-1791000.000,-4044000.000,-793000.000,,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,199042000.000,50508000.000,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,20024000.000,,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,-0.040,,,,,,,,,-0.420,-0.390,-0.780,3.320,-0.420,-0.410,-0.130,2.680,-0.360,-0.550,-0.350,2.760,-0.560,-0.680,-0.500,3.660
EarningsPerShareBasicAndDiluted,,-0.570,-0.470,-0.010,,-0.390,-0.390,-0.070,,,,,,,,,,,,,,,,,
EarningsPerShareDiluted,-0.040,,,,,,,,,,,,,,,,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,962000.000,,,,-1498000.000,,,,-6621000.000,,,,510000.000,,,,-10907000.000,,,,-2367000.000,,,
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,0.386,,,,,,,,0.484,,,,0.405,,,
FutureAmortizationExpenseRemainderOfFiscalYear,,27100000.000,,,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFive,15700000.000,,,,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFour,21100000.000,13000000.000,,,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearOne,30700000.000,22700000.000,,,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearThree,24700000.000,14400000.000,,,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearTwo,29100000.000,19200000.000,,,,,,,,,,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,-5800000.000,,,,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,,,,,,,,,,,,,,19490000.000,20013000.000,27488000.000,26359000.000,21982000.000,47298000.000,28003000.000,37895000.000,19925000.000,27519000.000,30056000.000,35412000.000
GoodwillAcquiredDuringPeriod,,3512000.000,,,,,,,,2155000.000,,,,42274000.000,,,,14030000.000,,,,23000.000,,,
GoodwillImpairmentLoss,,99697000.000,4257000.000,,,,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,
ImpairedFinancingReceivableAverageRecordedInvestment,,266627000.000,,,,174396000.000,,,,155615000.000,,,,126373000.000,,,,,,,,,,,
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,1675000.000,,,,1093000.000,,,,921000.000,,,,,,,,,,,,,,,
ImpairedFinancingReceivableInterestIncomeCashBasisMethod,,1612000.000,,,,1067000.000,,,,893000.000,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-17449000.000,-293142000.000,-203929000.000,-1026000.000,1074167000.000,-169269000.000,-162288000.000,-96268000.000,1129836000.000,-184494000.000,-179362000.000,-347825000.000,1478797000.000,-175816000.000,-200573000.000,-90865000.000,1210059000.000,-187109000.000,-237719000.000,-146500000.000,1140807000.000,-203549000.000,-228469000.000,-150598000.000,1211903000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-4375000.000,-173443000.000,-123013000.000,-3567000.000,645991000.000,-105650000.000,-101199000.000,-16915000.000,688922000.000,-113270000.000,-103015000.000,-212751000.000,929133000.000,-108851000.000,-113227000.000,-35311000.000,744133000.000,-96505000.000,-142518000.000,-78649000.000,701225000.000,-121026000.000,-143415000.000,-101212000.000,786570000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,-0.570,-0.410,-0.010,,-0.380,-0.370,-0.060,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,-0.010,-0.570,-0.410,-0.010,2.150,-0.380,-0.370,-0.060,2.510,-0.420,-0.380,-0.780,3.400,-0.400,-0.410,-0.130,2.710,-0.350,-0.540,-0.340,2.770,-0.550,-0.670,-0.490,3.680
IncomeLossFromContinuingOperationsPerDilutedShare,-0.010,-0.570,-0.410,-0.010,2.150,-0.380,-0.370,-0.060,2.500,,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,-8346000.000,-1655000.000,-18711000.000,218000.000,-59888000.000,-1791000.000,-4044000.000,-793000.000,-24582000.000,-1917000.000,-1928000.000,-1960000.000,-19135000.000,-7381000.000,1229000.000,-1637000.000,-5292000.000,-3154000.000,-2489000.000,-3080000.000,,-2647000.000,-2805000.000,-3302000.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,-0.060,,,-0.010,-0.020,-0.010,,,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,-0.030,,,,,,,,,0.000,-0.010,0.000,-0.080,-0.020,0.000,0.000,-0.030,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,-0.020
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,-0.030,,,,,,,,,,,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,-13074000.000,-119699000.000,-80916000.000,2541000.000,428176000.000,-63619000.000,-61089000.000,-79353000.000,440914000.000,-71224000.000,-76347000.000,-135074000.000,549664000.000,-66965000.000,-87346000.000,-55554000.000,465926000.000,-90604000.000,-95201000.000,-67851000.000,439582000.000,-82523000.000,-85054000.000,-49386000.000,425333000.000
IncomeTaxExpenseBenefitContinuingOperationsDiscontinuedOperationsExtraordinaryItems,,,-4238000.000,-6462000.000,,-1144000.000,-2588000.000,-483000.000,,,,,,,,,,,,,,,,,
IncomeTaxesPaidNet,,99357000.000,,,,19747000.000,,,,106467000.000,,,,88924000.000,,,,75358000.000,,,,61289000.000,,,
IncreaseDecreaseInDeposits,,-186245000.000,,,,-179519000.000,,,,-179364000.000,,,,-287609000.000,,,,-268532000.000,,,,0.000,,,
IncreaseDecreaseInDepositsOutstanding,,-186245000.000,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,25228000.000,23301000.000,22873000.000,23543000.000,22372000.000,22077000.000,23390000.000,19428000.000,15062000.000,14446000.000,14314000.000,14443000.000,14185000.000,13940000.000,13983000.000,9272000.000,8733000.000,8711000.000,,,,,,,
InterestExpenseDebt,,,,,,,,,,,,,,,13843000.000,9048000.000,,8575000.000,14181000.000,23573000.000,,21466000.000,22620000.000,25940000.000,
InterestIncomeOperating,56109000.000,10433000.000,9921000.000,39476000.000,39970000.000,9873000.000,9859000.000,38300000.000,40797000.000,11197000.000,10626000.000,37369000.000,38902000.000,9299000.000,9430000.000,39298000.000,34837000.000,8378000.000,,,,,,,
InterestPaid,,37634000.000,,,,13494000.000,,,,15883000.000,,,,15415000.000,,,,15381000.000,,,,15519000.000,,,
LitigationSettlementExpense,,9800000.000,,,,,,,,,,,,,,,,,,,,,,,
LossContingencyAccrualCarryingValuePayments,,,49800000.000,,,753000.000,,,,,,,,,,,,,,,,,,,
MarketableSecuritiesRealizedGainLoss,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,
MarketingAndAdvertisingExpense,,,,,,,,,,,,,,8145000.000,12513000.000,87569000.000,165455000.000,8531000.000,12965000.000,93708000.000,182558000.000,7561000.000,12001000.000,84101000.000,157618000.000
MortgageLoansOnRealEstateCostOfMortgagesSold,,-3722000.000,,,,1801000.000,,,,1664000.000,,,,,,,,,,,,,,,
MortgageLoansOnRealEstateOtherAdditions,,1573000.000,,,,3074000.000,,,,2100000.000,,,,,,,,,,,,,,,
MortgageLoansOnRealEstateWriteDownOrReserveAmount,,-793000.000,,,,788000.000,,,,487000.000,,,,,,,,,,,,,,,
