,2011-07-31,2012-01-31,2012-04-30,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,,,,,,,,,,3571000.000,,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,,2756000.000,,,,2799000.000,,,,3172000.000,,,
AmortizationOfIntangibleAssets,,,,1000000.000,,,,500000.000,,,,500000.000,,,
AssetImpairmentCharges,0.000,,415000.000,3168000.000,5332000.000,2152000.000,1675000.000,883000.000,19961000.000,182564000.000,-14277000.000,255000.000,703000.000,96978000.000,20602000.000
CapitalExpendituresIncurredButNotYetPaid,,,,5750000.000,,,,3453000.000,,,,2148000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-15318000.000,,26538000.000,,,,12708000.000,,,,13992000.000,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,76719000.000,,,,10713000.000,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,-7195000.000,,,,4668000.000,,,
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1,,,,,,,,-14608000.000,,,,,,,
ComprehensiveIncomeNetOfTax,10317000.000,-42365000.000,-6391000.000,-23019000.000,-49118000.000,-69000.000,-172853000.000,965000.000,-47392000.000,-221893000.000,-57677000.000,-29389000.000,-41746000.000,-134848000.000,-142532000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,306000.000,1695000.000,713000.000,505000.000,177000.000,-247000.000,-1395000.000,-464000.000,-7737000.000,-2093000.000,-475000.000,-788000.000,0.000,0.000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,10623000.000,-40670000.000,-5678000.000,-22514000.000,-48941000.000,-316000.000,-174248000.000,501000.000,-55129000.000,-223986000.000,-58152000.000,-30177000.000,-41746000.000,-134848000.000,-142532000.000
CostOfGoodsSold,248199000.000,221671000.000,250064000.000,211311000.000,247612000.000,250989000.000,228227000.000,192776000.000,209344000.000,206719000.000,198719000.000,171410000.000,176254000.000,174742000.000,202154000.000
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,,,,,,,,17388000.000,,,,0.000,,,
DeferredIncomeTaxExpenseBenefit,,3354000.000,,,,,,,,,,,,,
