,2011-04-03,2011-07-03,2011-10-02,2011-12-31,2012-04-01,2012-07-01,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-29,2013-12-31,2014-03-30
AllocatedShareBasedCompensationExpense,,13652000.000,11753000.000,,30834000.000,25318000.000,27386000.000,24762000.000,25546000.000,21865000.000,20209000.000,20588000.000,20985000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,8300000.000,,,,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,,,,,,,,,,,0.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,4742000.000,,,,-319151000.000,,,,-46303000.000,,,,99820000.000
CommonStockDividendsPerShareDeclared,,,,,,,,,,,0.030,,
ComprehensiveIncomeNetOfTax,,294980000.000,23166000.000,,82122000.000,57033000.000,49469000.000,-37498000.000,24197000.000,18492000.000,41479000.000,227474000.000,38318000.000
CostOfRevenue,249090000.000,263024000.000,283065000.000,286315000.000,335512000.000,327685000.000,311311000.000,299714000.000,279132000.000,290324000.000,294263000.000,294233000.000,277941000.000
DeferredIncomeTaxExpenseBenefit,-43000.000,,,,,,,,,,,,-51000.000
DefinedBenefitPlanContributionsByEmployer,,,,,,,,,15300000.000,,,,11000000.000
DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear,,,,,,,,,,,,,64900000.000
DepreciationAndAmortization,56007000.000,,,,45368000.000,,,,44285000.000,,,,45929000.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,300000.000,2500000.000,,1100000.000,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,-14590000.000,-2366000.000,,0.000,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,-19900000.000,-55000.000,,0.000,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,51675000.000,2860000.000,,0.000,,,,,,,,
EarningsPerShareBasic,0.020,0.490,0.050,0.010,0.130,0.100,0.070,0.050,0.030,0.040,0.070,0.090,0.060
EarningsPerShareDiluted,0.020,0.480,0.050,0.000,0.130,0.100,0.070,0.040,0.030,0.040,0.060,0.090,0.060
EffectOfExchangeRateOnCashAndCashEquivalents,-11000.000,,,,-495000.000,,,,-1507000.000,,,,14000.000
EnvironmentalRemediationExpense,,,,,,,,,,2700000.000,,,
ForeignCurrencyTransactionGainLossUnrealized,-1379000.000,,,,,,,,,,,,-494000.000
GainLossOnSaleOfPropertyPlantEquipment,239000.000,,,,-25000.000,,,,4000.000,,,,
GoodwillImpairmentLoss,,,,,0.000,,,,,,,,
GrossProfit,224174000.000,237620000.000,263845000.000,236825000.000,286912000.000,331888000.000,312651000.000,300414000.000,289504000.000,299259000.000,312680000.000,310834000.000,291125000.000
ImpairmentOfInvestments,,,,,0.000,,,,,,,,
ImpairmentOfRealEstate,,,,,,2400000.000,,,,,,,
IncomeLossFromContinuingOperations,18546000.000,28408000.000,31650000.000,11408000.000,75197000.000,58713000.000,39665000.000,22653000.000,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,14442000.000,37308000.000,39450000.000,2590000.000,26135000.000,70513000.000,54765000.000,23855000.000,16132000.000,29820000.000,49059000.000,42779000.000,28040000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.030,0.050,0.050,0.020,0.130,0.100,0.070,0.050,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.030,0.050,0.050,0.020,0.130,0.100,0.070,0.040,,,,,
