,2014-08-31,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28
CashAndCashEquivalentsPeriodIncreaseDecrease,,417.000,,,,,,,,
CashPeriodIncreaseDecrease,,,,,,-82.000,,,,-90.000
CurrentIncomeTaxExpenseBenefit,0.000,0.000,,,,,,,,
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,,-12897.000,-14121.000,-15348.000,-7347.000,-1550.000
EarningsPerShareBasicAndDiluted,0.000,0.000,,-0.000,,-0.000,-0.000,0.000,-0.010,-0.000
GeneralAndAdministrativeExpense,0.000,0.000,,501.000,,11051.000,6313.000,6140.000,4089.000,8009.000
IncreaseDecreaseInAccountsPayable,,,,,,-5632.000,,,,
IncreaseDecreaseInAccruedLiabilities,,,,,,-2297.000,,,,7919.000
IncreaseDecreaseInOtherAccruedLiabilities,,,,,,,,,,1627.000
InterestExpense,,,,,,1003.000,1567.000,1628.000,1628.000,1627.000
NetCashProvidedByUsedInFinancingActivities,,600.000,,,,19901.000,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,600.000,,,,19901.000,,,,
NetCashProvidedByUsedInOperatingActivities,,-183.000,,,,-19983.000,,,,-90.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-183.000,,,,-19983.000,,,,-90.000
NetIncomeLoss,-1947.000,-183.000,-5581.000,-501.000,-498178.000,-24951.000,-22001.000,-23116.000,-13064.000,-11186.000
OperatingExpenses,1947.000,183.000,5581.000,,,,,6140.000,,8009.000
OperatingIncomeLoss,-1947.000,-183.000,-5581.000,-501.000,-23935.000,-11051.000,-6313.000,-6140.000,-4089.000,-8009.000
OtherOperatingIncomeExpenseNet,,,,,,,,-16976.000,,-3177.000
ProceedsFromContributionsFromAffiliates,,0.000,,,,,,,,
ProceedsFromIssuanceOfCommonStock,,0.000,,,,,,,,
ProceedsFromRepaymentsOfDebt,,600.000,,,,,,,,
ProfitLoss,,-183.000,,,,,,,,
RepaymentOfNotesReceivableFromRelatedParties,,0.000,,,,,,,,
Revenues,0.000,0.000,,,,,,,,
SalesRevenueNet,0.000,0.000,,,,,,,,
SellingGeneralAndAdministrativeExpense,1947.000,183.000,5581.000,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,5520000.000,,10570000.000,10570000.000,10570000.000,-21140000.000,10570000.000
