,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccretionExpense,,20664.000,,,,,,,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,,79724.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,57523.000,-1212019.000,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,112261.000,-626348.000,,,,,,,,,,,,
ConcentrationRiskPercentage1,,,,,,,,0.656,0.689,,,0.698,0.589,0.762
CostOfRevenue,201870.000,320592.000,,,,,,,,,,,,
CurrentIncomeTaxExpenseBenefit,0.000,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,0.000,,,,,,,,,,,,,
DeferredIncomeTaxesAndTaxCredits,,-193500.000,,,,,,,,,,,,
DepreciationAndAmortization,23826.000,105824.000,,,,,,,,,,,,
DepreciationNonproduction,12314.000,97037.000,,,,,,,,,,,,
EarningsPerShareBasic,0.000,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,-0.020,,,,,,,,,,,,
EarningsPerShareDiluted,0.000,,,,,,,,,,,,,
EntityWideRevenueMajorCustomerPercentage,,,0.544,0.487,,,,,,,,,,
ExpenseRelatedToDistributionOrServicingAndUnderwritingFees,9001.000,,,,,,,,,,,,,
FairValueAssumptionsExpectedVolatilityRate,,,,,,,,,,,,1.000,,
GainLossOnDispositionOfProperty,0.000,,,,,,,,,,,,,
GrossProfit,487292.000,1232790.000,,,,,,,,,,,,
IncomeLossFromContinuingOperations,,-883204.000,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,-819848.000,,,,,,,,,,,,
IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,,2543.000,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingAssets,-3710.000,12603.000,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,137403.000,-572976.000,,,,,,,,,,,,
InterestAndOtherIncome,5091.000,3505.000,,,,,,,,,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,0.000,,,,,,,,,,,,
LicenseCosts,,1346772.000,,,,,,,,,,,,
LicensesRevenue,,0.000,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-2559.000,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-2559.000,,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivities,-3710.000,-21959.000,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-3710.000,-21959.000,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,63792.000,-1190060.000,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,63792.000,-1190060.000,,,,,,,,,,,,
NetIncomeLoss,112261.000,-626348.000,,,,,,,,,,,,
OperatingExpenses,380122.000,2115994.000,,,,,,,,,,,,
OperatingIncomeLoss,107170.000,,,,,,,,,,,,,
PaymentsOfStockIssuanceCosts,-2559.000,,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,0.000,9356.000,,,,,,,,,,,,
ProFormaWeightedAverageSharesOutstandingDiluted,24610042.000,,,,,,,,,,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,0.000,,,,,,,,,,,,,
ProceedsFromStockOptionsExercised,0.000,,,,,,,,,,,,,
ProductWarrantyAccrualPreexistingIncreaseDecrease,-266029.000,-2543.000,,,,,,,,,,,,
ResearchAndDevelopmentExpense,12196.000,1752.000,,,,,,,,,,,,
Revenues,689162.000,2900154.000,,,,,,,,,,,,
RoyaltyRevenue,5298.000,,,,,,,,,,,,,
SalesRevenueGoodsNet,683864.000,,,,,,,,,,,,,
SalesRevenueNet,689162.000,2900154.000,,,,,,,,,,,,
SellingGeneralAndAdministrativeExpense,621641.000,2018957.000,,,,,,,,,,,,
ShareBasedCompensation,47330.000,158543.000,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,,,,,,0.000,,,,0.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,,,,,,1.230,,,,1.210,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,,,,,,0.016,,,,0.006,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,,,,,,,13750.000,,,,129587.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,,,,,723750.000,167000.000,,1298245.000,29740.000,500000.000,,3158903.000,616617.000,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,,,,200000.000,,,,200000.000,,
StockIssuedDuringPeriodSharesIssuedForCash,,,,,,108696.000,,,,,,,,
StockIssuedDuringPeriodSharesIssuedForServices,,,,,,,,500000.000,500000.000,,,,,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,,,,,,,,,443589.000,,,,15311466.000
WeightedAverageNumberOfDilutedSharesOutstanding,,,39610042.000,43535459.000,50972542.000,50985538.000,-96324125.000,51420127.000,51581238.000,88392327.000,-119453687.000,96685405.000,108800996.000,124887901.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,43535459.000,,,,,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,24610042.000,,39610042.000,,50972542.000,50985538.000,,51420127.000,51581238.000,87948738.000,-119010098.000,96685405.000,108800996.000,109576434.000
