,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsNotesAndLoansReceivableNetCurrent,,,,,,71786.000,117606.000,135081.000,41769.000,20525.000,35326.000,113015.000,70315.000,45888.000,27304.000
AccountsPayableAndAccruedLiabilitiesCurrent,1100151.000,1045378.000,1369458.000,1002606.000,1085298.000,1008093.000,1112446.000,1018408.000,1073068.000,1291227.000,1206188.000,1261748.000,1118337.000,1022407.000,1034609.000
AccountsReceivableNet,,,801861.000,1094228.000,1187662.000,979421.000,975320.000,825366.000,,137000.000,,,,123090.000,
AccountsReceivableNetCurrent,843066.000,1033662.000,128162.000,,,137000.000,,,723418.000,732972.000,794307.000,721997.000,573559.000,556025.000,751943.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,731060.000,,,1039703.000,,,,1172585.000,,,,1254300.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-14708.000,-11800.000,-11800.000,-11800.000,-11800.000,-11800.000,-11800.000,-11800.000,-11800.000,,,,,,
AdditionalPaidInCapital,1203392.000,1249192.000,1309417.000,1305971.000,1427160.000,1439734.000,1446237.000,1446237.000,1446237.000,1446278.000,1446278.000,1446278.000,1446278.000,1446278.000,1446278.000
Assets,6006933.000,6138070.000,6814860.000,6563423.000,6989671.000,6881536.000,6787248.000,6754192.000,6376164.000,6391854.000,5803148.000,5819410.000,5609118.000,5496098.000,5604766.000
AssetsCurrent,3370466.000,3527325.000,4113198.000,3862671.000,3983066.000,3953772.000,3898062.000,3821160.000,3509554.000,3581722.000,3644834.000,3692271.000,3491951.000,3331949.000,3496756.000
AvailableForSaleSecuritiesCurrent,100.000,100.000,,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,,,,,507154.000,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,,,9573.000,,495.000,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther,,,1100.000,,172.000,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,,,56162.000,,95126.000,,,,,,,,,,
