,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,120042000.000,130368000.000,114754000.000,122288000.000,124694000.000,115434000.000
AccountsPayableOtherCurrent,3439000.000,,,,3421000.000,
AccountsPayableTradeCurrent,38239000.000,,,,38686000.000,
AccountsReceivableNetCurrent,59412000.000,131098000.000,131183000.000,192420000.000,52979000.000,112353000.000
AccruedIncomeTaxesCurrent,13011000.000,1190000.000,4095000.000,4299000.000,5355000.000,1378000.000
AccruedLiabilitiesCurrent,47193000.000,,,,44775000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,254073000.000,267492000.000,273943000.000,279018000.000,277330000.000,284951000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-57133000.000,-45105000.000,-49901000.000,-49314000.000,-67126000.000,-59690000.000
AdditionalPaidInCapitalCommonStock,27728000.000,27969000.000,25691000.000,26602000.000,27638000.000,28227000.000
AllowanceForDoubtfulAccountsReceivable,4639000.000,,,,6581000.000,
Assets,1120115000.000,1335518000.000,1325420000.000,1287487000.000,1599533000.000,1774315000.000
AssetsCurrent,430099000.000,597233000.000,592312000.000,571971000.000,377998000.000,546033000.000
AssetsHeldForSaleNotPartOfDisposalGroupCurrent,629000.000,631000.000,632000.000,390000.000,632000.000,242000.000
CapitalLeasedAssetsGross,6395000.000,,,,9100000.000,
CapitalLeasesBalanceSheetAssetsByMajorClassNet,2192000.000,,,,3968000.000,
CapitalLeasesFutureMinimumPaymentsDue,2273000.000,,,,4241000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,1312000.000,,,,1484000.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,207000.000,,,,391000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,254000.000,,,,1138000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,500000.000,,,,1228000.000,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,4203000.000,,,,5132000.000,
CashAndCashEquivalentsAtCarryingValue,210148000.000,294074000.000,166501000.000,230984000.000,207867000.000,236894000.000
CashSurrenderValueOfLifeInsurance,1138000.000,,,,1777000.000,
CommonStockSharesIssued,107200470.000,105885660.000,106547039.000,106661268.000,106822001.000,106954951.000
CommonStockSharesOutstanding,107200470.000,105885660.000,106547039.000,106661268.000,106822001.000,106954951.000
CommonStockValue,131530000.000,98613000.000,117554000.000,120911000.000,125474000.000,129625000.000
DebtLongtermAndShorttermCombinedAmount,110265000.000,144779000.000,125165000.000,140603000.000,619618000.000,621054000.000
DeferredCompensationLiabilityCurrentAndNoncurrent,1030000.000,,,,1838000.000,
DeferredFinanceCostsNet,,,,,4220000.000,4137000.000
DeferredFinanceCostsNoncurrentNet,,,,,6182000.000,5853000.000
DeferredIncomeTaxLiabilities,50557000.000,,,,55884000.000,
DeferredTaxAssetsGoodwillAndIntangibleAssets,286000.000,,,,341000.000,
DeferredTaxAssetsGross,44630000.000,,,,49037000.000,
DeferredTaxAssetsLiabilitiesNetNoncurrent,13362000.000,14815000.000,15343000.000,15475000.000,19129000.000,22450000.000
DeferredTaxAssetsOperatingLossCarryforwards,17079000.000,,,,17790000.000,
DeferredTaxAssetsOther,14704000.000,,,,18286000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,5236000.000,,,,5475000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,3243000.000,,,,3154000.000,
DeferredTaxAssetsValuationAllowance,11781000.000,,,,10411000.000,
DeferredTaxLiabilities,17708000.000,,,,17258000.000,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsGoodwill,12587000.000,,,,12976000.000,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,9370000.000,,,,11062000.000,
DeferredTaxLiabilitiesNoncurrent,31070000.000,35392000.000,33030000.000,30592000.000,36387000.000,39691000.000
DeferredTaxLiabilitiesOther,17308000.000,,,,21827000.000,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,11292000.000,,,,10019000.000,
DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfDomesticSubsidiaries,3600000.000,,,,4200000.000,
DepositsAssetsCurrent,710000.000,,,,1079000.000,
EquityMethodInvestments,6487000.000,7081000.000,7491000.000,7649000.000,7326000.000,7197000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,12945000.000,15622000.000,17999000.000,11789000.000,14238000.000,17874000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,9760000.000,,,,10878000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,4468000.000,,,,3422000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,6958000.000,,,,5030000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,8478000.000,,,,7954000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,9255000.000,,,,9609000.000,
FiniteLivedIntangibleAssetsGross,59918000.000,81022000.000,83861000.000,78470000.000,86542000.000,92861000.000
FiniteLivedIntangibleAssetsNet,38919000.000,,,,36893000.000,
Goodwill,91234000.000,111569000.000,111576000.000,92307000.000,97537000.000,98065000.000
