,2011-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,117405000.000,,,,,93851000.000,115899000.000,108765000.000,136626000.000,135810000.000,124586000.000,148845000.000,145630000.000,141702000.000
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,,,,8430000.000,7168000.000,7737000.000,7851000.000,9441000.000,12384000.000,11854000.000,8015000.000,7463000.000
AccountsReceivableNetCurrent,358253000.000,,,,267476000.000,242610000.000,255839000.000,259574000.000,217677000.000,208969000.000,225739000.000,212659000.000,213915000.000,234798000.000
AccruedEmployeeBenefitsCurrent,,,,,,,,,14128000.000,,,,12369000.000,
AccruedVacationCurrent,,,,,,42814000.000,36784000.000,36673000.000,33694000.000,31483000.000,29260000.000,30399000.000,30286000.000,28918000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,30417000.000,32912000.000,34980000.000,35742000.000,37146000.000,38957000.000,40573000.000,42705000.000,44660000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,,-12278000.000,-12231000.000,-11939000.000,-11871000.000,-10174000.000,-8785000.000,-7547000.000,-6113000.000,-4565000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-2622000.000,,,,,-12278000.000,-12231000.000,-11939000.000,-11871000.000,-10174000.000,-8785000.000,-7547000.000,-6113000.000,-4565000.000
AdditionalPaidInCapital,375395000.000,,,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,520907000.000,521703000.000,522138000.000,522919000.000,525111000.000,525659000.000,526292000.000,526783000.000,528391000.000
AllowanceForDoubtfulAccountsReceivable,,,,,773000.000,792000.000,792000.000,721000.000,957000.000,892000.000,1027000.000,969000.000,997000.000,1059000.000
Assets,1134698000.000,,,,,1606020000.000,1609786000.000,1592908000.000,1576056000.000,1563611000.000,1539286000.000,1559178000.000,1563283000.000,1552584000.000
AssetsCurrent,544987000.000,,,,,298449000.000,323720000.000,327763000.000,333779000.000,337498000.000,329947000.000,366586000.000,317633000.000,312227000.000
AssetsNeededForImmediateSettlementAggregateFairValue,,25200000.000,25000000.000,24800000.000,22400000.000,23500000.000,22800000.000,22100000.000,21600000.000,20300000.000,17800000.000,15500000.000,13000000.000,10400000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,36992000.000,,,,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,21877000.000,,,,,,,,,,,,,
BilledContractReceivables,,,,,250079000.000,221308000.000,231221000.000,236695000.000,201427000.000,193985000.000,208020000.000,189969000.000,199957000.000,222237000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssets,,,,,6033000.000,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,,,,,2219000.000,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,,,,,10000000.000,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,,,,,33631000.000,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,103990000.000,,,,,38550000.000,53886000.000,53848000.000,108840000.000,118442000.000,95830000.000,143452000.000,96009000.000,68822000.000
CommonStockParOrStatedValuePerShare,,,,,,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,,,,,,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000,1000.000
