,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,2600000.000,4300000.000,2800000.000,1700000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,17213000.000,13308000.000,13569000.000,8557000.000,5550000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,-966000.000,-356000.000,1526000.000,-155000.000,
AllocatedShareBasedCompensationExpense,,13308000.000,10440000.000,8557000.000,5386000.000
AmortizationOfFinancingCostsAndDiscounts,1484000.000,1010000.000,,,
AmortizationOfIntangibleAssets,30455000.000,30493000.000,5433000.000,5625000.000,409000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,4800000.000,1100000.000,1500000.000,1000000.000
AssetImpairmentCharges,,26910000.000,52899000.000,,
BusinessAcquisitionsProFormaNetIncomeLoss,,11730000.000,,,
BusinessAcquisitionsProFormaRevenue,,871019000.000,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,,836000.000,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,-5124000.000,,
CapitalExpendituresIncurredButNotYetPaid,,3000000.000,400000.000,2800000.000,200000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,26198000.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,-30055000.000,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,-8999000.000,,25775000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,14485000.000,68000.000,520000.000
CommonStockDividendsPerShareCashPaid,0.400,0.400,2.250,,
ComprehensiveIncomeNetOfTax,49965000.000,19802000.000,-79125000.000,-6312000.000,29045000.000
CostOfGoodsSold,351946000.000,374438000.000,,,
CostOfRevenue,,,75480000.000,70871000.000,62806000.000
CostOfServices,92538000.000,90057000.000,,,
CostsAndExpenses,803383000.000,839157000.000,286157000.000,222864000.000,144032000.000
CurrentFederalTaxExpenseBenefit,,8454000.000,2510000.000,-1794000.000,-583000.000
CurrentForeignTaxExpenseBenefit,,7881000.000,4197000.000,3761000.000,2875000.000
CurrentIncomeTaxExpenseBenefit,,19065000.000,7684000.000,2091000.000,2988000.000
CurrentStateAndLocalTaxExpenseBenefit,,2730000.000,977000.000,124000.000,696000.000
DeferredFederalIncomeTaxExpenseBenefit,,-8288000.000,36252000.000,-1616000.000,873000.000
DeferredForeignIncomeTaxExpenseBenefit,,-852000.000,-1334000.000,266000.000,134000.000
DeferredIncomeTaxExpenseBenefit,,-11247000.000,35233000.000,-1318000.000,971000.000
DeferredIncomeTaxesAndTaxCredits,-446000.000,-11908000.000,35607000.000,-1307000.000,3404000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,-2107000.000,315000.000,32000.000,-36000.000
Depreciation,,25616000.000,14000000.000,13100000.000,6600000.000
