,2011-12-31,2014-12-31,2015-12-31,2016-12-31
AccretionExpense,,4600.000,21200.000,500.000
AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment,0.000,,,
AdjustmentOfWarrantsGrantedForServices,1100.000,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,16300.000,-47000.000,266300.000
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,,1900.000,,
AdjustmentsToAdditionalPaidInCapitalOther,,,18100.000,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,1100.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,12300.000,-24900.000,-16600.000,187700.000
CostOfGoodsSold,202700.000,248700.000,256000.000,347300.000
CostOfRevenue,262400.000,324300.000,333000.000,442100.000
CostOfServicesLicensesAndServices,59700.000,75600.000,77000.000,94800.000
DebtInstrumentBasisSpreadOnVariableRate1,,0.005,,
DebtInstrumentPeriodicPayment,,2083.000,,
DepreciationDepletionAndAmortization,5900.000,4000.000,6100.000,7300.000
EarningsPerShareBasic,,0.000,0.000,0.000
EarningsPerShareBasicAndDiluted,0.000,,,
EarningsPerShareDiluted,,0.000,0.000,0.000
GeneralAndAdministrativeExpense,353800.000,253400.000,325600.000,294800.000
GrossProfit,451100.000,598500.000,617800.000,941400.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-11200.000,71600.000,32200.000,-26200.000
IncreaseDecreaseInAccountsReceivable,-139300.000,50700.000,-34500.000,-9900.000
IncreaseDecreaseInDeferredRevenue,-3700.000,-20400.000,19000.000,-6100.000
IncreaseDecreaseInInventories,,15000.000,-6900.000,34300.000
IncreaseDecreaseInOperatingCapital,-152300.000,1800.000,-88800.000,63700.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-13900.000,-12700.000,3800.000,7000.000
IncreaseDecreaseInRawMaterialsPackagingMaterialsAndSuppliesInventories,-14000.000,,,
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,1674.000,,1241.000
InterestAndDebtExpense,10300.000,,,
InterestExpense,,21600.000,35600.000,13300.000
InterestPaid,3000.000,300.000,7700.000,12600.000
InvestmentIncomeNet,,300.000,,
LicenseAndServicesRevenue,373200.000,358800.000,338700.000,565000.000
NetCashProvidedByUsedInFinancingActivities,-7000.000,-18800.000,-49500.000,-13500.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-7000.000,-18800.000,-49500.000,-13500.000
NetCashProvidedByUsedInInvestingActivities,0.000,-20600.000,-8900.000,-1400.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,-20600.000,-8900.000,-1400.000
NetCashProvidedByUsedInOperatingActivities,19300.000,14500.000,41800.000,202600.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,19300.000,14500.000,41800.000,202600.000
NetIncomeLoss,-27300.000,7700.000,-18000.000,258500.000
NonoperatingIncomeExpense,156400.000,-21300.000,20700.000,-13300.000
OperatingExpenses,634800.000,569500.000,656500.000,669600.000
OperatingIncomeLoss,-183700.000,29000.000,-38700.000,271800.000
OperatingLeasesRentExpenseNet,,44800.000,45100.000,45100.000
OtherNonoperatingGainsLosses,,,56300.000,
PaymentsToAcquirePropertyPlantAndEquipment,0.000,20600.000,8900.000,1400.000
ProceedsFromConvertibleDebt,,5000.000,,
ProceedsFromIssuanceOfCommonStock,18000.000,,,
ProceedsFromOtherShortTermDebt,17000.000,,,
PropertyPlantAndEquipmentDisposals,0.000,,,
RepaymentsOfConvertibleDebt,,,10000.000,
RepaymentsOfLinesOfCredit,25000.000,,,
RepaymentsOfNotesPayable,,18800.000,,
RepaymentsOfOtherShortTermDebt,17000.000,5000.000,39500.000,13500.000
ResearchAndDevelopmentExpense,113700.000,121600.000,128100.000,138800.000
Revenues,713500.000,922800.000,950800.000,1383500.000
SalesRevenueGoodsGross,340300.000,564000.000,612100.000,818500.000
SalesRevenueNet,713500.000,922800.000,950800.000,1383500.000
SellingAndMarketingExpense,167300.000,194500.000,202800.000,236000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,,-245000.000,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,,0.120,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,7200.000,,,
StockIssuedDuringPeriodValueNewIssues,18000.000,,,
StockOptionPlanExpense,0.000,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,58600690.000,58599016.000,58600257.000
WeightedAverageNumberOfSharesOutstandingBasic,,58599016.000,58599016.000,58599016.000
