,2011-06-18,2011-09-10,2012-06-23,2012-09-15,2013-06-22,2013-09-14,2014-07-12,2014-10-04,2015-07-18,2015-10-10,2016-07-16,2016-10-08
AccretionExpense,,,289000.000,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,944000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,800000.000,600000.000,700000.000,500000.000,700000.000,600000.000,600000.000,500000.000,700000.000,592000.000
AssetImpairmentCharges,,,,,,,0.000,,,1867000.000,3483000.000,2059000.000
BusinessCombinationIntegrationRelatedCosts,,,,,,,2581000.000,1379000.000,151000.000,4417000.000,913000.000,2427000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-6111000.000,,-20383000.000,,-1934000.000,,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-198000.000,,-64000.000,,-256000.000,,,,,,,
CommonStockDividendsPerShareDeclared,0.065,,0.080,,0.090,,,,,,,
ComprehensiveIncomeNetOfTax,5961000.000,,,10305000.000,4889000.000,10256000.000,17445000.000,17221000.000,20388000.000,15519000.000,17485000.000,16649000.000
CostOfGoodsSold,477227000.000,486910000.000,482192000.000,491333000.000,487129000.000,513175000.000,1544784000.000,1548162000.000,1533822000.000,,,
CostOfRevenue,,,,,,,,,,1516352000.000,1564863000.000,1544790000.000
DeferredIncomeTaxExpenseBenefit,4576000.000,,3862000.000,,1230000.000,,,,,,,
DepreciationAndAmortization,,,8670000.000,8805000.000,9491000.000,9573000.000,19417000.000,19951000.000,19453000.000,19722000.000,17635000.000,17927000.000
DepreciationDepletionAndAmortization,8359000.000,,9015000.000,,9424000.000,,,,,,,
DividendsCommonStockCash,1484000.000,,1680000.000,,1970000.000,,,,,,,
EarningsPerShareBasic,0.270,0.450,0.270,0.470,0.210,0.460,0.460,0.450,0.540,0.410,0.470,0.440
EarningsPerShareDiluted,0.260,0.450,0.270,0.470,0.210,0.460,0.460,0.450,0.540,0.410,0.470,0.440
EffectiveIncomeTaxRateContinuingOperations,,,0.294,0.375,0.377,0.363,0.360,0.390,0.364,0.375,0.380,0.346
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,,,,,,,352000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,84000.000,,199000.000,,85000.000,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,84000.000,,199000.000,,85000.000,,,,,,,
FiniteLivedIntangibleAssetsPurchaseAccountingAdjustments,,,,,,,19300000.000,,,,,
GainLossOnDispositionOfAssets1,,,,,,,-320000.000,1638000.000,336000.000,1150000.000,101000.000,
GoodwillPeriodIncreaseDecrease,,,,,200000.000,,,,,,,
GoodwillPurchaseAccountingAdjustments,,,,,,,3700000.000,,,,,
GrossProfit,125337000.000,132737000.000,121720000.000,130226000.000,125276000.000,136296000.000,265391000.000,261409000.000,262042000.000,259049000.000,262699000.000,255295000.000
IncomeLossFromContinuingOperations,6135000.000,10270000.000,6076000.000,10355000.000,4784000.000,10115000.000,17395000.000,17169000.000,20307000.000,15248000.000,17560000.000,16730000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,31926000.000,24389000.000,28303000.000,25594000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,10824000.000,16611000.000,8605000.000,16558000.000,7680000.000,15870000.000,27174000.000,28146000.000,,,,
IncomeLossFromContinuingOperationsPerBasicShare,0.270,0.450,0.280,0.480,0.220,0.460,0.460,0.460,0.540,0.410,0.470,0.450
IncomeLossFromContinuingOperationsPerDilutedShare,0.270,0.450,0.280,0.470,0.220,0.460,0.460,0.450,0.540,0.400,0.470,0.450
IncomeLossFromDiscontinuedOperationsNetOfTax,-106000.000,-18000.000,-73000.000,-50000.000,-101000.000,-65000.000,-76000.000,-73000.000,-46000.000,145000.000,-76000.000,-82000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,-0.010,-0.010,-0.010,,,-0.010,,,,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,-0.010,,-0.010,,-0.010,,,,,0.010,,-0.010
IncomeTaxExpenseBenefit,4689000.000,6341000.000,-2529000.000,6203000.000,2896000.000,5755000.000,9779000.000,10977000.000,11619000.000,9141000.000,10743000.000,8864000.000
IncomeTaxReconciliationChangeInEnactedTaxRate,,,500000.000,600000.000,,,,,,,,
IncreaseDecreaseInAccountsPayable,31377000.000,,20009000.000,,11391000.000,,,,,,,
IncreaseDecreaseInAccountsReceivable,5953000.000,,2663000.000,,-784000.000,,,,,,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,-4768000.000,,,,,,,
IncreaseDecreaseInEmployeeRelatedLiabilities,-8248000.000,,-8069000.000,,-7794000.000,,,,,,,
IncreaseDecreaseInIncomeTaxes,,,,,100000.000,100000.000,-100000.000,,,,,
IncreaseDecreaseInInventories,29320000.000,,33447000.000,,11233000.000,,,,,,,
IncreaseDecreaseInOtherAccruedLiabilities,-770000.000,,-11876000.000,,142000.000,,,,,,,
IncreaseDecreaseInOtherOperatingAssets,,,,,-91000.000,,,,,,,
IncreaseDecreaseInPensionAndPostretirementObligations,-79000.000,,-122000.000,,-88000.000,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,2792000.000,,4792000.000,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,-725000.000,,,,,,,
