,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,223431000.000,,,,73247000.000,,,
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,5209000.000,34413000.000,,18723000.000,5536000.000,16395000.000,
AllowanceForLoanAndLeaseLossesWriteOffs,,,20763000.000,42104000.000,,30888000.000,20282000.000,17787000.000,-153643000.000
AmortizationOfFinancingCostsAndDiscounts,,5196000.000,,,,2692000.000,,,
AvailableForSaleSecuritiesIncomeTaxExpenseOnChangeInUnrealizedHoldingGainOrLoss,,38000.000,,,,60000.000,-381000.000,-248000.000,569500.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-26792000.000,,,,-60129000.000,,,
CashFlowsBetweenTransfereeAndTransferorPurchasesOfPreviouslyTransferredFinancialAssets,,,,,,22100000.000,,,
Communication,3824000.000,3654000.000,3482000.000,3297000.000,3399000.000,3097000.000,2747000.000,3681000.000,3375000.000
ComprehensiveIncomeNetOfTax,-33497000.000,3291000.000,1858000.000,-31023000.000,25811000.000,-12715000.000,-14168000.000,-6737000.000,-59494000.000
ConvertiblePreferredDividendsNetOfTax,,,-2415000.000,-2415000.000,,-2415000.000,-2415000.000,-2415000.000,-2416000.000
CurrentIncomeTaxExpenseBenefit,,,,,,,,3213000.000,
DeferredIncomeTaxExpenseBenefit,,-114463000.000,-1347000.000,-688000.000,-50245000.000,2797000.000,-2238000.000,-4228000.000,-1508000.000
DepreciationAmortizationAndAccretionNet,,3251000.000,,,,3040000.000,,,
DepreciationAndAmortization,3293000.000,3251000.000,3640000.000,3269000.000,3226000.000,3040000.000,2982000.000,2780000.000,2787000.000
EarningsPerShareBasic,-0.260,0.000,-0.030,-0.270,0.200,-0.110,-1.950,-1.490,-11.310
FederalDepositInsuranceCorporationPremiumExpense,3296000.000,3260000.000,4105000.000,4745000.000,5368000.000,5090000.000,5022000.000,5030000.000,4890000.000
FederalHomeLoanBankAdvancesActivityForYearAverageBalanceOfAgreementsOutstanding,,,,,,1000000000.000,,,
FeesAndCommissionsDepositorAccounts,6571000.000,6261000.000,6407000.000,6634000.000,6588000.000,6124000.000,6067000.000,5873000.000,5930000.000
ForeclosedRealEstateExpense,3753000.000,2218000.000,1654000.000,3570000.000,4113000.000,3401000.000,1115000.000,1812000.000,3013000.000
GainLossOnSaleOfMortgageLoans,,,,,,-197000.000,,,
GainLossOnSaleOfSecuritiesNet,,7187000.000,,,,14393000.000,,,
GainsLossesOnExtinguishmentOfDebt,0.000,,0.000,-1186000.000,,-454000.000,661000.000,-456000.000,-2371000.000
GainsLossesOnSalesOfOtherRealEstate,,50000.000,,,,-949000.000,,,
GeneralInsuranceExpense,1235000.000,1608000.000,1569000.000,1583000.000,1789000.000,1839000.000,1883000.000,1703000.000,1844000.000
ImpairedFinancingReceivableAverageRecordedInvestment,,,1334663000.000,1336490000.000,,1416875000.000,1441118000.000,1441964000.000,-2865234000.000
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,12049000.000,8332000.000,,10563000.000,11400000.000,11198000.000,11520000.000
ImpairmentOfInvestments,5717000.000,,0.000,0.000,,0.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-27816000.000,-110020000.000,-827000.000,-31997000.000,-21936000.000,-8445000.000,-12124000.000,-8504000.000,-58651000.000
IncomeTaxExpenseBenefit,2339000.000,-112624000.000,785000.000,549000.000,-50191000.000,3932000.000,-1774000.000,-1015000.000,-580000.000
IncomeTaxesPaid,,350000.000,,,,75000.000,,,
IncreaseDecreaseInAccountsReceivable,,1274000.000,,,,-2549000.000,,,
IncreaseDecreaseInAccruedInterestReceivableNet,,1730000.000,,,,-1115000.000,,,
IncreaseDecreaseInDeposits,,165741000.000,,,,154884000.000,,,
IncreaseDecreaseInDerivativeAssets,,-238000.000,,,,531000.000,,,
IncreaseDecreaseInInterestsContinuedToBeHeldByTransferorCurrent,,,-2155000.000,-1564000.000,,-4000.000,2747000.000,-341000.000,9207000.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,2912000.000,,,,-17756000.000,,,
IncreaseDecreaseInOtherOperatingAssets,,14709000.000,,,,-11847000.000,,,
IncreaseDecreaseInRestrictedCashForOperatingActivities,,-165529000.000,,,,963000.000,,,
InformationTechnologyAndDataProcessing,2972000.000,3533000.000,3889000.000,4489000.000,4835000.000,4965000.000,4166000.000,4038000.000,4346000.000
InsuranceCommissionsAndFees,2504000.000,2510000.000,2847000.000,3029000.000,6554000.000,2772000.000,2359000.000,2181000.000,6225000.000
InterestAndDividendIncomeOperating,90109000.000,90841000.000,91619000.000,91719000.000,94298000.000,94744000.000,84432000.000,91634000.000,89815000.000
InterestAndFeeIncomeLoansAndLeases,81962000.000,84639000.000,85391000.000,86650000.000,89713000.000,90815000.000,80961000.000,87921000.000,86211000.000
InterestExpense,41862000.000,38748000.000,37518000.000,36122000.000,35564000.000,34004000.000,33901000.000,34005000.000,32456000.000
InterestExpenseDeposits,20235000.000,17354000.000,15986000.000,15436000.000,14610000.000,13887000.000,14006000.000,13897000.000,12747000.000
InterestExpenseFederalHomeLoanBankAndFederalReserveBankAdvancesLongTerm,10847000.000,10381000.000,9585000.000,8662000.000,9574000.000,8636000.000,8563000.000,8683000.000,8864000.000
InterestExpenseOtherLongTermDebt,6476000.000,6570000.000,,,,,,,
InterestExpenseSecuritiesSoldUnderAgreementsToRepurchase,2881000.000,2850000.000,2849000.000,2398000.000,2023000.000,1234000.000,1120000.000,1118000.000,671000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,6549000.000,-63088000.000,48892000.000,21184000.000,37439000.000,42017000.000,44995000.000,41234000.000,24383000.000
InterestIncomeExpenseNet,48247000.000,52093000.000,54101000.000,55597000.000,58734000.000,60740000.000,50531000.000,57629000.000,57359000.000
InterestIncomeSecuritiesMortgageBacked,5457000.000,3595000.000,3832000.000,2747000.000,2214000.000,1590000.000,1421000.000,1672000.000,1647000.000
InterestPaid,,38041000.000,,,,32347000.000,,,
LaborAndRelatedExpense,16992000.000,17894000.000,18943000.000,18704000.000,25332000.000,24523000.000,24920000.000,24415000.000,28998000.000
LoansAndLeasesReceivableCommitmentsFixedRates,,,,,,,28000000.000,28000000.000,
LoansAndLeasesReceivableImpairedInterestLostOnNonaccrualLoans,,,13460000.000,13733000.000,,13863000.000,12950000.000,13359000.000,20390000.000
LoansAndLeasesReceivableImpairedTroubledDebtInterestIncome,,,6800000.000,6800000.000,,6400000.000,6200000.000,6700000.000,10700000.000
LoansAssumed1,,,,,,20542000.000,,,
LossOnSaleOfInvestments,,,,,,87000.000,,,
MalpracticeInsuranceAnnualCoverageLimit,,,,,,20000000.000,20000000.000,20000000.000,-40000000.000
MortgageServicingRightsMSRImpairmentRecovery,,2380000.000,,,,2148000.000,,,
NetCashProvidedByUsedInFinancingActivities,,79131000.000,,,,-99976000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,79131000.000,,,,-99976000.000,,,
NetCashProvidedByUsedInInvestingActivities,,-331958000.000,,,,-21023000.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-331958000.000,,,,-21023000.000,,,
NetCashProvidedByUsedInOperatingActivities,,226035000.000,,,,60870000.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,226035000.000,,,,60870000.000,,,
NetIncomeLoss,-30155000.000,2604000.000,-1612000.000,-32546000.000,28255000.000,-12377000.000,-10350000.000,-7489000.000,-58071000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-32570000.000,189000.000,-4027000.000,-34961000.000,25839000.000,-14792000.000,-12765000.000,-9904000.000,-60487000.000
NoninterestExpense,63992000.000,63512000.000,70974000.000,73798000.000,86702000.000,75261000.000,73870000.000,68387000.000,94256000.000
NoninterestIncome,29627000.000,16580000.000,21255000.000,20617000.000,27327000.000,24799000.000,16751000.000,18649000.000,11222000.000
