,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AccretionExpense,239408.000,7523459.000,,,533200.000,553200.000
AccretionOfDiscount,,,,668703.000,779072.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,-305288.000
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,-13055.000,,
AdvertisingExpense,,872000.000,1300000.000,198000.000,43000.000,99000.000
AllocatedShareBasedCompensationExpense,,,745610.000,669639.000,358671.000,118125.000
AmortizationOfDebtDiscountPremium,,,,,,779072.000
AmortizationOfFinancingCosts,,,,1586204.000,1528761.000,1658077.000
AmortizationOfIntangibleAssets,,203000.000,40000.000,64000.000,84000.000,105000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,77700000.000,88100000.000,180500000.000,265800000.000,273100000.000
AssetImpairmentCharges,,,2420132.000,636636.000,0.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-11418027.000,12762404.000,-4638665.000,-9586115.000,-961771.000,1263625.000
ComprehensiveIncomeNetOfTax,-90524054.000,-111410143.000,-89868504.000,-65183873.000,-25631819.000,-19766941.000
ConversionOfStockAmountConverted1,,346.000,,,,
CostOfGoodsSold,129187145.000,146902807.000,98043280.000,87702728.000,68548508.000,46417908.000
CurrentForeignTaxExpenseBenefit,,,,,,3363.000
CurrentIncomeTaxExpenseBenefit,,,,,,3363.000
DebtConversionConvertedInstrumentAmount1,6543200.000,,,,,
DebtInstrumentIncreaseAccruedInterest,,,,-539719.000,-640569.000,-648409.000
DebtIssuanceCosts,,,,3200000.000,3300000.000,
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,,,220000.000,135000.000,102000.000
Depreciation,,8200000.000,8700000.000,3300000.000,1900000.000,677000.000
DepreciationAndAmortization,4895742.000,8411187.000,8722030.000,3355865.000,1973959.000,781864.000
DepreciationDepletionAndAmortization,,,,3355865.000,1973959.000,781864.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,3892994.000,-15667304.000,-598524.000,2950352.000
DividendsPreferredStock,237824.000,1799392.000,,,,
DividendsPreferredStockStock,,,-24358592.000,,,
EarningsPerShareBasicAndDiluted,-0.480,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,-44796.000,-66027.000,255561.000,,,
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,271387.000,-244736.000,430925.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,,0.340,0.340,0.340
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,,-8503480.000,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchasesSalesIssuancesSettlements,,-16464185.000,,,,
GainLossOnDispositionOfAssets,-460925.000,-52373.000,-497140.000,-52862.000,-70335.000,-4025.000
