,2011-09-30,2011-12-31,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,6452.000,,,,,,,
AccountsPayableCurrent,,130.000,5895.000,1655.000,11089.000,18550.000,2284.000,6690.000
AccountsPayableRelatedPartiesCurrent,,,,,,,25840.000,58618.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,2803.000,
AccruedLiabilitiesCurrent,,2988.000,2990.000,2988.000,,,,
AdditionalPaidInCapital,310098.000,310098.000,310098.000,310098.000,315188.000,73454.000,149804.000,149804.000
Assets,193580.000,172461.000,155022.000,95868.000,226424.000,220294.000,202707.000,2081.000
AssetsCurrent,185600.000,160042.000,146493.000,91632.000,226424.000,220294.000,202707.000,2081.000
AssetsNoncurrent,7980.000,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,0.000,,,
Cash,177272.000,153642.000,,,,,,2081.000
CashAndCashEquivalentsAtCarryingValue,117272.000,153462.000,144893.000,91632.000,16135.000,1421.000,707.000,2081.000
CommonStockAdditionalSeriesParOrStatedValuePerShare,0.001,0.001,,,,,,
CommonStockParOrStatedValuePerShare,,,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,6777834.000,6777834.000,6777834.000,6777834.000,6787834.000,6787834.000,6937834.000,6937834.000
CommonStockSharesOutstanding,6777834.000,6777834.000,6777834.000,6777834.000,6787834.000,6787834.000,6937834.000,6937834.000
CommonStockValue,,,,,,,,6938.000
CommonStockValueOutstanding,6778.000,6778.000,6778.000,6778.000,6788.000,6788.000,3938.000,
DeferredCostsCurrent,8328.000,6400.000,1600.000,0.000,,,,
DeferredFinanceCostsCurrentNet,,5202.000,2076.000,0.000,,,,
DeferredTaxAssetsNet,,,,,,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,28000.000,
DeferredTaxAssetsValuationAllowance,,,,,,,-28000.000,
DisposalGroupIncludingDiscontinuedOperationAccruedLiabilities,,,,,0.000,,,
DueToOfficersOrStockholdersCurrent,,2915.000,2015.000,4415.000,,,,
DueToRelatedPartiesCurrent,,,,,,3838.000,2803.000,0.000
InventoryNet,,,,,210289.000,218873.000,202000.000,0.000
InventoryOperativeBuildersOther,,,,,,,,0.000
Liabilities,44882.000,44941.000,50296.000,29825.000,208065.000,219364.000,225549.000,65308.000
LiabilitiesAndStockholdersEquity,193580.000,172461.000,155022.000,95868.000,226424.000,220294.000,202707.000,2081.000
LiabilitiesCurrent,6452.000,44941.000,50296.000,9058.000,208065.000,219364.000,225549.000,65308.000
LineOfCredit,,38908.000,39396.000,20767.000,196976.000,196976.000,194622.000,0.000
LineOfCreditFacilityAmountOutstanding,,,,,,,,0.000
LineOfCreditFacilityCapacityAvailableForTradePurchases,,,,,,,,208500.000
LineOfCreditFacilityInterestRateAtPeriodEnd,,,,,,,,5.250
LinesOfCreditCurrent,,,,0.000,,,,
LongTermLineOfCredit,38430.000,0.000,,,,,,
OperatingLossCarryforwards,,,,,,,81000.000,
PreferredStockAdditionalSeriesParOrStatedValuePerShare,0.001,0.001,,,,,,
PreferredStockParOrStatedValuePerShare,,,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,0.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
PreferredStockValue,,,,,,,,0.000
PreferredStockValueOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
PropertyPlantAndEquipmentNet,7980.000,7217.000,6453.000,4236.000,,,,
RetainedEarningsAccumulatedDeficit,-168178.000,-189356.000,-212150.000,-250833.000,-303617.000,-79312.000,-179584.000,-219969.000
StockholdersEquity,148698.000,127500.000,104726.000,66043.000,18359.000,930.000,-22842.000,-63227.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,148698.000,127520.000,104726.000,66043.000,18359.000,930.000,-22842.000,-63227.000
