,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,5558643.000,4899593.000,3249441.000,3399998.000,4926378.000,6447692.000,4057404.000,7082555.000,6648091.000,8409634.000,7168398.000,6532367.000,8031138.000,7034773.000,6167740.000,5094559.000,5948158.000,2028746.000,2397076.000,1447314.000,1499739.000,2351623.000,3457200.000,5294624.000
AccountsReceivableNetCurrent,8409724.000,8811404.000,8473280.000,6950126.000,6165551.000,8349865.000,8234220.000,10520413.000,12234870.000,13720761.000,14677736.000,17105718.000,15070653.000,16227469.000,13555350.000,9639059.000,9455779.000,7895591.000,5540926.000,4231534.000,4404084.000,5287229.000,5526787.000,5150560.000
AccruedIncomeTaxesCurrent,0.000,,264786.000,283863.000,690951.000,,,,,751992.000,1840342.000,865882.000,,523843.000,3415443.000,1027237.000,1041846.000,,1073551.000,,659319.000,,,
AdditionalPaidInCapitalCommonStock,1922029.000,1924507.000,1982236.000,1844004.000,1943555.000,2020229.000,2195559.000,2337589.000,2479619.000,2587838.000,2456303.000,2590501.000,2767615.000,2861343.000,2590151.000,2932208.000,2879000.000,2993119.000,2915219.000,3000554.000,3085815.000,3191056.000,2476066.000,2431161.000
AssetRetirementObligationsNoncurrent,1750938.000,1843875.000,1887421.000,1934291.000,1971477.000,2122950.000,2195383.000,2262211.000,2332949.000,2393190.000,2477441.000,2539172.000,2855520.000,2638470.000,2696836.000,2735026.000,2786229.000,2824944.000,2861160.000,2895488.000,2928176.000,2958048.000,2990823.000,3054646.000
Assets,108821382.000,111424193.000,128011489.000,126634374.000,126625621.000,135186730.000,133848882.000,138431177.000,142796173.000,147838430.000,150225724.000,156057501.000,247203287.000,246640604.000,259584806.000,251683917.000,245265542.000,238825273.000,224874852.000,208955443.000,202716551.000,198135226.000,196522699.000,199685087.000
AssetsCurrent,15567043.000,13261058.000,11369775.000,9081773.000,7568352.000,11622845.000,10791660.000,14119993.000,15232660.000,17805179.000,15847014.000,19774023.000,24163489.000,19368611.000,27276525.000,21643831.000,16565462.000,13784184.000,9066910.000,6956481.000,7080155.000,6572253.000,6383213.000,6916305.000
AssetsHeldForSaleNotPartOfDisposalGroupCurrent,,,,,,,,,,,,,,,,,,,,,1456851.000,,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,,,,164652199.000,,,,186042746.000,,,,204045504.000,,,,227165334.000,,,,251004735.000,,
CapitalizedCostsMineralInterestsInUnprovedProperties,,,,,,9018731.000,,,,8490277.000,,,,8247509.000,,,,8088134.000,,,,7364630.000,,
CapitalizedCostsOilAndGasProducingActivitiesGross,,,,,,286148130.000,,,,313822050.000,,,,428498229.000,,,,449435334.000,,,,442043741.000,,
CapitalizedCostsOilAndGasProducingActivitiesNet,,,,,,121495931.000,,,,127779304.000,,,,224452725.000,,,,222270000.000,,,,191039006.000,,
CapitalizedCostsProvedProperties,,,,,,275997569.000,,,,304889145.000,314483789.000,317646446.000,408816025.000,418237512.000,430310159.000,434412916.000,438750515.000,441141337.000,441316100.000,433557440.000,433025959.000,434469093.000,437851114.000,435198500.000
CapitalizedCostsUnprovedProperties,,,,,,10150561.000,,,,8932905.000,8873666.000,9151030.000,9544840.000,10260717.000,9394878.000,8805553.000,8703427.000,8293997.000,7694635.000,7643408.000,7593698.000,7574649.000,7538806.000,7497046.000
CashAndCashEquivalentsAtCarryingValue,5623125.000,3506999.000,1935886.000,1119676.000,479674.000,1984099.000,986363.000,2316752.000,1381705.000,2867171.000,294961.000,1816400.000,1511057.000,509755.000,519605.000,586982.000,925219.000,603915.000,1503691.000,486630.000,506541.000,471213.000,484989.000,551671.000
CollateralSecuritiesRepledgedDeliveredOrUsed,,,,,,,39367672.000,38129961.000,36900585.000,40042933.000,,,,160011830.000,,,,166401695.000,,,,,,
CommonStockParOrStatedValuePerShare,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
CommonStockSharesAuthorized,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000,24000000.000
CommonStockSharesIssued,8431502.000,8431502.000,8431502.000,8431502.000,8431502.000,8431502.000,8431502.000,8431502.000,8431502.000,8431502.000,8431502.000,8431502.000,8431502.000,16863004.000,16863004.000,16863004.000,16863004.000,16863004.000,16863004.000,16863004.000,16863004.000,16863004.000,16863004.000,16863004.000
CommonStockValue,140524.000,140524.000,140524.000,140524.000,140524.000,140524.000,140524.000,140524.000,140524.000,140524.000,140524.000,140524.000,140524.000,280938.000,280938.000,280938.000,280938.000,280938.000,280938.000,280938.000,280938.000,280938.000,280938.000,280938.000
DeferredCompensationArrangementWithIndividualRecordedLiability,,,,,,2676160.000,,,,2756526.000,,,,3110351.000,,,,3084289.000,,,,,,
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,,,,,,,,,33656415.000,,
DeferredTaxAssetsDerivativeInstruments,,,,,,,,,,,,,,,,,,,,,,166597.000,,
DeferredTaxAssetsLiabilitiesNet,,,,,,26587007.000,,,,-31354007.000,,,,-37964007.000,,,,-40636007.000,,,,,,
DeferredTaxAssetsNet,,,,,,3733758.000,,,,2368910.000,,,,2828793.000,,,,2882671.000,,,,2980408.000,,
DeferredTaxAssetsNetCurrent,,,70900.000,26900.000,31900.000,121900.000,95900.000,94900.000,55900.000,,,,,,,,,,,,529900.000,310900.000,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,,,,,,,,,,,,,,,,,259981.000,,
DeferredTaxAssetsOther,,,,,,130021.000,,,,137620.000,,,,695338.000,,,,787506.000,,,,785775.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,,,990455.000,,,,1021717.000,,,,1159355.000,,,,1149217.000,,,,1273279.000,,
DeferredTaxAssetsTaxDeferredExpenseOther,,,,,,,,,,426788.000,,,,475561.000,,,,457934.000,,,,,,
DeferredTaxLiabilities,,,,,,30320765.000,,,,33722917.000,,,,40792800.000,,,,43518678.000,,,,30676007.000,,
DeferredTaxLiabilitiesCurrent,19100.000,7100.000,0.000,0.000,,,,,,127100.000,84100.000,43100.000,9100.000,600100.000,765100.000,1015100.000,745100.000,1517100.000,863100.000,312100.000,,,,
DeferredTaxLiabilitiesDeferredExpense,,,,,,30320765.000,,,,33557515.000,,,,40052983.000,,,,41880691.000,,,,33656415.000,,
DeferredTaxLiabilitiesDerivatives,,,,,,,,,,165402.000,,,,739817.000,,,,1637987.000,,,,,,
DeferredTaxLiabilitiesNoncurrent,24235650.000,24777650.000,25086650.000,25170393.000,26077907.000,26708907.000,27020907.000,27638907.000,29293907.000,31226907.000,31595907.000,32763907.000,37308907.000,37363907.000,38382907.000,39646907.000,40072907.000,39118907.000,36025907.000,32918907.000,30821907.000,30986907.000,29569007.000,30600007.000
DerivativeAssetFairValueGrossLiability,,,,,,,,,,239901.000,583401.000,1304870.000,1959962.000,8222.000,,,,,559893.000,53425.000,,471847.000,,516889.000
DerivativeAssets,,,,,169472.000,,,,,,,,,,,,,,,,,,,
DerivativeAssetsCurrent,292759.000,269329.000,0.000,309658.000,169472.000,,764643.000,,814978.000,425198.000,,,,1650563.000,12333036.000,10490170.000,5402106.000,4210764.000,636114.000,330751.000,,,,
DerivativeAssetsLiabilitiesAtFairValueNet,,,,,,172271.000,764643.000,-1259714.000,814978.000,425198.000,,,,1901842.000,12333036.000,10490170.000,5402106.000,4210764.000,636114.000,330751.000,,,,
DerivativeAssetsNoncurrent,0.000,0.000,,,,,,19912.000,,,,,,251279.000,,,,,,,,,,
DerivativeFairValueOfDerivativeAsset,,,,,,,764643.000,,,665099.000,116629.000,12541.000,15871.000,1658785.000,12333036.000,10490170.000,5402106.000,4210764.000,1196007.000,384176.000,,68235.000,,516889.000
DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,,,,,,,,,,,,,,-8222.000,,,,,,,,68235.000,,
DerivativeFairValueOfDerivativeLiability,,,,,,,,,,,,,,,,,,,559893.000,53425.000,1690516.000,,2933947.000,560594.000
DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,,,,,,,,,,,,,,-8222.000,,,,,,,,68235.000,,516889.000
DerivativeLiabilities,,,,,,,,,,,,,2006229.000,,,,,,,,1690516.000,428271.000,2944534.000,43705.000
DerivativeLiabilitiesCurrent,,,320074.000,,,172271.000,,1279626.000,,,466772.000,1292329.000,1944091.000,,,,,,,,1690516.000,403612.000,2933947.000,43705.000
DerivativeLiabilitiesNoncurrent,21310.000,53389.000,0.000,0.000,,,,,,,,,62138.000,,,,,,,,,24659.000,10587.000,
DerivativeLiabilityFairValueGrossAsset,,,,,,,,,,,,,,,,,,,559893.000,53425.000,,,,
DividendsPayableAmount,,,581319.000,,,,,,,,,,,,,,,,,,,,,
DividendsPayableAmountPerShare,,,,,,,,,,,0.080,,,,0.040,,,,0.040,,,,0.040,
DividendsPayableCurrentAndNoncurrent,,,,,,,583438.000,,,,663654.000,,,,666824.000,,,,669618.000,,,,670255.000,
