,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,154913.000,384274.000,,,,,
AccountsPayableCurrent,0.000,0.000,,,,,,,,,,,,,,,
AccountsPayableInterestBearingInterestRate,,,,,,,,,,,,,,,,,0.048
AccountsPayableTrade,,,,0.000,,,,,,,,,,,,,
AccountsPayableTradeCurrent,,,0.000,,170.000,0.000,3234.000,,,,,,,,,,
AccruedAdvertisingCurrent,,,,,,,,,,,59548.000,,,,,,
AccruedLiabilitiesCurrent,,,,,,,,839.000,0.000,72656.000,,,,,,,
AdditionalPaidInCapital,88170.000,90670.000,90670.000,90670.000,90670.000,92070.000,95070.000,96270.000,100470.000,105029.000,243165.000,617135.000,,,,,
Assets,12190.000,12721.000,9997.000,8318.000,1620.000,353.000,3329.000,90.000,292.000,38.000,63524.000,311073.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,,,,,,,,,,,,,1028126.000,1028126.000,1028126.000,1028126.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedContingentLiability,,,,,,,,,,,,,-127975.000,-127975.000,-127975.000,-127975.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssets,,,,,,,,,,,,,336785.000,336785.000,336785.000,336785.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther,,,,,,,,,,,,,5380.000,5380.000,5380.000,5380.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,,,,,,,,,,,,,-295834.000,-295834.000,-295834.000,-295834.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,,,,,,,,,,,,,353960.000,353960.000,353960.000,353960.000,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,,,,,,,,,,367401.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,,,,,,,,,109213.000
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,,,,,,,,,,29835.000
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,,,,,,,,,115864.000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,,,,,,,,,112489.000
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,,,,,,,,-160044.000,-160044.000,-160044.000,-160044.000,
CapitalizedComputerSoftwareNet,,,,,,,,,,,,,167806.000,167806.000,167806.000,167806.000,
Cash,12190.000,12721.000,9997.000,8318.000,,,,90.000,292.000,38.000,20.000,268962.000,,,,,
CashAndCashEquivalentsAtCarryingValue,12190.000,12721.000,9997.000,8318.000,1620.000,353.000,3329.000,,292.000,38.000,20.000,268962.000,,,,,
CommitmentsAndContingencies,0.000,,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,250000000.000,250000000.000,250000000.000,250000000.000,,,
CommonStockSharesIssued,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000008.000,133935107.000,142861138.000,151979818.000,159515885.000,,,
CommonStockSharesOutstanding,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,10000005.000,500005.000,10000005.000,10000005.000,10000008.000,133935107.000,142861138.000,151979818.000,159515885.000,,,167954975.000
CommonStockValue,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,10000.000,133935.000,142861.000,,,,,
CommonUnitAuthorized,,,,,,,,,,,,,1000.000,1000.000,,,
CommonUnitIssued,,,,,,,,,,,,,1000.000,1000.000,,,
CommonUnitOutstanding,,,,,,,,,,,,,1000.000,1000.000,,,
DeferredRevenue,,,,,,,,,,,,,4086.000,,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,,0.000,0.000,,,,,,,
DeferredTaxAssetsNet,,,,0.000,0.000,0.000,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,110000.000,229000.000,729617.000,1101248.000,596001.000,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,,,-596001.000,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,-87949.000,-90673.000,-92352.000,-99220.000,-101717.000,-104975.000,-107019.000,-110178.000,228704.000,729616.000,1101248.000,,,,,
DueToOfficersOrStockholdersCurrent,,,,,,,,,,41057.000,41039.000,41039.000,,,,,
DueToRelatedPartiesCurrent,,,,,,,,,,,160540.000,237012.000,,,,,
IndefiniteLivedLicenseAgreements,,,,,,,,,,,,,127435.000,127435.000,127435.000,127435.000,
LeaseholdImprovementsGross,,,,,,,,,,,,,36760.000,36760.000,36760.000,36760.000,
Liabilities,0.000,0.000,0.000,0.000,170.000,0.000,0.000,839.000,0.000,113713.000,416040.000,662325.000,,,,,
LiabilitiesAndStockholdersEquity,12190.000,12721.000,9997.000,8318.000,1620.000,353.000,95.000,90.000,292.000,38.000,63524.000,311073.000,,,,,
NetCapital,,,,,,,,,,,,,-212648.000,-158801.000,-158801.000,-158801.000,
OperatingLeasesFutureMinimumPaymentsDue,,,,,,,,,,,,,,1109146.000,,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,,,,,,38694.000,,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,,,,,,,131592.000,,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,,,,,,391644.000,,,
OperatingLeasesFutureMinimumPaymentsDueInTwoAndThreeYears,,,,,,,,,,,,,,155572.000,,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,,,,,,391644.000,,,
OperatingLossCarryforwards,,,,,33700.000,34600.000,,,37500.000,77759.000,,289425.000,,,,,
OperatingLossCarryforwardsValuationAllowance,,,,,,,,,-37500.000,77759.000,,289425.000,1820320.000,,,,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,,,
PreferredStockSharesIssued,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,,,
PreferredStockSharesOutstanding,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,,,
PreferredStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,
RetainedEarningsAccumulatedDeficit,-85890.000,,,,,,,,,,,,1820320.000,-2761686.000,-3406420.000,,
StockholdersEquity,12190.000,12721.000,9997.000,8318.000,1450.000,353.000,95.000,-749.000,292.000,-113675.000,-352516.000,-351252.000,,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,12190.000,12721.000,9997.000,8318.000,1450.000,353.000,95.000,-749.000,292.000,-113675.000,-352516.000,-351252.000,,,,,
ValuationAllowanceAmount,,,,,-33700.000,-34600.000,,,,,,,,,,,
