,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30
AmortizationOfAboveAndBelowMarketLeases,,,5000.000,,
AmortizationOfIntangibleAssets,,,327000.000,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,1566000.000,,
BusinessAcquisitionsProFormaRevenue,,,2978000.000,,
BusinessCombinationAcquisitionRelatedCosts,,55000.000,4745000.000,22145000.000,25713000.000
CapitalLeasesIncomeStatementDirectFinancingLeaseRevenue,,,,,224000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,931393000.000,,
ComprehensiveIncomeNetOfTax,-19000.000,-118000.000,-2908000.000,-21951000.000,-23627000.000
Depreciation,,,1317000.000,,
DepreciationAndAmortization,,,1644000.000,5946000.000,23030000.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,-9000.000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,,,145000.000,621000.000,1341000.000
EarningsPerShareBasicAndDiluted,,-2.440,-0.120,-0.290,-0.330
GeneralAndAdministrativeExpense,19000.000,64000.000,152000.000,1240000.000,822000.000
IncomeTaxesPaid,,,21000.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,1218000.000,,
IncreaseDecreaseInOtherOperatingLiabilities,,,90000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,1096000.000,,
InterestExpense,,,,186000.000,3054000.000
InvestmentIncomeNet,,,633000.000,1126000.000,39000.000
LineOfCreditFacilityCommitmentFeeAmount,,,,100000.000,
LossOnSaleOfInvestments,,,,,2246000.000
NetCashProvidedByUsedInFinancingActivities,,,1148059000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,1148059000.000,,
NetCashProvidedByUsedInInvestingActivities,,,-215289000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-215289000.000,,
NetCashProvidedByUsedInOperatingActivities,,,-1377000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-1377000.000,,
NetIncomeLoss,-19000.000,-118000.000,-3243000.000,-20279000.000,-23614000.000
NetIncomeLossAttributableToNoncontrollingInterest,,,,-155000.000,-260000.000
NonoperatingIncomeExpense,,,746000.000,1246000.000,-5217000.000
OperatingExpenses,19000.000,119000.000,6686000.000,31665000.000,53028000.000
OperatingIncomeLoss,,,-3989000.000,-21680000.000,-18657000.000
OperatingLeasesIncomeStatementLeaseRevenue,,,2555000.000,9493000.000,33054000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,41000.000,-13000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,-1672000.000,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,335000.000,,
OtherNonoperatingIncome,,,113000.000,306000.000,44000.000
PaymentsForDepositsOnRealEstateAcquisitions,,,4733000.000,,
PaymentsOfDividends,,,3185000.000,,
PaymentsOfFinancingCosts,,,5000.000,,
PaymentsOfStockIssuanceCosts,,,138071000.000,,
PaymentsToAcquireAvailableForSaleSecurities,,,61265000.000,,
PaymentsToAcquireRealEstate,,,149291000.000,,
ProceedsFromContributionsFromAffiliates,,,-526000.000,,
ProceedsFromIssuanceOfCommonStock,,,1289846000.000,,
ProceedsFromSaleOfAvailableForSaleSecurities,,,,,67200000.000
ProfitLoss,,,,-20434000.000,-23874000.000
Revenues,0.000,1000.000,2697000.000,9985000.000,34371000.000
SalesRevenueNet,0.000,1000.000,2697000.000,9985000.000,34371000.000
ShareBasedCompensation,,,5000.000,,
StockIssuedDuringPeriodValueDividendReinvestmentPlan,,,2603000.000,,
TenantReimbursements,,,142000.000,492000.000,1093000.000
UnrealizedGainLossOnInvestments,,,,-1713000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,48285.000,27345977.000,70496757.000,71099644.000
