,2011-03-27,2011-06-26,2011-09-25,2012-03-25,2012-09-30,2013-03-31,2013-06-30,2013-09-29,2013-12-31,2014-03-30,2014-06-29,2014-09-28,2015-03-29,2015-06-28,2015-09-27,2016-03-27,2016-06-26,2016-09-25,2017-03-26
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,-1227000.000,,,737000.000,,,,,,,,,,,,,,,
AdmissionsRevenue,10612000.000,160619000.000,333924000.000,11670000.000,319607000.000,20023000.000,202536000.000,339655000.000,84793000.000,19067000.000,206958000.000,340101000.000,22783000.000,207568000.000,361106000.000,28660000.000,214338000.000,361949000.000,22563000.000
AmortizationOfIntangibleAssets,,,,9000.000,,9000.000,,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,8187000.000,,,4809000.000,,,11898000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-2510000.000,,,-28205000.000,,-68792000.000,-35202000.000,,,-109189000.000,,,-112115000.000,,,-55006000.000,,,-88474000.000
CashPaidForCapitalizedInterest,399000.000,,,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,-66012000.000,139891000.000,-99940000.000,50661000.000,186964000.000,-15989000.000,-82569000.000,39344000.000,167603000.000,-79058000.000,57666000.000,168861000.000,-55512000.000,57527000.000,178378000.000,-63420000.000
CostsAndExpenses,94141000.000,232086000.000,325687000.000,97294000.000,349404000.000,108119000.000,264165000.000,325353000.000,135174000.000,112043000.000,271167000.000,342385000.000,116450000.000,284381000.000,366945000.000,124256000.000,293176000.000,382488000.000,124279000.000
DepreciationAndAmortization,3790000.000,42764000.000,62619000.000,3846000.000,60747000.000,4786000.000,46032000.000,57495000.000,14174000.000,4307000.000,46974000.000,58244000.000,4011000.000,47105000.000,59059000.000,5191000.000,48299000.000,64685000.000,5365000.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,,,,,,-371000.000,315000.000,1087000.000,116000.000,1407000.000,1439000.000,-1842000.000,-5410000.000,-1650000.000,-301000.000
EarlyRepaymentOfSeniorDebt,,,18000.000,,9000000.000,,,,,,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,142000.000,,,-819000.000,,-786000.000,-1389000.000,,,-932000.000,,,-3785000.000,,,1606000.000,,,383000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,-437000.000,,-127000.000,-130000.000,,,-568000.000,,,-1299000.000,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,6888000.000,-3043000.000,-18549000.000,8192000.000,15035000.000,-8958000.000,-14886000.000,8615000.000,-13712000.000,-17184000.000,16102000.000,-21515000.000,-38218000.000,7911000.000,-33891000.000,19561000.000,11455000.000,-7341000.000,2671000.000
ForeignCurrencyTransactionGainLossUnrealized,,,,,,,,,,,,,,,,19812000.000,,,2010000.000
FutureAmortizationExpenseRemainderOfFiscalYear,,,,26000.000,,,,,,,,,,,,,,,
GainLossOnDispositionOfOtherAssets,0.000,,,,,,,,,,,,,,,,,,
GainLossOnForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,-100000.000,-600000.000,200000.000,,,,,,,,,,,,,,,
GainLossOnSaleOfOtherAssets,0.000,0.000,,,,0.000,0.000,8743000.000,0.000,0.000,921000.000,0.000,,0.000,0.000,,,,
GainLossOnSaleOfProperties,0.000,,,,,,,,,,,,,,,,,,
GainOnCashFlowHedgeIneffectiveness,,12766000.000,15808000.000,1279000.000,,-1036000.000,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,0.000,,,,,,,,,,,0.000,,,,
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,239000.000
GoodwillTranslationAdjustments,,,,2318000.000,,-2568000.000,,,,-4561000.000,,,-8408000.000,,,3897000.000,,,
ImpairmentOfLongLivedAssetsToBeDisposedOf,196000.000,0.000,880000.000,92000.000,,600000.000,,,,997000.000,,,2903000.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,8431000.000,190891000.000,-86721000.000,192401000.000,-144785000.000,59050000.000,248449000.000,-34267000.000,-113791000.000,51090000.000,211305000.000,-128227000.000,80877000.000,223085000.000,-67868000.000,79786000.000,237905000.000,-92473000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-104291000.000,,,,,,,,,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
IncomeTaxExpenseBenefit,-19599000.000,3765000.000,38161000.000,-21539000.000,51713000.000,-35659000.000,11660000.000,58025000.000,-13783000.000,-30251000.000,7188000.000,49403000.000,-44394000.000,23294000.000,58934000.000,-19382000.000,21803000.000,62918000.000,-27719000.000
IncomeTaxesPaid,66000.000,,,138000.000,,,,,,,,,,,,,,,
IncomeTaxesPaidNet,,,,,,1952000.000,,,,605000.000,,,297000.000,,,2834000.000,,,8084000.000
IncreaseDecreaseInFairValueOfInterestRateFairValueHedgingInstruments,1887000.000,,,-970000.000,,,,,,,,,,,,,,,
IncreaseDecreaseInFairValueOfInterestRateFairValueHedgingInstruments1,,,,,,-9211000.000,,,,-371000.000,,,116000.000,,,,,,
IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,-1887000.000,1432000.000,3962000.000,970000.000,175000.000,-9211000.000,2273000.000,-1377000.000,1432000.000,,,,,,,,,,
IncreaseDecreaseInOperatingCapital,-14072000.000,,,12228000.000,,-7057000.000,,,,6338000.000,,,25208000.000,,,19917000.000,,,33738000.000
IncreaseDecreaseInOtherOperatingCapitalNet,14519000.000,,,4381000.000,,29635000.000,,,,20599000.000,,,2283000.000,,,-5657000.000,,,-16526000.000
IndefiniteLivedIntangibleAssetsImpairmentLosses,0.000,,,,,,,,,,,,,,,,,,
InterestExpense,41112000.000,42185000.000,41353000.000,26803000.000,26863000.000,25763000.000,25861000.000,25529000.000,25918000.000,24732000.000,27907000.000,21462000.000,20532000.000,21473000.000,22159000.000,19787000.000,21125000.000,20957000.000,18914000.000
InterestIncomeExpenseNet,,-42178000.000,-41321000.000,-26787000.000,-26850000.000,-25723000.000,-25792000.000,-25512000.000,-25890000.000,-24659000.000,-27901000.000,-21446000.000,-20492000.000,-21468000.000,-22155000.000,-19769000.000,-21117000.000,-20899000.000,-18882000.000
InterestIncomeOther,,,,,,,,,,,,,,5000.000,4000.000,18000.000,8000.000,58000.000,32000.000
InterestPaid,44672000.000,,,30471000.000,,31291000.000,,,,36966000.000,,,18343000.000,,,18123000.000,,,17978000.000
InterestPaidCapitalized,,,,752000.000,,516000.000,,,,406000.000,,,945000.000,,,788000.000,,,1047000.000
InterestRateCashFlowHedgeGainLossReclassifiedToEarningsNet,,,,,,7845000.000,,,,,,,,,,,,,
InvestmentsInAndAdvancesToAffiliatesAtFairValuePeriodIncreaseDecrease,,,,0.000,,0.000,0.000,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,101934000.000,,,82014000.000,,36490000.000,-37180000.000,,,15341000.000,,,13649000.000,,,63451000.000,,,33592000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,101934000.000,,,82014000.000,,36490000.000,-37180000.000,,,15341000.000,,,13649000.000,,,63451000.000,,,33592000.000
NetCashProvidedByUsedInInvestingActivities,-20303000.000,,,-27468000.000,,-35829000.000,-79189000.000,,,-40342000.000,,,-61730000.000,,,-52221000.000,,,-48465000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-20303000.000,,,-27468000.000,,-35829000.000,-79189000.000,,,-40342000.000,,,-61730000.000,,,-52221000.000,,,-48465000.000
NetCashProvidedByUsedInOperatingActivities,-84283000.000,,,-81932000.000,,-68667000.000,82556000.000,,,-83256000.000,,,-60249000.000,,,-67842000.000,,,-73984000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-84283000.000,,,-81932000.000,,-68667000.000,82556000.000,,,-83256000.000,,,-60249000.000,,,-67842000.000,,,-73984000.000
NetIncomeLoss,-84692000.000,,,,,,,,,,,,,,,,57983000.000,174987000.000,-64754000.000
NetIncomeLossAllocatedToGeneralPartners,1000.000,0.000,2000.000,1000.000,-1000.000,1000.000,0.000,-2000.000,0.000,1000.000,-1000.000,-2000.000,1000.000,-1000.000,-2000.000,0.000,0.000,2000.000,1000.000
NetIncomeLossAllocatedToLimitedPartners,-84691000.000,4666000.000,152728000.000,-65181000.000,140687000.000,-109125000.000,47390000.000,190422000.000,-20484000.000,-83539000.000,43901000.000,161900000.000,-83832000.000,57582000.000,164149000.000,-48486000.000,57983000.000,174985000.000,-64753000.000
NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,,,,,,,,,,-1.510,0.790,2.900,-1.500,1.020,2.920,-0.870,1.030,3.100,-1.160
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-1.530,0.080,2.760,,,,,,,,,,,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,,-1.510,0.790,2.920,-1.500,1.030,2.940,-0.870,1.040,3.130,-1.160
NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,-1.530,0.080,2.740,,,,,,,,,,,,,,,,
OperatingCostsAndExpenses,65128000.000,124978000.000,161452000.000,71285000.000,163311000.000,76657000.000,141284000.000,170394000.000,84009000.000,80350000.000,147192000.000,178649000.000,78130000.000,157325000.000,188565000.000,84604000.000,157525000.000,199292000.000,84289000.000
OperatingIncomeLoss,-67272000.000,52404000.000,246581000.000,-69096000.000,204041000.000,-66320000.000,97455000.000,266723000.000,3903000.000,-71577000.000,91847000.000,252933000.000,-69633000.000,93027000.000,277692000.000,-65818000.000,94858000.000,267795000.000,-75961000.000
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease,,,,339000.000,-234000.000,,,,,,,,,,,,,,
