,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
InvestmentOwnedForeignCurrencyContractReportingCurrencyAmountCurrentValue,,,,,,,,,,,,,,,,,,,140900000.000,135000000.000,98300000.000,103000000.000,96600000.000,108700000.000,144400000.000,135500000.000,148300000.000
Land,,21400000.000,21600000.000,20700000.000,19800000.000,20100000.000,19300000.000,19800000.000,19400000.000,19000000.000,19100000.000,19500000.000,19600000.000,19700000.000,19600000.000,18900000.000,18300000.000,17100000.000,20000000.000,20000000.000,19700000.000,19900000.000,19400000.000,19300000.000,19100000.000,20900000.000,23900000.000
Liabilities,,2334400000.000,2243600000.000,2055900000.000,2125600000.000,2090000000.000,2091800000.000,2115600000.000,2083300000.000,2056800000.000,2065600000.000,2094900000.000,1979600000.000,1900400000.000,1955500000.000,1974000000.000,2084800000.000,2074100000.000,2074500000.000,2112600000.000,2056200000.000,1901300000.000,1903500000.000,1911500000.000,2088000000.000,2112000000.000,2194100000.000
LiabilitiesAndStockholdersEquity,,3840000000.000,3826500000.000,3630100000.000,3672900000.000,3709900000.000,3741700000.000,3871900000.000,3902300000.000,3903200000.000,3961500000.000,4101000000.000,4110000000.000,4104100000.000,4228300000.000,4268500000.000,4310100000.000,4262400000.000,4390700000.000,4491400000.000,4486900000.000,4436400000.000,4505100000.000,4600100000.000,4723200000.000,4877800000.000,5067100000.000
LiabilitiesCurrent,,874900000.000,771000000.000,569400000.000,583800000.000,565900000.000,596100000.000,621600000.000,589200000.000,669700000.000,696100000.000,725700000.000,715400000.000,632900000.000,696700000.000,733900000.000,718700000.000,726500000.000,739800000.000,785500000.000,670500000.000,837200000.000,853100000.000,878600000.000,989500000.000,971500000.000,1073800000.000
LineOfCredit,,,,,,,500000000.000,,,,,,,,,,,,,,,,,,,,
LineOfCreditFacilityMaximumBorrowingCapacity,,,,,500000000.000,,,,500000000.000,500000000.000,500000000.000,,,,,,,,,,,,,,,,
LongTermDebt,,,1170500000.000,981900000.000,984100000.000,979500000.000,984400000.000,989900000.000,975600000.000,979400000.000,976300000.000,978800000.000,972000000.000,876300000.000,907800000.000,919200000.000,919300000.000,943200000.000,922400000.000,937700000.000,880100000.000,885400000.000,889600000.000,896000000.000,,,
LongTermDebtCurrent,,,,,,,,,,,,,,,,,,,,0.000,0.000,170800000.000,174400000.000,182600000.000,150000000.000,250000000.000,250000000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,16200000.000,,,,5200000.000,,,,113100000.000,,,,56600000.000,,,,18400000.000,,,,301400000.000,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,,,,,,,,,150000000.000,,,,250000000.000,,,,200000000.000,,,,0.000,,,,250000000.000,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,,,,,,0.000,,,,150000000.000,,,,250000000.000,,,,200000000.000,,,,0.000,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,100000000.000,,,,0.000,,,,0.000,,,,150000000.000,,,,250000000.000,,,,200000000.000,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,,,,100000000.000,,,,0.000,,,,0.000,,,,150000000.000,,,,250000000.000,,
LongTermDebtNoncurrent,,953000000.000,955500000.000,968000000.000,967900000.000,965500000.000,970200000.000,971200000.000,970400000.000,868000000.000,861400000.000,861100000.000,858900000.000,859900000.000,861500000.000,860500000.000,862700000.000,864400000.000,861400000.000,864100000.000,861700000.000,714600000.000,715200000.000,713400000.000,708800000.000,755400000.000,755600000.000
MachineryAndEquipmentGross,,643100000.000,634700000.000,629900000.000,,654100000.000,658300000.000,678100000.000,,691100000.000,699800000.000,714000000.000,,738600000.000,751100000.000,754000000.000,,745000000.000,766100000.000,776100000.000,,796400000.000,802400000.000,807300000.000,,826200000.000,850100000.000
MinorityInterest,,15900000.000,16300000.000,16300000.000,16400000.000,16500000.000,16500000.000,16600000.000,16900000.000,16900000.000,17100000.000,16900000.000,17200000.000,17000000.000,17400000.000,17500000.000,17500000.000,17700000.000,17700000.000,17800000.000,18000000.000,18000000.000,18000000.000,18000000.000,18000000.000,18100000.000,18100000.000
NoncurrentAssets,,,,,1337000000.000,,,,1369800000.000,,,,1421800000.000,,,,1418500000.000,,,,1398600000.000,,,,1505300000.000,,
NotesAndLoansReceivableGrossCurrent,,,258600000.000,271500000.000,285300000.000,299900000.000,314400000.000,323300000.000,331700000.000,337800000.000,365600000.000,378100000.000,385300000.000,394300000.000,412000000.000,419100000.000,414600000.000,420900000.000,434300000.000,443500000.000,460700000.000,466900000.000,477600000.000,489300000.000,488100000.000,500700000.000,513000000.000
NotesAndLoansReceivableGrossNoncurrent,,,413500000.000,429800000.000,447900000.000,461500000.000,480600000.000,499700000.000,512500000.000,519900000.000,537200000.000,557800000.000,577700000.000,592100000.000,630800000.000,648600000.000,671000000.000,688300000.000,731100000.000,757900000.000,797500000.000,843400000.000,896700000.000,930500000.000,967500000.000,1000800000.000,1034600000.000
NotesAndLoansReceivableNetCurrent,,232800000.000,250800000.000,264000000.000,277200000.000,291700000.000,305900000.000,314400000.000,323100000.000,329300000.000,355400000.000,367400000.000,374600000.000,383400000.000,400500000.000,407300000.000,402400000.000,408600000.000,421700000.000,430400000.000,447300000.000,453300000.000,463500000.000,474400000.000,472500000.000,484700000.000,496500000.000
NotesAndLoansReceivableNetNoncurrent,,370700000.000,398100000.000,414300000.000,431800000.000,445200000.000,463700000.000,481900000.000,494600000.000,502600000.000,520800000.000,540800000.000,560600000.000,574500000.000,611900000.000,629100000.000,650500000.000,667200000.000,708800000.000,734200000.000,772700000.000,817100000.000,868200000.000,899800000.000,934500000.000,966300000.000,998600000.000
NotesPayableCurrent,,217500000.000,215000000.000,13900000.000,16200000.000,14000000.000,14200000.000,18700000.000,5200000.000,111400000.000,114900000.000,117700000.000,113100000.000,16400000.000,46300000.000,58700000.000,56600000.000,78800000.000,61000000.000,73600000.000,18400000.000,,,,,,
NotionalAmountOfInterestRateCashFlowHedgeDerivatives,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,
NotionalAmountOfInterestRateFairValueHedgeDerivatives,,,150000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,,,,,,,,,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDue,,,,,90000000.000,,,,83000000.000,,,,77800000.000,,,,76500000.000,,,,79000000.000,,,,81500000.000,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,25900000.000,,,,23000000.000,,,,22600000.000,,,,22300000.000,,,,22400000.000,,,,23000000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,5400000.000,,,,6400000.000,,,,5100000.000,,,,6500000.000,,,,6400000.000,,,,6400000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,9600000.000,,,,8400000.000,,,,7600000.000,,,,8600000.000,,,,9200000.000,,,,9400000.000,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,14300000.000,,,,13000000.000,,,,11300000.000,,,,12000000.000,,,,12800000.000,,,,13900000.000,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,19900000.000,,,,17300000.000,,,,16700000.000,,,,16000000.000,,,,17200000.000,,,,18300000.000,,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,,,14900000.000,,,,14900000.000,,,,14500000.000,,,,11100000.000,,,,11000000.000,,,,10500000.000,,
OtherAccruedLiabilitiesCurrent,,,,,132800000.000,,,,117900000.000,,,,132600000.000,,,,158900000.000,,,,143600000.000,,,,163900000.000,,
OtherAssetsNoncurrent,,73300000.000,77400000.000,87300000.000,83100000.000,81900000.000,87700000.000,92500000.000,64100000.000,57900000.000,55900000.000,56400000.000,57200000.000,56600000.000,57200000.000,53700000.000,47300000.000,46100000.000,45900000.000,47200000.000,44000000.000,48800000.000,50400000.000,48600000.000,39900000.000,39100000.000,44300000.000
OtherLiabilitiesCurrent,,361000000.000,251100000.000,249000000.000,255900000.000,249500000.000,272300000.000,266400000.000,247900000.000,245200000.000,250900000.000,249700000.000,243700000.000,273300000.000,288000000.000,293700000.000,298300000.000,292200000.000,322600000.000,325800000.000,296300000.000,320800000.000,321900000.000,309900000.000,307900000.000,334300000.000,342400000.000
OtherLiabilitiesNoncurrent,,92100000.000,93000000.000,89000000.000,95300000.000,90200000.000,92800000.000,98600000.000,87500000.000,85200000.000,83900000.000,85600000.000,84000000.000,86300000.000,87900000.000,84300000.000,83800000.000,86800000.000,88000000.000,86900000.000,88500000.000,91100000.000,92400000.000,91100000.000,93400000.000,94100000.000,93800000.000
OtherLongTermDebt,,,20500000.000,,,,,,,,,,,,,,,,,,,,,,,,
OtherNotesPayable,,,,,,,,,,11400000.000,14900000.000,17700000.000,13100000.000,,16800000.000,22000000.000,19600000.000,26300000.000,26000000.000,28400000.000,,20800000.000,24400000.000,32600000.000,21400000.000,17200000.000,16700000.000
PensionAndOtherPostretirementDefinedBenefitPlansCurrentLiabilities,,,,,6000000.000,,,,4600000.000,,,,4800000.000,,,,4600000.000,,,,4500000.000,,,,4700000.000,,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,,259200000.000,268600000.000,275300000.000,317700000.000,306300000.000,270400000.000,255600000.000,260700000.000,252900000.000,239700000.000,239800000.000,135800000.000,135400000.000,122800000.000,108700000.000,217900000.000,196300000.000,184600000.000,175900000.000,227800000.000,206900000.000,193200000.000,179800000.000,246500000.000,230700000.000,213900000.000
PercentageOfFIFOInventory,,,,,0.620,,,,,,,,,,,,,,,,,,,,,,
PolicyLoansReceivable,,,9500000.000,-9500000.000,,,,,,,,,,,,,,,,,,,,,,,
PostemploymentBenefitsLiabilityNoncurrent,,58600000.000,57600000.000,56600000.000,52800000.000,51500000.000,50300000.000,49200000.000,48400000.000,47200000.000,46000000.000,44800000.000,41700000.000,40600000.000,39500000.000,38400000.000,42500000.000,41400000.000,40300000.000,39200000.000,37900000.000,37000000.000,36100000.000,35200000.000,36700000.000,35900000.000,35100000.000
PreferredStockParOrStatedValuePerShare,,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
PreferredStockSharesAuthorized,,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000000000.000,15000000000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000
PreferredStockSharesOutstanding,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,,,,,,,,,,,,,0.000,,,,,,,,,,,,
PrepaidExpenseAndOtherAssets,,,86200000.000,81100000.000,75700000.000,90300000.000,82400000.000,85300000.000,84800000.000,99700000.000,105000000.000,109100000.000,84200000.000,99000000.000,104500000.000,96900000.000,121500000.000,127300000.000,,,,,,,,,
PrepaidExpenseAndOtherAssetsCurrent,,,,,,,,,,,,,,,,,,,128600000.000,116100000.000,106300000.000,122900000.000,119600000.000,111400000.000,116500000.000,117000000.000,119500000.000
ProductWarrantyAccrual,,,18000000.000,18100000.000,18600000.000,18500000.000,18400000.000,18900000.000,18900000.000,17700000.000,17900000.000,19000000.000,17000000.000,16700000.000,17700000.000,17600000.000,17300000.000,17100000.000,18000000.000,18100000.000,16400000.000,16500000.000,16100000.000,15600000.000,16000000.000,17100000.000,18900000.000
ProductWarrantyAccrualClassifiedCurrent,,,,,18600000.000,,,,18900000.000,,,,17000000.000,,,,17300000.000,,,,16400000.000,,,,16000000.000,,
PropertyPlantAndEquipmentGross,,933300000.000,930200000.000,925900000.000,927000000.000,951100000.000,951800000.000,978200000.000,990200000.000,993200000.000,1002700000.000,1024400000.000,1037000000.000,1052300000.000,1064400000.000,1064600000.000,1063100000.000,1048200000.000,1080600000.000,1092700000.000,1097900000.000,1119300000.000,1126600000.000,1135400000.000,1138100000.000,1170600000.000,1216900000.000
PropertyPlantAndEquipmentNet,,352600000.000,357200000.000,353300000.000,352900000.000,360700000.000,361600000.000,373300000.000,375200000.000,372300000.000,375100000.000,384400000.000,392500000.000,394300000.000,401800000.000,404100000.000,404500000.000,396200000.000,411200000.000,413200000.000,413500000.000,417400000.000,418500000.000,419200000.000,425200000.000,437500000.000,463400000.000
RestructuringAndRelatedCostExpectedCost1,,,,,,,,,,,,,,,,,,,,,,,,,,1600000.000,1100000.000
RestructuringReserve,,,6300000.000,6300000.000,8400000.000,8700000.000,9000000.000,9400000.000,7200000.000,7600000.000,5500000.000,6000000.000,4000000.000,5300000.000,6200000.000,6900000.000,6500000.000,5800000.000,5100000.000,4600000.000,4100000.000,3200000.000,3700000.000,3100000.000,,,
RestructuringReserveCurrent,,,,,8400000.000,,,,7200000.000,,,,4000000.000,,,,6500000.000,,,,4100000.000,,,1000000.000,2800000.000,,
RestructuringReserveNoncurrent,,,,,,,,,,,,,,,,,,,,,,,600000.000,,,,
RetainedEarningsAccumulatedDeficit,,1681400000.000,1740800000.000,1789600000.000,1843700000.000,1894600000.000,1950900000.000,2004800000.000,2067000000.000,2127300000.000,2193200000.000,2255400000.000,2324100000.000,2394100000.000,2474300000.000,2552100000.000,2637200000.000,2716600000.000,2805500000.000,2891200000.000,2986900000.000,3079600000.000,3183900000.000,3280000000.000,3384900000.000,3485200000.000,3597000000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,,,,,,,,,,,,,,,0.000,,,0.000,0.000,,,,,,,
ShortTermDebtWeightedAverageInterestRate,,,,,0.066,,,,0.064,,,,0.127,,,,0.049,,,,0.158,,,,,,
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,,,,,,,,,,,,,,,,,210900000.000,,,,230600000.000,,,,207200000.000,,
StockholdersEquity,,1489700000.000,1566600000.000,1557900000.000,1530900000.000,1603400000.000,1633400000.000,1739700000.000,1802100000.000,1829500000.000,1878800000.000,1989200000.000,2113200000.000,2186700000.000,2255400000.000,2277000000.000,2207800000.000,2170600000.000,2298500000.000,2361000000.000,2412700000.000,2517100000.000,2583600000.000,2670600000.000,2617200000.000,2747700000.000,2854900000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,1505600000.000,1582900000.000,1574200000.000,1547300000.000,1619900000.000,1649900000.000,1756300000.000,1819000000.000,1846400000.000,1895900000.000,2006100000.000,2130400000.000,2203700000.000,2272800000.000,2294500000.000,2225300000.000,2188300000.000,2316200000.000,2378800000.000,2430700000.000,2535100000.000,2601600000.000,2688600000.000,2635200000.000,2765800000.000,2873000000.000
TreasuryStockShares,,9120841.000,9134086.000,9151419.000,9110389.000,9239260.000,9190324000000.000,9133133000000.000,9102154.000,9103557.000,9204920.000,9224395.000,9255903.000,9144929.000,9268911.000,9276434.000,9269680.000,9303199.000,9289031.000,9322599.000,9306499.000,9260345.000,9319195.000,9375522.000,9450393.000,9458237.000,9823034.000
TreasuryStockValue,,393100000.000,406000000.000,407600000.000,386900000.000,400900000.000,400900000.000,406500000.000,412700000.000,421800000.000,445500000.000,449100000.000,458600000.000,465000000.000,493500000.000,496700000.000,503300000.000,535700000.000,557900000.000,569100000.000,573700000.000,584000000.000,609000000.000,623000000.000,653900000.000,675300000.000,749600000.000
UnrecognizedTaxBenefits,,,,,11000000.000,,,,6800000.000,,,,4600000.000,,,,6400000.000,,,,7200000.000,,,,9400000.000,,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,,,,,1600000.000,,,,1600000.000,,,,900000.000,,,,500000.000,,,,500000.000,,,,900000.000,,
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,,,,,9100000.000,,,,4100000.000,,,,4600000.000,,,,6400000.000,,,,,,,,,,
