,2012-01-31,2013-01-31,2014-01-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,86000.000,241000.000,961000.000
AllocatedShareBasedCompensationExpense,,102000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,145000.000,122000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,220000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,220000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1951000.000,-1567000.000,-904000.000
ComprehensiveIncomeNetOfTax,2684000.000,,
ConcentrationRiskPercentage1,,,1.000
ConversionOfStockAmountIssued1,,99000.000,
CostOfRevenue,726000.000,227000.000,273000.000
CurrentFederalTaxExpenseBenefit,,-1013000.000,-195000.000
CurrentIncomeTaxExpenseBenefit,,-940000.000,-199000.000
CurrentStateAndLocalTaxExpenseBenefit,,73000.000,-4000.000
DeferredFederalIncomeTaxExpenseBenefit,,20000.000,77000.000
DeferredIncomeTaxExpenseBenefit,,45000.000,41000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,-1000.000,-37000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,5300.000,4300.000
DefinedContributionPlanEmployerMatchingContributionPercent,,0.500,0.500
DefinedContributionPlanMaximumAnnualContributionPerEmployeeAmount,,2000.000,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount,,,2000.000
DepreciationAndAmortization,21000.000,,
EarningsPerShareBasic,0.420,0.560,-0.320
EarningsPerShareDiluted,0.400,0.530,-0.320
EffectiveIncomeTaxRateContinuingOperations,,-1.051,0.156
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,0.016,-0.154
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,,0.007,-0.102
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,-0.002,0.031
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.055,0.041
EffectiveIncomeTaxRateReconciliationTaxContingencies,,-1.467,
EntityWideRevenueMajorCustomerPercentage,,0.100,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,13730.000,8700.000
GainLossOnSaleOfInvestments,1838000.000,58000.000,-2217000.000
GeneralAndAdministrativeExpense,2361000.000,1453000.000,
GrossProfit,2924000.000,2266000.000,3332000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-1017000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2187000.000,863000.000,
IncomeLossFromEquityMethodInvestments,42000.000,,
IncomeTaxExpenseBenefit,825000.000,-907000.000,-159000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,14000.000,
IncomeTaxReconciliationTaxSettlementsStateAndLocal,,20000.000,
IncomeTaxesPaid,685000.000,601000.000,
IncreaseDecreaseInAccountsReceivable,-577000.000,79000.000,-160000.000
IncreaseDecreaseInAccruedLiabilities,-465000.000,97000.000,-178000.000
IncreaseDecreaseInDeferredIncomeTaxes,-724000.000,1376000.000,
IncreaseDecreaseInIncomeTaxes,-769000.000,-1367000.000,9000.000
IncreaseDecreaseInIncomeTaxesReceivable,-183000.000,210000.000,185000.000
IncreaseDecreaseInOtherCurrentLiabilities,464000.000,-699000.000,1272000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-11000.000,8000.000,-4000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,129000.000
InterestPaid,,,3000.000
LeaseAndRentalExpense,,24677.000,25800.000
