,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,87000000.000,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,87000000.000,46000000.000,41000000.000,38000000.000,106000000.000,49000000.000,44000000.000,42000000.000,119000000.000,55000000.000,55000000.000,53000000.000,138000000.000,137000000.000,47000000.000,74000000.000,141000000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,,,,,,,,,,,,,94000000.000
AmortizationOfIntangibleAssets,135000000.000,136000000.000,137000000.000,101000000.000,110000000.000,99000000.000,98000000.000,96000000.000,68000000.000,86000000.000,125000000.000,140000000.000,165000000.000,181000000.000,208000000.000,210000000.000,271000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,1000000.000,,,,,,,,,,,,,,,
AssetsFairValueAdjustment,0.000,,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,,,,,0.920,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,,,,,0.910,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,1567000000.000,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,5625000000.000,,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,,,,,,,,,,,,85000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,,,,,-843000000.000,,,,-360000000.000
CommonStockDividendsPerShareCashPaid,,,,,,,,,,,,,,,0.570,,
CommonStockDividendsPerShareDeclared,0.800,0.400,0.400,0.400,0.420,0.420,0.420,0.490,0.510,0.510,0.510,0.570,0.570,0.570,0.570,0.640,0.640
ComprehensiveIncomeNetOfTax,763000000.000,1136000000.000,1152000000.000,1647000000.000,996000000.000,1104000000.000,13000000.000,-1928000000.000,586000000.000,1459000000.000,1114000000.000,1455000000.000,1492000000.000,1643000000.000,1648000000.000,1145000000.000,1755000000.000
CostOfGoodsSold,1153000000.000,1054000000.000,1092000000.000,1282000000.000,1100000000.000,1113000000.000,1094000000.000,1119000000.000,942000000.000,916000000.000,1167000000.000,1475000000.000,1369000000.000,1405000000.000,1504000000.000,1555000000.000,1616000000.000
CostsAndExpenses,3024000000.000,3239000000.000,3287000000.000,3576000000.000,3212000000.000,3411000000.000,4059000000.000,5867000000.000,3353000000.000,3623000000.000,4059000000.000,4287000000.000,3680000000.000,4065000000.000,4071000000.000,4438000000.000,4119000000.000
Depreciation,92000000.000,100000000.000,97000000.000,99000000.000,89000000.000,103000000.000,94000000.000,97000000.000,90000000.000,104000000.000,102000000.000,121000000.000,103000000.000,108000000.000,96000000.000,118000000.000,103000000.000
DerivativeGainLossOnDerivativeNet,,,,,,,,,-17000000.000,-66000000.000,319000000.000,-18000000.000,190000000.000,80000000.000,,,-44000000.000
DividendsCommonStockCash,638000000.000,,,,,,,,,,,,,,,,
EarningsPerShareBasic,0.610,0.670,0.600,0.700,0.610,0.690,0.320,-0.510,0.640,0.840,0.750,0.920,0.830,0.990,0.970,0.860,1.070
EarningsPerShareDiluted,0.600,0.660,0.600,0.700,0.610,0.680,0.310,-0.500,0.630,0.830,0.740,0.930,0.830,0.980,0.970,0.850,1.060
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,,,,,,16000000.000
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,-14000000.000,,,,-5000000.000,,,,-224000000.000,,,,-294000000.000,,,,
EffectiveIncomeTaxRateContinuingOperations,0.219,0.219,0.250,-0.462,0.238,0.234,0.263,-0.484,0.270,0.190,0.250,-0.484,0.240,0.230,0.210,-0.435,0.180
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,,,,0.350,0.350,0.350,-0.700,0.350,,,,,,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,,,,,,,,,,,,47000000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,3000000.000,,,,-1000000.000,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilitySettlements,131000000.000,,,,137000000.000,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,-15000000.000,-14000000.000,-11000000.000,-15000000.000,-3000000.000,-5000000.000,-174000000.000,-496000000.000,-164000000.000,-14000000.000,-13000000.000,-2000000.000,-302000000.000,-15000000.000,4000000.000,10000000.000,-13000000.000
ForeignCurrencyTransactionLossBeforeTax,,,,,,,,,,,,,298000000.000,,,,0.000
GoodwillTranslationAndPurchaseAccountingAdjustments,,,,,,,,,,,,,106000000.000,,,,74000000.000
ImpairmentOfIntangibleAssetsExcludingGoodwill,0.000,,,,0.000,,37000000.000,,0.000,,,,0.000,,,,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1239000000.000,1368000000.000,1286000000.000,1439000000.000,1286000000.000,1433000000.000,687000000.000,-1037000000.000,1396000000.000,1678000000.000,1647000000.000,1924000000.000,1776000000.000,2096000000.000,2014000000.000,1998000000.000,2086000000.000
IncomeTaxExpenseBenefit,271000000.000,300000000.000,322000000.000,311000000.000,306000000.000,335000000.000,181000000.000,-227000000.000,374000000.000,312000000.000,408000000.000,407000000.000,422000000.000,486000000.000,416000000.000,607000000.000,375000000.000
IncreaseDecreaseInAccountsAndOtherReceivables,-57000000.000,,,,-167000000.000,,,,544000000.000,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-206000000.000,,,,-612000000.000,,,,188000000.000,,,,42000000.000,,,,-266000000.000
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,,,,-81000000.000,,,,34000000.000
IncreaseDecreaseInInventories,-11000000.000,,,,-50000000.000,,,,75000000.000,,,,-19000000.000,,,,-71000000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-29000000.000,,,,219000000.000,,,,-341000000.000,,,,159000000.000,,,,53000000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,,,,,,,,8000000.000,,6000000.000
InterestExpense,72000000.000,79000000.000,75000000.000,73000000.000,70000000.000,73000000.000,148000000.000,138000000.000,132000000.000,172000000.000,207000000.000,208000000.000,215000000.000,245000000.000,271000000.000,316000000.000,273000000.000
InterestExpenseDebt,,,,,,,,,59000000.000,,,,,,,,
InterestIncomeExpenseNonoperatingNet,-66000000.000,-75000000.000,-69000000.000,-68000000.000,-65000000.000,-69000000.000,-128000000.000,-129000000.000,-126000000.000,-164000000.000,-197000000.000,-199000000.000,-200000000.000,-225000000.000,-250000000.000,-290000000.000,-247000000.000
InvestmentIncomeInterest,6000000.000,4000000.000,6000000.000,,5000000.000,4000000.000,20000000.000,,6000000.000,8000000.000,10000000.000,,15000000.000,20000000.000,21000000.000,,26000000.000
LiabilitiesFairValueAdjustment,0.000,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInContinuingOperations,1078000000.000,,,,-1455000000.000,,,,-442000000.000,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-1582000000.000,,,,-1277000000.000,,,,-930000000.000,,,,-1219000000.000,,,,-1794000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-1582000000.000,,,,-1277000000.000,,,,-930000000.000,,,,-1219000000.000,,,,-1794000000.000
NetCashProvidedByUsedInInvestingActivities,1487000000.000,,,,-797000000.000,,,,-873000000.000,,,,-1458000000.000,,,,-684000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,1487000000.000,,,,-797000000.000,,,,-873000000.000,,,,-1458000000.000,,,,-684000000.000
NetCashProvidedByUsedInOperatingActivities,1187000000.000,,,,624000000.000,,,,1585000000.000,,,,2128000000.000,,,,2102000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1187000000.000,,,,624000000.000,,,,1585000000.000,,,,2128000000.000,,,,2102000000.000
NetIncomeLoss,,,,,,,,,,,,,,,1598000000.000,,1711000000.000
NetIncomeLossAvailableToCommonStockholdersBasic,968000000.000,1068000000.000,964000000.000,1128000000.000,980000000.000,1098000000.000,506000000.000,-810000000.000,1022000000.000,1366000000.000,1239000000.000,1517000000.000,1354000000.000,1610000000.000,1590000000.000,1369000000.000,1702000000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,,,,,,,,,,,,,1590000000.000,,1702000000.000
OperatingIncomeLoss,1305000000.000,1453000000.000,1371000000.000,1535000000.000,1351000000.000,1515000000.000,960000000.000,-415000000.000,1687000000.000,1852000000.000,1885000000.000,2113000000.000,2278000000.000,2387000000.000,2361000000.000,2358000000.000,2419000000.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,-1000000.000,,1000000.000,,,,-1000000.000,,1000000.000,8000000.000,-13000000.000,48000000.000,-25000000.000,32000000.000,12000000.000,-20000000.000,-8000000.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesTaxPortionAttributableToParent,0.000,0.000,,,,,,,,1000000.000,3000000.000,,-7000000.000,-1000000.000,1000000.000,-4000000.000,-1000000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent,-19000000.000,-16000000.000,-42000000.000,-521000000.000,-12000000.000,-11000000.000,-20000000.000,824000000.000,-55000000.000,-13000000.000,-23000000.000,-139000000.000,-15000000.000,-18000000.000,-15000000.000,183000000.000,-11000000.000
OtherComprehensiveIncomeDefinedBenefitPlansTaxPortionAttributableToParent,9000000.000,9000000.000,,,4000000.000,5000000.000,7000000.000,-367000000.000,10000000.000,8000000.000,-10000000.000,88000000.000,-8000000.000,-7000000.000,-8000000.000,-52000000.000,-8000000.000
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToParent,9000000.000,2000000.000,-60000000.000,-28000000.000,33000000.000,33000000.000,135000000.000,63000000.000,57000000.000,-61000000.000,-87000000.000,-46000000.000,-40000000.000,38000000.000,-8000000.000,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesTaxPortionAttributableToParent,2000000.000,0.000,-2000000.000,0.000,2000000.000,0.000,6000000.000,0.000,2000000.000,-1000000.000,-5000000.000,-2000000.000,-7000000.000,3000000.000,1000000.000,,
