,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AmortizationOfIntangibleAssets,,,,,2254.000,,,,3327.000,,,,5033.000,,,,5966.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,3321.000,,,,-224098.000,,,,5967.000,,,,-30430.000,,,,110160.000,,
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,,-19903.000,,,,-75292.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-248594.000,,,,-259033.000,,,,-8126.000,,,,,,,,,,
CostOfGoodsSold,40434.000,59063.000,95989.000,63583.000,51921.000,69590.000,97307.000,-4797.000,20153.000,30497.000,35913.000,1876.000,42784.000,39055.000,39864.000,171106.000,41696.000,33584.000,69133.000
DebtConversionConvertedInstrumentSharesIssued1,,,,,,,,,,,,,500000.000,,,,,,
DeferredRevenuePeriodIncreaseDecrease,,,,,,,,,,,,,-3966.000,,,,13034.000,,
Depreciation,,,,,17488.000,58464.000,,,22898.000,,,,16814.000,,,,23358.000,,
DepreciationDepletionAndAmortization,19742.000,,,,33201.000,,,,26225.000,,,,21847.000,,,,29324.000,,
EarningsPerShareBasic,,,,,,-0.001,-0.003,,,0.000,-0.000,,,,,,,0.000,0.000
EarningsPerShareBasicAndDiluted,0.003,-0.000,-0.000,-0.003,-0.003,,,,-0.001,,,,0.000,0.001,0.000,-0.001,0.000,,
EffectOfExchangeRateOnCashAndCashEquivalents,4983.000,,,,745.000,,,,-2851.000,,,,1114.000,,,,-12016.000,,
GrossProfit,34402.000,293586.000,305168.000,104209.000,61700.000,220562.000,140851.000,209648.000,4948.000,91246.000,116523.000,124331.000,90214.000,126251.000,101081.000,-65539.000,109541.000,56429.000,-18258.000
IncomeLossFromEquityMethodInvestments,,,,,-80870.000,-53620.000,-90445.000,371278.000,,,,,,,,,,,
IncomeTaxesPaid,0.000,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,40319.000,,,,-12408.000,,,,-31769.000,,,,-22546.000,,,,-49725.000,,
IncreaseDecreaseInAccountsReceivable,13352.000,,,,-42196.000,,,,-63004.000,,,,20224.000,,,,-11761.000,,
IncreaseDecreaseInDeferredLiabilities,65237.000,,,,19757.000,,,,404.000,,,,,,,,,,
IncreaseDecreaseInInventories,19770.000,,,,25137.000,,,,-8284.000,,,,-19708.000,,,,-3778.000,,
IncreaseDecreaseInPrepaidExpense,5422.000,,,,-10223.000,,,,-24022.000,,,,3747.000,,,,-838.000,,
InterestExpense,,,,,,,,,,,,,2398.000,2931.000,2717.000,,,,
InterestExpenseDebt,3103.000,31920.000,4065.000,2531.000,3328.000,5524.000,5997.000,-1945.000,2963.000,2706.000,4282.000,1786.000,,,,,1496.000,,
InterestExpenseOther,,,,,,,,,,,,,,,,,,924.000,959.000
InterestIncomeOther,,,,,,,,,,,,,,,,,,228.000,105.000
InterestPaid,3103.000,,,,3328.000,,,,2963.000,,,,2398.000,,,,1496.000,,
InvestmentIncomeInterest,178.000,406.000,240.000,,228.000,221.000,539.000,,324.000,625.000,297.000,,,,,,,,
InvestmentIncomeInvestmentExpense,,,,,,,,,,,,,-295.000,-204.000,-188.000,,-164.000,,
LeaseAndRentalExpense,,,,,12712.000,,,,12100.000,,,,11150.000,,,,11050.000,,
LeaseOperatingExpense,,,,,4414.000,,,,4025.000,,,,,,,,,,
LineOfCreditFacilityInterestRateDuringPeriod,,,,,,,,,,,,,0.025,,,,0.025,,
