,2016-12-31,2017-03-31
AccountsPayableCurrent,,12364071.000
AccountsReceivableGrossCurrent,,2360016.000
AccountsReceivableNetCurrent,,2272011.000
AccruedLiabilitiesCurrent,22490.000,730392.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,7137438.000
AdditionalPaidInCapital,12277007.000,9075025.000
AllowanceForDoubtfulAccountsReceivableCurrent,,88005.000
Assets,40903961.000,42000277.000
AssetsCurrent,40903961.000,30410457.000
AssetsHeldInTrustCurrent,40802659.000,
BusinessAcquisitionSharePrice,,10.400
CapitalLeaseObligations,,111283.000
CapitalLeaseObligationsCurrent,,51376.000
CapitalLeaseObligationsNoncurrent,,59907.000
CapitalLeasesFutureMinimumPaymentsDue,,120336.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,55978.000
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,13840.000
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,19356.000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,31162.000
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,9053.000
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,111283.000
CashAndCashEquivalentsAtCarryingValue,51052.000,2508362.000
CashFDICInsuredAmount,250000.000,
CommonStockParOrStatedValuePerShare,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000
CommonStockSharesIssued,2310000.000,14103033.000
CommonStockSharesOutstanding,2310000.000,14103033.000
CommonStockValue,231.000,1410.000
DeferredCompensationLiabilityCurrent,600000.000,
DeferredCostsCurrentAndNoncurrent,,86799.000
DeferredIncomeTaxLiabilities,,123260.000
DeferredRentCreditNoncurrent,,5424134.000
DeferredRevenueCurrent,,206737.000
DeferredTaxAssetsInventory,,215248.000
DeferredTaxAssetsLiabilitiesNet,,86799.000
DeferredTaxAssetsOperatingLossCarryforwards,,788039.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,,2467259.000
DeferredTaxAssetsValuationAllowanceCurrent,,788039.000
DueFromRelatedParties,,14852083.000
DueFromRelatedPartiesCurrent,,14852083.000
EscrowDeposit,,1030000.000
FiniteLivedIntangibleAssetAcquiredInPlaceLeases,,2500000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,1199999.000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,633336.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,133333.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,133333.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,133333.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,133333.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,133333.000
FiniteLivedIntangibleAssetsNet,,1300001.000
IntangibleAssetsGrossExcludingGoodwill,,2500000.000
IntangibleAssetsNetExcludingGoodwill,,1300001.000
InventoryAdjustments,,78580.000
InventoryGross,,9875564.000
InventoryNet,,9796984.000
Liabilities,622490.000,35708388.000
LiabilitiesAndStockholdersEquity,40903961.000,42000277.000
LiabilitiesCurrent,622490.000,17030333.000
LongTermLineOfCredit,,12779838.000
LongTermNotesPayable,,379376.000
MoneyMarketFundsAtCarryingValue,40802659.000,
NotesPayable,,641954.000
NotesPayableCurrent,,262578.000
OperatingLeasesFutureMinimumPaymentsDue,,91141899.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,,6689052.000
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,6763296.000
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,7021635.000
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,6966154.000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,6814118.000
OperatingLeasesFutureMinimumPaymentsDueThereafter,,56887644.000
OtherLoansPayableCurrent,,501213.000
OtherLongTermNotesPayable,,34800.000
OtherPrepaidExpenseCurrent,,981017.000
PostconfirmationAccumulatedDepreciationAndAmortization,,-2718968.000
PreferredStockParOrStatedValuePerShare,0.000,0.000
PreferredStockSharesAuthorized,1000000.000,1000000.000
PrepaidExpenseCurrent,50250.000,
PropertyPlantAndEquipmentGross,,16428112.000
PropertyPlantAndEquipmentNet,,9290674.000
RedeemableNoncontrollingInterestEquityCommonCarryingAmount,30800000.000,
RetainedEarningsAccumulatedDeficit,-2795767.000,-2784546.000
SaleOfStockPricePerShare,0.020,
SecuredDebtCurrent,,1144568.000
SecurityDeposit,,912346.000
SharesSubjectToMandatoryRedemptionSettlementTermsNumberOfShares,,1500000.000
StockholdersEquity,9481471.000,6291889.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,40281471.000,6291889.000
TaxesPayableCurrent,,1769398.000
