,2011-03-27,2011-09-25,2011-12-25,2012-03-25,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28
AccountsPayableCurrent,,,,62387000.000,68252000.000,78902000.000,85542000.000,70794000.000,83607000.000,99454000.000,126680000.000,128524000.000,147606000.000,153785000.000,173698000.000
AccountsReceivableGrossCurrent,,,,113218000.000,135365000.000,117731000.000,107127000.000,106829000.000,113164000.000,155578000.000,178252000.000,177123000.000,178378000.000,165320000.000,137273000.000
AccountsReceivableNetCurrent,,,,112988000.000,135068000.000,117446000.000,106864000.000,106602000.000,112865000.000,155206000.000,177838000.000,176714000.000,177958000.000,164933000.000,136863000.000
AccruedEmployeeBenefitsCurrent,,,,30448000.000,28948000.000,33878000.000,26080000.000,19993000.000,18597000.000,65606000.000,57876000.000,62735000.000,39281000.000,44441000.000,34079000.000
AccruedIncomeTaxesCurrent,,,,,,,,,2066000.000,1673000.000,4651000.000,3846000.000,1201000.000,486000.000,1361000.000
AccruedLiabilitiesCurrent,,,,,,,,,,97896000.000,86352000.000,146059000.000,151405000.000,149048000.000,145143000.000
AccruedVacationCurrent,,,,,,,9404000.000,8183000.000,9258000.000,10372000.000,11077000.000,11486000.000,11940000.000,12050000.000,12306000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,236655000.000,254359000.000,-268878000.000,281069000.000,292182000.000,302244000.000,313419000.000,326999000.000,340033000.000,354453000.000,366774000.000,367377000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,,,,5991000.000,7058000.000,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,,,,-3740000.000,-4222000.000,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,-1807000.000,-1457000.000,-2253000.000,-1484000.000,2251000.000,2836000.000,-551000.000,-4033000.000,-7069000.000,-7570000.000,-1534000.000,-2302000.000
AdditionalPaidInCapital,,,,683025000.000,696134000.000,704922000.000,690891000.000,700134000.000,708645000.000,739646000.000,747393000.000,761212000.000,772398000.000,786667000.000,806916000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,230000.000,297000.000,285000.000,263000.000,227000.000,299000.000,372000.000,414000.000,409000.000,420000.000,387000.000,410000.000
Assets,,,,1155311000.000,1185586000.000,1205614000.000,1172166000.000,1154374000.000,1169568000.000,1306886000.000,1380921000.000,1338036000.000,1364993000.000,1384296000.000,1375172000.000
AssetsCurrent,,,,573830000.000,623946000.000,664497000.000,640183000.000,643088000.000,660486000.000,709923000.000,800837000.000,776985000.000,793212000.000,826405000.000,818509000.000
AssetsFairValueDisclosure,,24949000.000,26135000.000,28567000.000,32613000.000,24240000.000,20723000.000,26829000.000,28226000.000,10043000.000,7399000.000,,115000.000,4938000.000,672000.000
BankruptcyClaimsAmountOfClaimsSettled,,30000000.000,,,,,,,,,,,,,
BankruptcyClaimsAmountOfClaimsUnderReviewByManagement,,,1500000000.000,,,,1500000000.000,11100000.000,11100000.000,7200000.000,1500000000.000,,,,
BankruptcyClaimsAmountPaidToSettleClaims,,30000000.000,,,,,,,,,,,,,
BuildingsAndImprovementsGross,,,,,,,59807000.000,60975000.000,60974000.000,61601000.000,61923000.000,62966000.000,68938000.000,68855000.000,67008000.000
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,29000000.000,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationNoncontrollingInterest,,,,,,,4024000.000,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,,,,,,,,,,8595000.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,,,,,,,,,,1534000.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesNoncurrent,,,,,,,,,,3739000.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,,,,,,,,,,104300000.000,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,,,,,,,,,,12143000.000,,,,,
Cash,,,,186848000.000,217385000.000,268001000.000,258126000.000,253305000.000,199414000.000,188118000.000,282163000.000,260060000.000,265437000.000,280421000.000,247271000.000
CashAndCashEquivalentsAtCarryingValue,,,194850000.000,197025000.000,228127000.000,279460000.000,262177000.000,261732000.000,205535000.000,193025000.000,286069000.000,262473000.000,268930000.000,281991000.000,250065000.000
