,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30
AccountsPayableCurrent,756739.000,788414.000,649527.000,643494.000,619538.000,649588.000
AccountsReceivableNetCurrent,70203.000,24259.000,39628.000,58384.000,27556.000,31023.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,-339644.000,-341033.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,,-53351.000,-7944.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-114973.000,-129159.000,-80321.000,-50696.000,-53351.000,-7944.000
AdditionalPaidInCapitalCommonStock,18800000.000,18800000.000,21272470.000,21318323.000,21318323.000,21418323.000
AllowanceForDoubtfulAccountsReceivableCurrent,18011.000,17018.000,16063.000,16546.000,15602.000,15947.000
Assets,1473358.000,1573371.000,1393834.000,1386756.000,1214028.000,1244857.000
AssetsCurrent,639078.000,728186.000,545924.000,566161.000,437619.000,458454.000
BuildingsAndImprovementsGross,,,,,109440.000,110357.000
Cash,8328.000,79322.000,35363.000,63660.000,63748.000,46830.000
ClassOfWarrantOrRightOutstanding,,,,,,10000.000
CommonStockParOrStatedValuePerShare,0.001,0.001,,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,11443787.000,11443787.000,11493787.000,11493787.000,11493787.000,11493787.000
CommonStockSharesOutstanding,11443787.000,11443787.000,11493787.000,11493787.000,11493787.000,11493787.000
CommonStockValue,11444.000,11444.000,11494.000,11494.000,11494.000,11494.000
ConvertibleLongTermNotesPayable,,,2127480.000,2314442.000,2453517.000,2596805.000
ConvertibleNotesPayable,,,,1785558.000,,1603195.000
DueToEmployeesCurrentAndNoncurrent,,,,,1132.000,0.000
DueToOfficersOrStockholdersCurrent,320717.000,282052.000,61295.000,61200.000,61132.000,60000.000
DueToOfficersOrStockholdersNoncurrent,525000.000,562500.000,283882.000,316891.000,363391.000,409891.000
FairValueAssumptionsExercisePrice,,,,,,12.000
FiniteLivedIntangibleAssetsNet,811606.000,823129.000,825918.000,795842.000,758134.000,767022.000
FiniteLivedPatentsGross,,,,,1284382.000,1313451.000
InterestPayableCurrent,1231121.000,1299805.000,1269908.000,1342226.000,1416728.000,1455103.000
InventoryFinishedGoods,,,,,235983.000,315478.000
InventoryNet,527671.000,582878.000,435971.000,430382.000,322153.000,339993.000
InventoryRawMaterials,,,,,66561.000,68881.000
InventoryValuationReserves,,,,,-147685.000,-179813.000
InventoryWorkInProcess,,,,,167294.000,135447.000
InvestmentOwnedAtFairValue,,,,,0.000,0.000
Land,,,,,12160.000,12160.000
Liabilities,6662921.000,6906482.000,4534203.000,4816355.000,5112782.000,5372898.000
LiabilitiesAndStockholdersEquity,1473358.000,1573371.000,1393834.000,1386756.000,1214028.000,1244857.000
LiabilitiesCurrent,3131877.000,3338271.000,2117402.000,2179420.000,2290592.000,2360802.000
LongTermDebt,,,2416801.000,2636935.000,2822190.000,3012096.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,4148651.000,4200000.000
LongTermDebtPercentageBearingFixedInterestRate,,,,,0.070,0.070
LongTermNotesPayable,3000000.000,3000000.000,,,,
MachineryAndEquipmentGross,,,,,228230.000,229311.000
NotesPayable,,,,,132500.000,
NotesPayableCurrent,823300.000,968000.000,132500.000,132500.000,181151.000,196111.000
NotesPayableFairValueDisclosure,,,,,,100000.000
OtherAssetsNoncurrent,9626.000,9196.000,8845.000,12166.000,8089.000,8586.000
OtherInventory,,,,,469838.000,519806.000
OtherShortTermBorrowings,,,,,,63611.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,32876.000,41727.000,34962.000,13735.000,24162.000,40608.000
PropertyPlantAndEquipmentGross,,,,,349830.000,351828.000
PropertyPlantAndEquipmentNet,13048.000,12860.000,13147.000,12587.000,10186.000,10795.000
PropertyPlantAndEquipmentOtherNet,,,,,12587.000,10795.000
RetainedEarningsAccumulatedDeficit,-23886034.000,-24015396.000,-24344012.000,-24708720.000,-25175220.000,-25549914.000
ShortTermBankLoansAndNotesPayable,,,4172.000,,12043.000,
ShortTermBorrowings,,,,,132500.000,132500.000
StockholdersEquity,-5189563.000,-5333111.000,-3140369.000,-3429599.000,-3898754.000,-4128041.000
StockholdersEquityAttributableToParentNotAllowableForNetCapital,,,,,,4128000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-5189563.000,-5333111.000,-3140369.000,-3429599.000,-3898754.000,-4128041.000
UnsecuredLongTermDebt,,,,,4148651.000,4200000.000
WarrantsNotSettleableInCashFairValueDisclosure,,,,,,114581.000
WorkersCompensationLiabilityNoncurrent,6044.000,5711.000,5439.000,5602.000,5282.000,5400.000
